skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Twister	165	dru	arctic blast		118												twister																																																												druid_windcast															68					twister												1	0		none												SC	SC	xx				1													1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	8	7	0	1										par1+lvl/20	# missiles	(skill('Firestorm'.blvl)+skill('Fissure'.blvl)+skill('Tornado'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Wind Vortex'.blvl))	synergy calc					3	Number of twisters	3	Frames the target is stunned											14	damage synergy	1								8															cold	10	8	10	13	19	25	15	9	11	14	20	31	(min(560,(skill('Twister'.clc2)*par8))+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	15	1	1	1				26	40
Carrion Vine	166	dru	cycle of life		114																	vine_beast																																						cycleoflife	lifevine	1	S1	Vine Attack	lvl	CorpseCycler	clc4										druid_summon																																1	0		none												SC	SC	xx				1	4																				1	10	20								1				clc3	1						1	8	8	1	1	1									par3 * (lvl-1)	%HP bonus	ulvl * 3 / 4 + lvl	vine lvl	100 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)	par5 +lvl/par6	%Life per corpse - see CorpseCycler	16	Radius			25	+%HP per level			3	%HP reclaimed from corpse	2	Levels per +1%HP					1								8																																				26	20
Feral Rage	167	dru	feral rage	56	120									maulaoe1			maulaoe1					feralrage		par1 * (100 + stat('item_skill_duration_increased'.accr)) / 100		velocitypercent	clc3	lifedrainmindam	clc4	lifedrainmaxdam	clc4																																																																	maulaoe1	maulaoe1												1	0		h2h												A1	A1	A1				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20								2	wolf	bear			1						1	8	6	0	1											dmg% without charges	lvl/par7 + par8	Total potential charges	par3*lvl	FRW. lvl = current charges of this duration	par2*lvl/2	%LL. lvl = current charges of this duration	500	duration	1	% life steal per charge	3	%FRWalk per charge			0	% damage increase	0	% damage increase per level	2	Levels per charge	3	Min charge	1	50	25						8	64																																			5	20
Maul	168	dru	maul	56	120																	maul		par1 * (100 + stat('item_skill_duration_increased'.accr)) / 100		stunlength	clc3	damagepercent	clc4																																																																																1	0		h2h												A1	A1	A1				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20								2	wolf	bear			1						1	8	4	0	1										100+blvl*20+lvl*10	dmg% without charges	1+blvl/2+lvl/4	Total potential charges	par3*lvl	Stun. lvl = current charges of this duration	par2*lvl	%ED. lvl = current charges of this duration	500	duration	40	damage per charge	10	min stun duration	3	max stun duration	0	% damage increase	0	% dmg increase per lvl	2	Levels per charge	3	Min charge	1	50	25						8	128																																			5	20
Fissure	169	dru	eruption		28												erruption center																																																												druid_firecast_a											druid_fire_cast_2				28					erruption center												1	0		none												SC	SC	xx				1	4				1								1						druid_firecast_a	druid_fire_cast_2	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20												clc4	1						1	7	8	1	1										12	radius	par2	frequency	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Tornado'.blvl)+skill('Twister'.blvl)+skill('Volcano'.blvl)+skill('Wind Vortex'.blvl))	synergy calc	75 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)	12	radius	3	Missile delay	0	Change duration in Missiles.xls									14	damage synergy	1								8															fire	8	4	8	11	15	20	9	5	9	13	16	21	(min(560,(skill('Fissure'.clc3)*par8))+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	20
Cyclone Armor	170	dru	cyclone armor																																											cyclonearmor		skill_armor_percent	clc3	passive_fire_mastery	clc1	passive_cold_mastery	clc1	passive_phys_mastery	clc2	hpregen	clc4																				druid_cyclonearmor																																1	0		none												SC	SC	xx				1													36	10							((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	10								1					1						1	7	8	1	1	1					1				blvl/2	ele mastery	blvl/2	phys mastery	(25+(blvl*25))+(lvl*5)	def bonus	3*(stat('maxhp'.accr)/256)/10 + stat('vitality'.base)*5	passive regen	30000	duration	blvl	mastery (skill desc)	100	%Defence bonus	20	%Defence per level									1								8																																				51	20
Heart of Wolverine	171	dru	heart of wolverine		114																				24+lvl																																			heartofwolverine	totem	1	NU	Wolverine Aura	lvl	Oak Sage	skill('Oak Sage'.blvl)	Spirit of Barbs	skill('Spirit of Barbs'.blvl)								druid_summon																																1	0		none												SC	SC	xx				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								1					1						1	8	8	1	1	1									(lvl-1)*par1	%HP bonus	ulvl	totem lvl	skill('Spirit of Barbs'.blvl)*30	Description Only - RepLife SoftSyn	5 + lvl/2	+HP onStrike (for skilldesc) - see Wolverine Aura	20	+%HP per level	3	Bonus Level	25	%Bonus for AR and DMG	15	%Bonus per lvl	5	+HP per strike (aura)	2	Levels per +1HP per strike	24	radius	2	levels per +Radius	1								8																																				26	30
Summon Fenris	172	dru	summon fenris		119																			100 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100		armorclass	ln12	tohit	ln12																			maxhp	clc3 * 256	mindamage	clc4*75/1000	maxdamage	clc4*125/1000	damagepercent	(250+(lvl-1)*70)*blvl/10					fenris	fenris	min(3, 1+blvl/3)+stat('extra_wolf'.accr)	S1	PetSalvation	3*blvl												druid_summon																																1	0		none												SC	SC	xx				1	4												1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								1				len	1						1	8	8	1	1	1									ulvl	%HP bonus	ulvl	pet lvl	(edmn * (((100+(ulvl*ulvl/100))/60) + ((10+skill(158.blvl))/5)))*(100+stat('passive_summlife'.acc))/100	+HP Bonus	((edmx*63/100)*(100+(skill(158.blvl)*3))/100)	Pet Damage	100	To Hit Bonus	40	to hit/lvl			500	rage duration (for skilldesc) - see fenris rage	25	% damage with rage - see fenris rage	250	damage %	3	max Wolves	70	damage % per level	1								8																8	3	3	3	3	3	80	4	4	4	4	4	(blvl*5*skill('Kick'.clc1)/100)								26	30
Rabies	173	dru	rabies	6	11												rabies1	rabies1	rabies1																																																																									19					rabies1	rabies1	rabies1										1	0		h2h												S3	S3	S3				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								2	wolf				1						1	8	6	0	1										1																						28	damage synergy	1	50	25		1	2			1															pois	65	65	86	129	215	370	99	65	86	129	215	370	((skill('Plague Poppy'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	50							5	30
Fire Claws	174	dru	fire claws	39	2															fire_hit																																																																																									1	0		h2h												A1	A1	A1				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								2	wolf	bear			1						1	8	4	0	1																50	%converted									0		0		0		14	damage synergy	1	50	25						8	128														fire	28	8	10	15	20	23	41	13	15	20	25	35	skill('Wearbear'.blvl)*par8 + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	30
Wind Vortex	175	dru	twister		28												windvortex							75 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100																																																					druid_windcast															28					windvortex												1	0		none												SC	SC	xx				1	4				1								1						druid_windcast		((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20												len	1						1	5	24	1	1										par1	radius	par2	frequency	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Fissure'.blvl)+skill('Twister'.blvl)+skill('Volcano'.blvl)+skill('Tornado'.blvl))	synergy calc	blvl*2		6	radius	4	Missile delay	0	Change duration in Missiles.xls									14	damage synergy	1								8															cold	10	8	10	13	19	25	28	9	11	14	20	31	(min(560,(skill('Wind Vortex'.clc3)*par8))+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	6	6	6				512	8000
Solar Creeper	176	dru	vines		114																	vine_beast																																						vinecreature	manavine	1	S1	Vine Attack	lvl	VineCycler	clc4										druid_summon																																1	0		none												SC	SC	xx				1	4																				1	20	20								1				clc3	1						1	8	8	1	1	1									par3 * (lvl-1)	%HP bonus	ulvl * 3 / 4 + lvl	vine lvl	100 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)	par5 +lvl/par6	%mana per corpse - see VineCycler	3	Number of vines	1	vines per level	25	+%HP per level	0	Mana steal moved -->	3	%mana reclaimed	2	Levels per +1%mana	1		1		1								8																																				26	40
Hunger	177	dru	hunger	39	2															progressive_cold																																																																																									1	0		h2h												A1	A1	A1				1		1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20								2	wolf	bear			1						1	8	4	0	1																50	%converted									0		0		0		14	damage synergy	1	50	25						8	128														cold	28	8	10	15	20	23	41	13	15	20	25	35	skill('Wearwolf'.blvl)*par8 + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)	100	5	5	5				5	40
Shock Wave	178	dru	shock wave		8												shockwave	shockwave						200 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100																																																																				17					shockwave	shockwave											1	0		none												A1	A1	A1				1													36	10							1	20	1								2	bear			len	1						1	6	12	1											24	# missiles							2	stun length		stun length per level											18	damage synergy	1								8	255																																			26	40
Volcano	179	dru	volcano		123												volcano								par1																																																				druid_firecast_a											druid_fire_cast_2					91				volcano overlay fire	volcano											1	0		none												SC	SC	xx				1	4												1						sorceress_cast_fire	druid_fire_cast_2	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20												clc3	1						1	7	8	1	1										(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Fissure'.blvl)+skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Wind Vortex'.blvl))	synergy calc			35 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	CastDelay (skillDesc)	par2	Delay between projectiles	9	Debris range (Volc cone nextHit=10)	3	Debris delay (Debris nextHit=10)											14	damage synergy	1								8		10	4	5	6	8	9	20	5	6	8	9	10	stat('passive_phys_mastery'.accr)+((100+stat('passive_phys_mastery'.accr))*(min(560,(skill('Volcano'.clc1)*par8))+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100))) /100	fire	25	5	7	9	11	13	40	6	8	10	12	14	(min(560,(skill('Volcano'.clc1)*par8))+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	40
Tornado	180	dru	tornado		118												tornado				42371				par2																																																				druid_windcast															69					tornado												1	0		none												SC	SC	xx				1	4												1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	15	20													1						1	6	8	1	1										2	# missiles	(skill('Firestorm'.blvl)+skill('Molten Boulder'.blvl)+skill('Fissure'.blvl)+skill('Twister'.blvl)+skill('Volcano'.blvl)+skill('Wind Vortex'.blvl))	synergy calc	blvl*2		par1	damage delay	10	Frame delay between damage	4	Radius of damage											14	damage synergy	1								8		31	6	10	14	20	25	44	8	11	15	23	31	stat('passive_phys_mastery'.accr)+((100+stat('passive_phys_mastery'.accr))*(min(560,(skill('Tornado'.clc2)*par8))+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100))) /100	cold																					5	40
Spirit of Barbs	181	dru	spirit of barbs		114																				24+lvl																																			spiritofbarbs	totem	1	NU	Barbs Aura	lvl	Summon Spirit Wolf	skill('Summon Spirit Wolf'.blvl)	Oak Sage	skill('Oak Sage'.blvl)	Heart of Wolverine	skill('Heart of Wolverine'.blvl)	Cyclone Armor	blvl				druid_summon																																1	0		none												SC	SC	xx				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	8	8	1	1	1									5 + (blvl) + (lvl/3)	mag res	ulvl	totem lvl	blvl*60	hp regen	blvl/5	absorb	50	+%HP per level	12	Bonus Level	1		1		10		0		4		1		1	410	10						8																																				26	50
Summon Grizzly	182	dru	summon grizzly		119																			200 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100		armorclass	ln12	tohit	ln12																			maxhp	clc3 * 256	mindamage	clc4*80/1000	maxdamage	clc4*120/1000	damagepercent	ln34*blvl/10					druidbear	grizzly	par7+stat('extra_bear'.accr)	S1	PetSalvation	3*blvl												druid_summon																																1	0		none												SC	SC	xx				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1				len	1						1	8	8	1	1	1									ulvl	%HP bonus	ulvl	pet lvl	(edmn * (((100+(ulvl*ulvl/100))/60) + ((10+skill(163.blvl))/5)))*(100+stat('passive_summlife'.acc))/100	+HP Bonus	((edmx*63/100)*(100+(skill(163.blvl)*3))/100)*2	Pet Damage	125	To Hit Bonus	40	to hit/lvl	250	damage %	70	damage % per level					1	max Bears			1								8																16	5	5	5	5	5	80	4	4	4	4	4	(blvl*5*skill('Kick'.clc1)/100)								26	50
Fury	183	dru	fury	37	13																																																																																						53	21																	1	0		h2h												A1	A1	A1				1		1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								2	wolf				1						1	8	6	0											5	max targets	(100+(blvl*40))+(lvl*10)	damage %							100	% frame rollback	35	% damage percent	35	damage % per level	1	Targets per level	5	Max targets					1	50	25						8	128																																			5	50
Armageddon	184	dru	armageddon		124												armageddoncontrol	armageddoncontrol	armageddoncontrol			armageddon		(stat('Hurricane'.accr)==0)?clc1:0	par3	armageddon	1																														(blvl*3)/2 +skill('Jab'.blvl)/2 +skill('Fend'.blvl)/2																				druid_firecast_a											druid_fire_cast_2					92				armageddontail	armageddonrock			25	frames	25	fall rate	15	slide rate			1	0		none												SC	SC	xx				1	4												1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	8	100	1	1										(skill('Fissure'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Firestorm'.blvl)+skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Wind Vortex'.blvl))*200	duration							7500	base duration	0	duration per level	11	radius to drop meteors	5	frame delay between rocks					0	duration synergy	14	damage synergy	1								8															fire	38	9	11	14	16	19	75	13	15	18	20	23	((skill('Fissure'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Firestorm'.blvl))*par8) + (stat('energy'.accr)/4) + lvl*par8								51	50
Hurricane	185	dru	hurricane		124																42883	hurricane		(stat('Armageddon'.accr)==0)?clc1:0	par3	hurricane	1																																																		druid_windcast										druid_hurricane										hurricaneswoosh				3	debris/frame	75	height					1	0		none												SC	SC	xx				1													1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	8	100	1	1										(skill('Fissure'.blvl)+skill('Molten Boulder'.blvl)+skill('Volcano'.blvl)+skill('Firestorm'.blvl)+skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Wind Vortex'.blvl))*200	duration							7500	base duration	0	duration per level	9	radius	30	frames per hit search					0	duration synergy	14	damage synergy	1				1	2			8															cold	25	6	9	11	14	16	50	10	13	15	18	20	((skill('Twister'.blvl)+skill('Tornado'.blvl)+skill('Wind Vortex'.blvl))*par8) + (stat('energy'.accr)/4) +  lvl*par8	50	2	2	2				51	50
Fire Trauma	186	ass	fire trauma																																																																																																										1	0		rng												S2	S2	S2																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	0													1						1	7	6	1	1						1																												1								8																																				5	0
Claw Mastery	187	ass	claw mastery																																											clawmastery		passive_mastery_melee_th	ln12	passive_mastery_melee_dmg	clc3	passive_critical_strike	clc4	item_armor_percent	clc2	item_maxhp_percent																																																					1	0		none												SC	SC	SC				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20																			0	7	8	1	1						1				blvl+skill(189.blvl)+skill(190.blvl)+skill(194.blvl)+skill(195.blvl)+(skill(198.blvl)/2)+skill(200.blvl)+skill(204.blvl)+skill(205.blvl)+skill(209.blvl)+skill(210.blvl)+skill(215.blvl)	all MA skills blvl	blvl*par7+clc1*par8	ac%	(25+(blvl*25))+(lvl*10)	damage%	15 + blvl*2	Crit chance	50	Attack rating bonus percent	25	Percent attack rating per level									30	ac% per base level	30	ac% synergy	1								8																																		10		102	0
Psychic Hammer	188	ass	psychic hammer		80												psychichammer			psychichammer2	42375				20																																																			1	assassin_psychichammer							psychic_hammer_hit	paladin_holybolt_impact_1			psychic_hammer_curse				36					psychichammer												1	7		none												SC	SC	xx					4			1							1		1			4					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	6	6	1	1										0	min heal	0	max heal			0	# bolts	0	holy bolts to release	0	Levels per extra HBolt (can't be zero)	0	min hitpoints healed	0	hitpoints healed per level	0	max hitpoints healed	0	hitpoints healed per level			10	damage synergy	1								8															mag	10	8	11	16	21	31	13	9	14	19	24	40	((100+stat('passive_mag_mastery'.accr)) * (100+((skill('Mind Blast'.blvl)*par8)+(skill('Shadow Warrior'.blvl)*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)))/100)-100						5	3	5	0
Tiger Strike	189	ass	tiger strike	38	76																	whirlwind																																																						1		barbarian_whirlwind													31	45																	1	3		none	3	h2h			2Hwp							SQ	A1	xx	10		1			1									1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	20	20								1					1						1	8	10	0											(25+(blvl*30))+(lvl*10)	damage%											1	Attacks per tick											1	50	25						8	128																																			896	64000
Dragon Talon	190	ass	dragon talon	37	13																																																																							1	assassin_kick_1														53	21																	1	2		h2h		h2h			2Hwp							KK	KK	xx						1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20								1					1						1	8	2	0											min((par5 + lvl -1), par6)	max targets	(100+(blvl*35))+(lvl*15)	damage %					15	damage synergy	100	% frame rollback	35	% damage percent	35	damage % per level	3	Targets	5	Max targets	15		50		1	50	25						8	128																																			512	8000
Shock Field	191	ass	shock field																																																																																																										1	0		rng												S2	S2	S2																									((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	0													1						1	7	6	1	1						1																												1								8																																				5	10
Blade Sentinel	192	ass	blade sentinel		44												blade creeper																															tohit	10000	passive_mag_mastery	stat('passive_mag_mastery'.accr)	passive_mag_pierce	stat('passive_mag_pierce'.accr)							bladecreeper	bladetrap	4	S1	Blade Sentinel	lvl	Lightning Sentry	skill('Lightning Sentry'.blvl)	Shadow Master	skill('Shadow Master'.blvl)								assassin_summon																																1	0		rng												SC	SC	SC				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20													1						1	5	8	1	1																ln12	duration	150	duration	0	duration per level	4	Total number assassin traps	4	Total number pet traps							7	damage synergy	1								8		4	4	10	19	31	31	8	5	11	21	38	88	((100+stat('passive_phys_mastery'.accr))*(100+(skill('Fade'.blvl)+skill('Blade Fury'.blvl))*par8)+ (blvl*5*skill('Kick'.clc1)/100))/100																				5	-6	5	10
Burst of Speed	193	ass	quickness																																											quickness		velocitypercent	clc3	attackrate	blvl	item_pierce	clc2	item_fasterblockrate	clc3	hpregen	clc1																				assassin_quickness																																1	0		none												SC	SC	SC				1													1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	7	10	1	1	1					1				3*(stat('maxhp'.accr)/256)/10 + stat('vitality'.base)*5	passive regen	2*skill('Blade Fury'.blvl)	%Pierce synergy	ln12	%FRWalk & FBRate	blvl	%IAS	5	% min increased walk speed	1	+%FRWalk per level	5	min % increased attack speed	1	+%IAS per level	90000	duration	0	duration per level			1	%IAS synergy	1								8																																		1		51	10
Fists of Fire	194	ass	fists of fire		18									fofmaker			fofmaker																																																																															fofmaker	fofmaker												1	5		h2h		mele										A1	A1	xx				1	4	1	1								1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20								1				clc4	1						1	8	6	0											1	# bolts					60 * (100-min(stat('item_cast_delay_reduced'.accr),skill('Kick'.par4)))/100	castdelay	0	Minimum pois bolts	0	Levels per extra bolt.	0	max bolts									17	damage synergy	1	100	50						8															fire	20	13	19	31	44	75	38	15	23	38	50	81	((skill('Wake of Fire Sentry'.blvl)+skill('Inferno Sentry'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)						4		5	10
Dragon Claw	195	ass	dragon claw	25	46																																																																								assassin_kick_1																																1	0		h2h	3	h2h					h2h					SQ	A1	xx	16			1		1	1								1										((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	5	20								1					1						1	8	3	0	1					1					(25+(blvl*25))+(lvl*10)	damage%																					15	damage synergy	1	50	25						8	128														stun														50					4		5	10
Charged Bolt Sentry	196	ass	charged bolt sentry		44																																											passive_ltng_mastery	stat('passive_ltng_mastery'.accr)	passive_ltng_pierce	stat('passive_ltng_pierce'.accr)	hurricane	ulvl	energy	stat('energy'.accr)					chargeboltsentry	assassintrap	3	S1	BoltSentry	lvl	Claws of Thunder	skill('Claws of Thunder'.blvl)	Lightning Sentry	skill('Lightning Sentry'.blvl)	Teeth	blvl						assassin_summon																																1	0		rng												S2	S2	S2				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20												clc3	1						1	7	4	1																	par1	shots fired	3	Shots fired			0	Bolts to send out	0	Bolts to send out per level							10	damage synergy	1								8															ltng	1	0	0	0	0	0	38	19	31	44	56	75	((skill('Claws of Thunder'.blvl)+skill('Lightning Sentry'.blvl))*par8) + (stat('energy'.accr)/4) + (skill('Teeth'.lvl)*5*(max(skill('Kick'.clc1),((stat('hurricane'.accr)>40)?(stat('hurricane'.accr)*5-400):0)))/100)								26	20
Wake of Fire Sentry	197	ass	wake of fire sentry		44																																											passive_fire_mastery	stat('passive_fire_mastery'.accr)	passive_fire_pierce	stat('passive_fire_pierce'.accr)	hurricane	ulvl	energy	stat('energy'.accr)					wakeofdestruction	assassintrap	3	S1	Wake Of Destruction Sentry	lvl	Fists of Fire	skill('Fists of Fire'.blvl)	Inferno Sentry	skill('Inferno Sentry'.blvl)	Teeth	blvl						assassin_summon																																1	0		rng												S2	S2	S2				1	4																				((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20												clc4	1						1	7	4	1																			3	Shots fired													14	damage synergy	1								7															fire	5	3	4	8	10	19	10	4	5	10	13	20	((skill('Fists of Fire'.blvl)+skill('Inferno Sentry'.blvl))*par8) + (stat('energy'.accr)/4) + ((max(blvl,skill('Teeth'.lvl)))*5*(max(skill('Kick'.clc1),((stat('hurricane'.accr)>40)?(stat('hurricane'.accr)*5-400):0)))/100)								26	10
Weapon Block	198	ass	weapon block																																											weaponblock	h2h	passive_weaponblock	clc3	item_fasterblockrate	clc4																																																										1	0		rng		h2h					h2h					SC	SC	SC				1																					1	10	20													1						0	7	8	1	1						1								min(50, 20+blvl/2 + stat('dexterity'.base)/6+skill('Dragon Claw'.blvl)/4)	block	30 + (blvl*3)	fbr	5	start block%	30	fbr%											0	fbr per synergy	1								8																																		10		102	20
Cloak of Shadows	199	ass	cloak of shadows		30																2		dimvision	ln34	dm12	poisonresist	clc4	fireresist	clc4	lightresist	clc4	coldresist	clc4	magicresist	clc4	skill_armor_percent	ln56																																																						18	30																	1	0		none												SC	SC	SC				1													1								1	10	5													1						1	7	8	1	1																-3-((blvl-1)/2)	lower resist%	25	min radius of effect	55	max radius of effect	750	duration		duration per level	-14	monster ac reduced	-1	monster ac/lvl				%AC per level	1								8																																		2		51	20
