name	type	code	alternateGfx	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam	rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	sound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade
Flamberge	swor	flb	clm	0		3	1	9	15	1	1	13	26			2	-10	1		70	49	50		27	0	2400	80800			clm	flb	9fb	7fb	1hs	2hs	5	2hss	2	4				flpflb	invflb			1	5	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Great Sword	swor	gsd	gsd	0		4	1	12	18	1	1	25	42			2	10	1		100	60	50		33	0	3451	132883			clm	gsd	9gd	7gd	1hs	2hs	5	2hss	2	4				flpgsd	invgsd	invgsdu	invgsdu	1	6	0		0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Dagger	knif	dgr	dgr	0		1	1	1	4								-20	1				16		3	0	60	4180			dgr	dgr	9dg	7dg	1ht	1ht	5	1ht	1	2				flpdgr	invdgr			1	1	0		0	27	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Dirk	knif	dir	dir	0		1	1	3	7									1			25	20		9	0	532	11788			dgr	dir	9di	7di	1ht	1ht	5	1ht	1	2				flpdir	invdir			1	1	0		0	27	0	0	5	0	0	0	0	0	7	0	0	3	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Kriss	knif	kri	dir	0		3	1	2	9								-20	1			45	24		17	0	1227	31859			dgr	kri	9kr	7kr	1ht	1ht	5	1ht	1	3				flpkrs	invkrs	invkrsu	invkrsu	1	3	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	1	255	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	1	1			1	2	0	xxx	xxx
Blade	knif	bld	dgr	0		3	1	4	12								-10	1		35	51	24		23	0	1764	54572			dgr	bld	9bl	7bl	1ht	1ht	5	1ht	1	3				flpbld	invbld			1	2	0		0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1			1	2	0	xxx	xxx
Throwing Knife	tkni	tkf	dgr	0		1	1	2	3					4	9			1			21	4		2	0	60	4180			dgr	tkf	9tk	7tk	1ht	1ht	5	1ht	1	2	1	40	75	flptkn	invtkn					0	primarily thrown	0	27	0	0	5	0	0	0	0	36	7	4	0	3	1	2	0	0	255	1	2	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	2	2	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Throwing Axe	taxe	tax	hax	0		1	1	4	7					8	12		10	1			40	6		7	0	60	4180			hax	tax	9ta	7ta	1hs	1hs	5	1hsl	1	2	1	16	32	flptax	invtax					0	primarily thrown	0	27	0	0	5	0	0	0	0	35	7	5	0	3	1	1	0	0	255	1	2	0	0	1	0	0	0	0	255	1	2	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	2	2	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Balanced Knife	tkni	bkf	dgr	0		1	1	1	8					6	11		-20	1			51	8		13	0	60	4180			dgr	bkf	9bk	7bk	1ht	1ht	5	1ht	1	2	1	30	60	flpbkf	invbkf					0	primarily thrown	0	27	0	0	5	0	0	0	0	36	7	4	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	0	0	1	2	3	0	0	1	1	2	0	0	255	0	0	0	0	255	1	2	0	0	255	0	0	0	0	255	0	0	0	0	255			1	2	0	xxx	xxx
Balanced Axe	taxe	bal	hax	0		2	1	5	10					12	15		-10	1			57	10		16	0	60	4180			hax	bal	9b8	7b8	1hs	1hs	5	1hsl	2	3	1	16	24	flpbal	invbal					0	primarily thrown	0	29	0	0	5	0	0	0	0	35	7	5	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	2	3	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	2	0	0	1	2	3	0	0	1	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255			2	2	0	xxx	xxx
Javelin	jave	jav	jav	0		1	1	1	5					6	14	2	-10	1				2		1	0	60	4180			jav	jav	9ja	7ja	1ht	1ht	5	1ht	1	3	1	30	60	flpjav	invjav					0	primarily thrown	0	14	0	0	5	0	0	0	0	1	7	2	0	3	2	3	0	0	255	1	2	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	1	2	0	0	1	1	1	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	10	0	0	255	0	0	0	1	255	1	1	0	0	255			5	8	0	xxx	xxx
Pilum	jave	pil	pil	0		1	1	4	9					7	20	2		1			45	3		10	0	60	4180			jav	pil	9pi	7pi	1ht	1ht	5	1ht	1	3	1	25	50	flppil	invpil					0	primarily thrown	0	29	0	0	5	0	0	0	0	371	7	2	0	3	0	0	0	0	255	1	1	0	0	1	0	0	0	0	255	0	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	1	2	0	0	1	1	1	0	0	255	1	1	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	1	255	1	1	0	0	255			5	8	0	xxx	xxx
Short Spear	jave	ssp	jav	0		1	1	2	13					10	22	2	10	1		40	40	4		15	0	60	4180			jav	ssp	9s9	7s7	1ht	1ht	5	1ht	1	3	1	20	40	flpssp	invssp					0	primarily thrown	0	29	0	0	5	0	0	0	0	1	7	2	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	2	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	1	255	1	1	0	0	255			5	8	0	xxx	xxx
Glaive	jave	glv	glv	0		1	1	5	17					16	22	2	20	1		52	35	5		23	0	60	4180			jav	glv	9gl	7gl	1ht	1ht	5	1ht	1	4	1	8	20	flpglv	invglv					0	primarily thrown	0	29	0	0	5	0	0	0	0	37	7	2	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	1	2	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	1	255	1	1	0	0	255			1	2	0	xxx	xxx
Throwing Spear	jave	tsp	pil	0		1	1	5	15					12	30	2	-10	1			65	6		29	0	60	4180			jav	tsp	9ts	7ts	1ht	1ht	5	1ht	1	4	1	32	80	flptsp	invtsp					0	primarily thrown	0	29	0	0	5	0	0	0	0	371	7	2	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	255	0	0	0	0	255	0	0	0	1	255	1	1	0	0	255			1	2	0	xxx	xxx
Spear	spea	spr	spr	0		1	1				1	3	15			3	-10	1			20	30		5	0	300	6500			spr	spr	9sr	7sr	2ht	2ht	5	2ht	2	4				flpspr	invspr			1	3	0	2 square reach	0	28	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Trident	spea	tri	tri	0		1	1				1	9	15			3		1		38	24	35		9	0	683	13147			spr	tri	9tr	7tr	2ht	2ht	5	2ht	2	4				flptri	invtri	invtriu	invtriu	1	4	0	2 square reach	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Brandistock	spea	brn	brn	0		1	1				1	7	17			4	-20	1		40	50	28		16	0	1162	29092			spr	brn	9br	7br	2ht	2ht	5	2ht	2	4				flpbrn	invbrn			1	5	0	2 square reach	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Spetum	spea	spt	tri	0		1	1				1	15	21			4		1		54	35	28		20	0	1672	45940			spr	spt	9st	7st	2ht	2ht	5	2ht	2	4				flpspt	invspt			1	6	0	2 square reach	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Pike	spea	pik	pik	0		1	1				1	14	63			4	20	1		60	45	25		24	0	2023	63052			spr	pik	9p9	7p7	2ht	2ht	5	2ht	2	4				flppik	invpik			1	6	0	3 square reach	0	29	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	255	0	1	0	0	255	1	1	1	1	1	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Bardiche	pole	bar	hal	0		1	1				1	1	27			2	10	1		40		50		5	0	302	6510			hal	bar	9b7	7b7	stf	stf	5	2hsl	2	4				flpbar	invbar			1	3	0	2 square reach	0	28	0	0	5	0	0	0	0	0	7	0	0	3	1	1	1	1	1	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Voulge	pole	vou	hal	0		1	1				1	6	20			2		1		50		50		11	0	611	14721			hal	vou	9vo	7vo	stf	stf	5	2hsl	2	4				flpvou	invvou			1	4	0	2 square reach	0	28	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Scythe	pole	scy	scy	0		4	1				1	8	20			1	-10	1		41	41	65		15	0	848	22720			hal	scy	9s8	7s8	stf	stf	5	2hsl	2	4				flpscy	invscy	invscyu	invscyu	1	5	0	2 square reach	0	28	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	1	255	0	0	0	1	1	0	0	0	0	255	0	0	0	1	1	0	0	0	0	255	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Poleaxe	pole	pax	hal	0		1	1				1	18	30			3	10	1		62		65		21	0	1701	48721			hal	pax	9pa	7pa	stf	stf	5	2hsl	2	4				flppax	invpax			1	5	0	2 square reach	0	28	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Halberd	pole	hal	pax	0		3	1				1	12	40			4		1		75	47	55		29	0	2706	95474			hal	hal	9h9	7h7	stf	stf	5	2hsl	2	4				flphal	invhal			1	6	0	2 square reach	0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
War Scythe	pole	wsc	scy	0		3	1				1	15	32			4	-10	1		80	80	55		34	0	3388	134692			hal	wsc	9wc	7wc	stf	stf	5	2hsl	2	4				flpwsc	invwsc			1	6	0	2 square reach	0	16	0	0	5	0	0	0	0	0	7	0	0	3	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			2	2	0	xxx	xxx
Short Staff	staf	sst	bst	0		1	1				1	1	5			1	-10	1				20		1	0	168	3168			bst	sst	8ss	6ss	stf	stf	5	club	1	3				flpsst	invsst			1	2	0	magically charged	0	28	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	5	9	5	9	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Long Staff	staf	lst	sst	0		1	1				1	2	8			1		1				30		8	0	463	10204			bst	lst	8ls	6ls	stf	stf	5	staf	1	4				flplst	invlst			1	3	0	magically charged	0	28	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	2	3	1	2	1	0	0	0	0	255	0	0	0	0	255	1	2	0	2	1	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Gnarled Staff	staf	cst	cst	0		2	1				1	4	12			1	10	1				35		12	0	766	17692			bst	cst	8cs	6cs	stf	stf	5	staf	1	4				flpcst	invcst	invcstu	invcstu	1	4	0	magically charged	0	28	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	3	5	5	9	1	0	0	0	0	255	0	0	0	0	255	2	3	2	5	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Battle Staff	staf	bst	sst	0		2	1				1	6	13			1		1				40		17	0	1223	31791			bst	bst	8bs	6bs	stf	stf	5	staf	1	4				flpbst	invbst			1	4	0	magically charged	0	28	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	3	1	3	1	0	0	0	0	255	0	0	0	0	255	2	3	2	5	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	2	3	0	3	1	0	0	0	0	255	0	0	0	0	255	2	3	0	3	1			5	8	0	xxx	xxx
War Staff	staf	wst	lst	0		3	1				1	12	28			1	20	1				50		24	0	1985	62140			bst	wst	8ws	6ws	stf	stf	5	staf	2	4				flpwst	invwst			1	6	0	magically charged	0	28	0	0	5	0	0	0	0	0	7	0	0	5	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	1	2	0	1	1	0	0	0	0	255	0	0	1	2	1	1	2	0	1	1			5	8	0	xxx	xxx
Short Bow	bow	sbw	sbw	0		1	1				1	1	4				5		1		15	20	1	1	0	100	3100			sbw	sbw	8sb	6sb	bow	bow	6	bow	2	3				flpsbw	invsbw			1	3	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Hunter's Bow	bow	hbw	sbw	0		1	1				1	2	6				-10		1		28	32	1	5	0	350	6750			sbw	hbw	8hb	6hb	bow	bow	6	bow	2	3				flphbw	invhbw			1	4	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Long Bow	bow	lbw	lbw	0		1	1				1	3	10						1	22	19	28	1	8	0	490	10420			sbw	lbw	8lb	6lb	bow	bow	6	bow	2	4				flplbw	invlbw			1	5	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Composite Bow	bow	cbw	lbw	0		2	1				1	4	8				-10		1	25	35	36	1	12	0	727	17224			sbw	cbw	8cb	6cb	bow	bow	6	bow	2	3				flpcbw	invcbw	invcbwu	invcbwu	1	4	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	0	255	0	1	0	0	255	0	1	0	0	255	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Short Battle Bow	bow	sbb	sbb	0		2	1				1	5	11						1	30	40	40	1	18	0	1045	30310			sbw	sbb	8s8	6s7	bow	bow	6	bow	2	3				flpsbb	invsbb	invsbbu	invsbbu	1	5	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Long Battle Bow	bow	lbb	lbb	0		2	1				1	3	18				10		1	40	50	44	1	23	0	1545	49535			sbw	lbb	8l8	6l7	bow	bow	6	bow	2	4				flplbb	invlbb			1	6	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Short War Bow	bow	swb	sbb	0		3	1				1	6	14						1	35	55	48	1	27	0	2500	83500			sbw	swb	8sw	6sw	bow	bow	6	bow	2	3				flpswb	invswb	invswbu	invswbu	1	5	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	1	0	1	1	0	1	0	1	1	0	0	0	0	255	1	1	1	1	1	0	1	1	1	1	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Long War Bow	bow	lwb	lbb	0		3	1				1	3	23				10		1	50	65	55	1	31	0	3575	128825			sbw	lwb	8lw	6lw	bow	bow	6	bow	2	4				flplwb	invlwb			1	6	0		0	5	0	0	5	1	0	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	1	1	1	1	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Light Crossbow	xbow	lxb	lxb	0		1	1				1	6	9				-10		1	21	27	30	1	6	0	803	10318			lxb	lxb	8lx	6lx	xbw	xbw	5	xbow	2	3				flplxb	invlxb	invlxbu	invlxbu	1	3	0	reload lag between shots	0	8	0	0	5	1	0	0	0	0	7	0	0	1	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
Crossbow	xbow	mxb	lxb	0		1	1				1	9	14						1	40	33	40	1	15	0	2345	45175			lxb	mxb	8mx	6mx	xbw	xbw	5	xbow	2	3				flpmxb	invmxb	invmxbu	invmxbu	1	4	0	reload lag between shots	0	8	0	0	5	1	0	0	0	0	7	0	0	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	1	1	1	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	255	0	1	0	1	1	0	0	0	0	255	0	0	0	0	255	0	0	0	0	255			5	8	0	xxx	xxx
