Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
of the Mind	100	1	1	18	72	8				3	23	enr		8	12											ring										0	0	0
of Brilliance	100	1	1	36	90	26				3	23	enr		12	16											ring										0	0	0
of Sorcery	100	1	1	72		62				3	23	enr		16	20											ring										0	0	0
of Wizardry	100	1	1	90		81				3	23	enr		20	30									1	dgld	ring										0	0	0
of Energy	100			4	20	1				3	23	enr		1	3											helm										0	0	0
of the Mind	100			10		1				3	23	enr		4	7											helm										0	0	0
of Brilliance	100			16		6				3	23	enr		8	12											helm										0	0	0
of Sorcery	100			26		16				3	23	enr		13	18									1	dgld	helm										0	0	0
of Knowledge	100	1	1	10	50	1				3	23	enr		5	5											jewl										0	0	0
of the Bear	100	1	1	12		2				3	24	knock		1	1											mele										0	0	0
of Light	100	1	1	6	40	1				1	25	light		1	2	att		40	60							armo	rod	ring	amul							0	0	0
of Radiance	100	1	1	40	70	31				1	25	light		3	4	att		80	120							rod	miss	ring	amul	helm						0	0	0
of the Sun	100	1	1	70		61				1	25	light		5	6	att		160	240							rod	miss	glov	ring	amul	helm					0	0	0
of the Jackal	100	1	1	1	21	1				3	26	hp		10	20											tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Fox	100	1	1	7	42	1				3	26	hp		20	25											tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Wolf	100	1	1	21	76	11				3	26	hp		25	50											tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Tiger	100	1	1	42	88	32				3	26	hp		50	80											tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Mammoth	100	1	1	76		66				3	26	hp		80	120									1	cred	tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Colosuss	100	1	1	78		78				3	26	hp		120	140									1	cred	tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Squid	100	1	1	82		82				3	26	hp		140	180									1	cred	tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Whale	100	1	1	85		85				3	26	hp		180	200									1	cred	tors	belt	amul	helm	shld	bowq	xboq				0	0	0
of the Jackal	100	1	1	4	18	1				3	26	hp		8	12											ring										0	0	0
of the Fox	100	1	1	9	36	1				3	26	hp		12	20											ring										0	0	0
of the Wolf	100	1	1	18	72	8				3	26	hp		24	32											ring										0	0	0
of the Tiger	100	1	1	36	88	26				3	26	hp		48	70											ring										0	0	0
of the Mammoth	100	1	1	72		62				3	26	hp		70	100									1	cred	ring										0	0	0
of the Colosuss	100	1	1	78		78				3	26	hp		100	130									1	cred	ring										0	0	0
of the Jackal	100	1	1	9	36	1				3	26	hp		20	30											weap										0	0	0
of the Fox	100	1	1	18	72	8				3	26	hp		30	40											weap										0	0	0
of the Wolf	100	1	1	36	88	26				3	26	hp		40	60											weap										0	0	0
of the Tiger	100	1	1	72		62				3	26	hp		60	80											weap										0	0	0
of the Mammoth	100	1	1	78		78				3	26	hp		80	100									1	cred	weap										0	0	0
of Life	100	1	1	1	30	1				4	26	hp		8	10											lcha										0	0	0
of Life	100	1	1	9	29	1				4	26	hp		16	20											lcha										0	0	0
of Life	100	1	1	19	49	9				4	26	hp		24	30											lcha										0	0	0
of Substinence	100	1	1	29	69	19				4	26	hp		32	40											lcha										0	0	0
of Substinence	100	1	1	49	79	39				4	26	hp		40	50											lcha										0	0	0
of Substinence	100	1	1	69	89	59				4	26	hp		48	60											lcha										0	0	0
of Vita	100	1	1	79	92	69				4	26	hp		56	70											lcha										0	0	0
of Vita	100	1	1	87		79				4	26	hp		64	80											lcha										0	0	0
of Vita	100	1	1	87		82				4	26	hp		72	90											lcha										0	0	0
of Life	100	1	1	9	42	1				4	26	hp		8	10											mcha										0	0	0
of Life	100	1	1	15	65	5				4	26	hp		16	20											mcha										0	0	0
of Substinence	100	1	1	42	82	32				4	26	hp		32	30											mcha										0	0	0
of Substinence	100	1	1	65	88	55				4	26	hp		32	40											mcha										0	0	0
of Vita	100	1	1	82		72				4	26	hp		40	50											mcha										0	0	0
of Vita	100	1	1	87		78				4	26	hp		48	60											mcha										0	0	0
of Life	100	1	1	14	50	4				4	26	hp		8	12											scha										0	0	0
of Substinence	100	1	1	28		18				4	26	hp		16	24											scha										0	0	0
of Vita	100	1	1	72		62				4	26	hp		24	30											scha										0	0	0
of Spirit	100	1	1	24	55	14				4	26	hp		20	30											jewl										0	0	0
of Hope	100	1	1	48		38				4	26	hp		40	50											jewl										0	0	0
of the Leech	100	1	1	6	18	1				6	27	lifesteal		2	4											weap							orb	staf	wand	0	0	0
of the Locust	100	1	1	18	36	8				6	27	lifesteal		3	6									1	cred	weap							orb	staf	wand	0	0	0
of the Lamprey	100	1	1	36		26				6	27	lifesteal		5	7									1	cred	weap							orb	staf	wand	0	0	0
of the Leech	100	1	1	14	80	4				4	27	lifesteal		1	4											ring	circ									0	0	0
of the Locust	100	1	1	47		37				4	27	lifesteal		2	5											ring	circ									0	0	0
of the Lamprey	100	1	1	80		71				4	27	lifesteal		3	7									1	cred	ring	circ									0	0	0
of the Leech	100	1	1	34		24				4	27	lifesteal		2	3									1	cred	glov	jewl									0	0	0
of the Bat	100	1	1	7	21	1				4	28	manasteal		4	6											weap							orb			0	0	0
of the Wraith	100	1	1	21	56	11				4	28	manasteal		6	8									1	cred	weap										0	0	0
of the Vampire	100	1	1	56		46				4	28	manasteal		9	12									1	cred	weap										0	0	0
of the Bat	100	1	1	15	58	5				4	28	manasteal		3	4											amul	circ									0	0	0
of the Wraith	100	1	1	58		48				4	28	manasteal		5	7											amul	circ									0	0	0
of the Vampire	100	1	1	78		68				4	28	manasteal		8	10									1	cred	amul	circ									0	0	0
of the Bat	100	1	1	35		25				4	28	manasteal		3	3									1	cred	glov										0	0	0
of Defiance	100	1	1	72		62				1	29	res-pois-len		75	100									1	dred	tors	shld	amul	circ	helm						0	0	0
of Amelioration	100	1	1	48		38				2	29	res-pois-len		50	66											tors	shld	amul	circ	helm						0	0	0
of Remedy	100	1	1	7	72	1				2	29	res-pois-len		25	33											armo	ring	amul	circ							0	0	0
of Simplicity	100		1	66		56				2	30	ease		-20	-30											tors	weap	shld					rod	orb		0	0	0
of Ease	100		1	44		34				2	30	ease		-10	-20											tors	weap	shld					rod	orb		0	0	0
of Freedom	100		1	20		11				3	30	ease		-10	-10											jewl										0	0	0
of Strength	100	1	1	1	24	1				3	31	str		2	4											amul	belt	mele	circ							0	0	0
of Might	100	1	1	8	48	1				3	31	str		4	6											amul	belt	mele	circ							0	0	0
of the Ox	100	1	1	24	62	14				3	31	str		8	12											amul	belt	mele	circ							0	0	0
of the Giant	100	1	1	48		38				3	31	str		12	16											amul	belt	mele	circ							0	0	0
of the Titan	100	1	1	62		52				3	31	str		16	24									1	dgld	amul	belt									0	0	0
of Atlus	100	1	1	84		74				3	31	str		24	32									1	dgld	belt										0	0	0
of Strength	100	1	1	1	24	1				3	31	str		2	4											ring	tors	boot								0	0	0
of Might	100	1	1	8	48	1				3	31	str		4	8											ring	tors	boot								0	0	0
of the Ox	100	1	1	24	66	14				3	31	str		8	12											ring	tors	boot								0	0	0
of the Giant	100	1	1	48		38				3	31	str		12	16											ring	tors	boot								0	0	0
of the Titan	100	1	1	66		56				3	31	str		16	24									1	dgld	ring	tors	boot								0	0	0
of Strength	100	1	1	12	25	2				3	31	str		4	6											glov	shld						blun			0	0	0
of Might	100	1	1	25	37	15				3	31	str		7	10											glov	shld						blun			0	0	0
of the Ox	100	1	1	37		27				3	31	str		10	15											glov	shld						blun			0	0	0
of the Giant	100	1	1	51		41				3	31	str		15	20									1	dgld	glov	shld						blun			0	0	0
of Strength	100	1	1	1	40	1				4	31	str		2	4											lcha	bowq	xboq								0	0	0
of Strength	100	1	1	3	40	1				4	31	str		2	3											mcha										0	0	0
of Strength	100	1	1	7	40	1				4	31	str		1	1											scha										0	0	0
of Strength	100	1	1	29		19				4	31	str		5	6											lcha	bowq	xboq								0	0	0
of Strength	100	1	1	29		19				4	31	str		4	5											mcha										0	0	0
of Strength	100	1	1	29		19				4	31	str		2	2											scha										0	0	0
of Virility	100	1	1	18		8				4	31	str		2	6											jewl										0	0	0
of Pacing	100	1	1	1	37	1				3	35	move1		10	10											boot	circ	bowq	xboq							0	0	0
of Haste	100	1	1	22	66	12				4	35	move2		20	20											boot	circ	bowq	xboq							0	0	0
of Speed	100	1	1	37		27				4	35	move3		30	30											boot	circ	bowq	xboq							0	0	0
of Traveling	100	1	1	66		56				4	35	move3		40	40											boot	bowq	xboq								0	0	0
of Acceleration	100	1	1	82		72				4	35	move3		50	50											boot	bowq	xboq								0	0	0
of Inertia	100	1	1	19		9				4	35	move3		15	15											lcha										0	0	0
of Inertia	100	1	1	24		14				4	35	move2		10	10											mcha										0	0	0
of Inertia	100	1	1	35		25				4	35	move1		5	5											scha										0	0	0
of Self-Repair	100	1	1	1	79	1				3	37	rep-dur	3													weap							comb	miss		0	0	0
of Fast Repair	100		1	20		11				3	37	rep-dur	5													weap							comb	miss		0	0	0
of Ages	100		1	50		41				3	39	rep-dur	10													weap							comb	miss		0	0	0
of Replenishing	100		1	5	50	1				6	39	rep-quant	5													thro										0	0	0
of Propogation	100		1	24		14				6	39	rep-quant	10													thro										0	0	0
of the Kraken	100	1	1	16		6				1	41	hp/lvl	16											1	cred	tors	amul	pelt	phlm	belt						0	0	0
of Memory	100	1	1	16		6				1	41	mana/lvl	16											1	cred	circ	amul	pelt	belt							0	0	0
of the Elephant	100	1	1	32		22				1	41	hp/lvl	12			mana/lvl	12							1	cred	tors	helm	belt								0	0	0
of Power	100	1	1	16		6				1	42	str/lvl	3											1	dgld	amul	helm									0	0	0
of Grace	100	1	1	16		6				1	42	dex/lvl	3											1	dgld	amul	helm									0	0	0
of Grace and Power	100	1	1	16		6				1	42	str/lvl	3			dex/lvl	3							1	dgld	amul	helm									0	0	0
of the Yeti	100	1	1	20	50	11				1	43	res-cold/lvl	5											1	lblu	tors	glov	amul								0	0	0
of the Phoenix	100	1	1	20	50	11				1	43	res-fire/lvl	5											1	cred	shld	helm	amul								0	0	0
of the Efreeti	100	1	1	20	50	11				1	43	res-ltng/lvl	5											1	cblu	glov	boot	ring								0	0	0
of the Cobra	100	1	1	20	50	11				1	43	res-pois/lvl	5											1	dyel	belt	ring	amul								0	0	0
of the Elements	100	1	1	30	60	21				1	43	res-cold/lvl	3			res-fire/lvl	3			res-ltng/lvl	3			1	dgld	circ										0	0	0
of Firebolts	100			16		6					44	hit-skill	36	10	12									1	cred	weap							thro	miss	bow	0	0	0
of Firebolts	100		1	6	25	1				1	44	att-skill	36	10	20									1	cred	weap							thro	miss	bow	0	0	0
of Firebolts	100		1	20	35	11				1	44	att-skill	36	12	40									1	cred	weap							thro	miss	bow	0	0	0
of Charged Shield	100		1	6	25	1				1	44	gethit-skill	38	10	10											armo	ring	amul								0	0	0
of Charged Shield	100		1	16	35	6				1	44	gethit-skill	38	12	20											armo	ring	amul								0	0	0
of Charged Shield	100		1	26	55	16				1	44	gethit-skill	38	16	30											armo	ring	amul								0	0	0
of Icebolt	100		1	6	25	1				1	44	att-skill	39	10	15									1	lblu	weap							thro	miss	bow	0	0	0
of Icebolt	100		1	20	35	11				1	44	att-skill	39	12	30									1	lblu	weap							thro	miss	bow	0	0	0
of Static Field	100					1					44																									0	0	0
of Telekinesis	100		1			1					44																									0	0	0
of Frost Shield	100		1	12		2				1	44	gethit-skill	44	10	14									1	lblu	armo	amul									0	0	0
of Ice Blast	100		1	18	40	8				1	44	att-skill	45	10	30									1	lblu	weap							thro	miss	bow	0	0	0
of Blaze	100					1					44																									0	0	0
of Fire Ball	100		1	45	80	35				1	44	att-skill	49	12	45									1	cred	weap							thro	miss	bow	0	0	0
of Nova	100		1	18	50	8				1	44	hit-skill	48	10	30									1	cblu	weap							thro	miss	bow	0	0	0
of Nova	100		1	28	60	18				1	44	hit-skill	48	12	40									1	cblu	weap							thro	miss	bow	0	0	0
of Nova Shield	100		1	18	50	8				1	44	gethit-skill	48	10	30									1	cblu	armo	ring									0	0	0
of Nova Shield	100		1	28	60	18				1	44	gethit-skill	48	12	40									1	cblu	armo	ring									0	0	0
of Nova Shield	100		1	38	70	28				1	44	gethit-skill	48	16	50									1	cblu	armo	ring									0	0	0
of Lightning	100		1	80		71				1	44	att-skill	49	12	45									1	cblu	weap							thro	miss	bow	0	0	0
of Lightning	100			12		2		sor	9	1	44	charged	49	50	2									1	cblu	weap							thro	miss	bow	0	0	0
of Shiver Armor	100					1					44																									0	0	0
of Fire Wall	100		1	50		41				1	44	gethit-skill	68	5	10											belt	boot	helm								0	0	0
of Enchant	100	1	1	55		45				1	44	gethit-skill	40	5	25											belt	boot	helm								0	0	0
of Chain Lightning	100		1	50		41					44	gethit-skill	53	5	10											belt	boot	helm								0	0	0
of Chain Lightning	100		1	50		41				1	44	gethit-skill	235	5	10											belt	boot	helm								0	0	0
of Chain Lightning	100		1	50		41				1	44	gethit-skill	267	5	10											belt	boot	helm								0	0	0
of Teleport Shield	100			25		15				1	44	gethit-skill	54	10	3									1	whit	armo	ring	amul								0	0	0
of Teleport Shield	100			35		25				1	44	gethit-skill	54	14	3									1	whit	armo	ring	amul								0	0	0
of Teleport Shield	100			45		35				1	44	gethit-skill	54	18	3									1	whit	armo	ring	amul								0	0	0
of Glacial Spike	100		1	45		35				1	44	att-skill	55	12	40									1	lblu	weap							thro	miss		0	0	0
of Meteor	100		1	80		71				1	44	hit-skill	56	7	20																					0	0	0
of Thunder Storm	100					1					44																									0	0	0
of Energy Shield	100					1					44																									0	0	0
of Blizzard	100		1	80		71				1	44	hit-skill	59	7	20																					0	0	0
of Chilling Armor	100					1					44																									0	0	0
of Hydra Shield	100		1	40		31				1	44	gethit-skill	62	6	20									1	cred	amul	ring									0	0	0
of Frozen Orb	100					1					44																									0	0	0
of Dawn	100			30		21				0	45	ac/time	3	10	40																					0	0	0
of Sunlight	100			30		21				0	45	ac/time	0	-10	60																					0	0	0
of Magic Arrows	100		1	12		2		ama	1	1	44	charged	6	-30	-10											miss	abow									0	0	0
of Magic Arrows	100		1	35		25		ama	3	1	44	charged	6	-20	-6											glov										0	0	0
of Fire Arrows	100		1	13		3		ama	1	1	44	charged	7	-30	-10											miss	abow									0	0	0
of Fire Arrows	100		1	40		31		ama	3	1	44	charged	7	-20	-6											glov										0	0	0
of Inner Sight	100		1	18		8		ama	2	1	44	charged	8	-40	-8											amul	circ									0	0	0
of Inner Sight	100		1	50		41		ama	5	1	44	charged	8	-40	-8											glov										0	0	0
of Jabbing	100		1	24		14		ama	3	1	44	charged	10	-60	-7											spea	aspe									0	0	0
of Jabbing	100		1	50		41		ama	5	1	44	charged	10	-20	-4											glov										0	0	0
of Cold Arrows	100		1	15		5		ama	6	1	44	charged	11	-30	-8											miss	abow									0	0	0
of Cold Arrows	100		1	47		37		ama	9	1	44	charged	11	-20	-5											glov										0	0	0
of Multiple Shot	100		1	18		8		ama	6	1	44	charged	12	-30	-8											miss	abow									0	0	0
of Multiple Shot	100		1	63		53		ama	12	1	44	charged	12	-20	-4											glov										0	0	0
of Power Strike	100		1	12		2		ama	6	1	44	charged	14	-60	-6											spea	aspe									0	0	0
of Power Strike	100		1	55		45		ama	9	1	44	charged	14	-20	-4											glov										0	0	0
of Poison Jab	100		1	17		7		ama	6	1	44	charged	15	-60	-6											amul	circ									0	0	0
of Poison Jab	100		1	67		57		ama	13	1	44	charged	15	-20	-3											glov										0	0	0
of Exploding Arrows	100		1	30		21		ama	12	1	44	charged	16	-30	-6											miss	abow									0	0	0
of Exploding Arrows	100		1	69		59		ama	17	1	44	charged	16	-20	-4											glov										0	0	0
of Slow Missiles	100			33		23		ama	12	1	44	charged	17	-30	-5											amaz										0	0	0
of Slow Missiles	100			68		58		ama	15	1	44	charged	17	-20	-3											glov	amul									0	0	0
of Impaling Strike	100		1	24		14		ama	12	1	44	charged	19	-60	-6											spea	aspe									0	0	0
of Impaling Strike	100		1	59		49		ama	15	1	44	charged	19	-20	-4											glov										0	0	0
of Lightning Javelin	100		1	25		15		ama	12	1	44	charged	20	-60	-6											amul	circ									0	0	0
of Lightning Javelin	100		1	70		61		ama	17	1	44	charged	20	-20	-3											glov										0	0	0
of Ice Arrows	100		1	36		26		ama	18	1	44	charged	21	-30	-5											miss	abow									0	0	0
of Ice Arrows	100		1	72		62		ama	22	1	44	charged	21	-20	-3											glov										0	0	0
of Guided Arrows	100		1	34		24		ama	18	1	44	charged	22	-30	-5											miss	abow									0	0	0
of Guided Arrows	100		1	69		59		ama	21	1	44	charged	22	-20	-3											glov										0	0	0
of Charged Strike	100		1	33		23		ama	18	1	44	charged	24	-60	-5											spea	aspe									0	0	0
of Charged Strike	100		1	68		58		ama	21	1	44	charged	24	-20	-3											glov										0	0	0
of Plague Jab	100		1	35		25		ama	18	1	44	charged	25	-60	-5											amul	circ									0	0	0
of Plague Jab	100		1	71		61		ama	22	1	44	charged	25	-20	-3											glov										0	0	0
of Immolating Arrows	100		1	42		32		ama	24	1	44	charged	27	-30	-4											miss	abow									0	0	0
of Immolating Arrows	100		1	85		75		ama	27	1	44	charged	27	-20	-2											glov										0	0	0
of Fending	100		1	41		31		ama	24	1	44	charged	30	-60	-5											spea	aspe									0	0	0
of Fending	100		1	83		73		ama	26	1	44	charged	30	-20	-3											glov										0	0	0
of Freezing Arrows	100		1	50		41		ama	30	1	44	charged	31	-30	-4											miss	abow									0	0	0
of Freezing Arrows	100		1	84		84		ama	33	1	44	charged	31	-20	-2											glov										0	0	0
of Lightning Strike	100		1	47		37		ama	30	1	44	charged	34	-60	-4											spea	aspe									0	0	0
of Lightning Strike	100		1	81		81		ama	32	1	44	charged	34	-20	-2											glov										0	0	0
of Lightning Fury	100		1	49		39		ama	30	1	44	charged	35	-60	-4											amul	circ									0	0	0
of Lightning Fury	100		1	82		82		ama	33	1	44	charged	35	-20	-2											glov										0	0	0
of Fire Bolts	100		1	7		1		sor	1	1	44	charged	36	-30	-10											staf	orb									0	0	0
of Fire Bolts	100		1	14		4		sor	1	1	44	charged	36	-20	-6											swor	ring	circ								0	0	0
of Charged Bolts	100		1	7		1		sor	1	1	44	charged	38	-30	-10											staf	orb									0	0	0
of Charged Bolts	100		1	14		4		sor	1	1	44	charged	38	-20	-6											hamm	mace	scep	ring	circ						0	0	0
of Ice Bolts	100		1	7		1		sor	1	1	44	charged	39	-30	-10											staf	orb									0	0	0
of Ice Bolts	100		1	14		4		sor	1	1	44	charged	39	-20	-6											knif										0	0	0
of Frozen Armor	100		1	7		1		sor	1	1	44	charged	40	-30	-10											staf	orb									0	0	0
of Frozen Armor	100		1	14		4		sor	1	1	44	charged	40	-20	-6											knif	tors									0	0	0
of Static Field	100		1	12		2		sor	6	1	44	charged	42	-30	-8											staf	orb									0	0	0
of Static Field	100		1	24		14		sor	6	1	44	charged	42	-20	-5											hamm	mace	scep	ring	circ						0	0	0
of Telekinesis	100		1	12		2		sor	6	1	44	charged	43	-30	-8											staf	orb									0	0	0
of Telekinesis	100		1	24		14		sor	6	1	44	charged	43	-20	-5											hamm	mace	scep	ring	circ						0	0	0
of Frost Novas	100		1	12		2		sor	6	1	44	charged	44	-30	-8											staf	orb									0	0	0
of Frost Novas	100		1	24		14		sor	6	1	44	charged	44	-20	-5											knif	amul	circ								0	0	0
of Ice Blasts	100		1	12		2		sor	6	1	44	charged	45	-30	-8											staf	orb									0	0	0
of Ice Blasts	100		1	24		14		sor	6	1	44	charged	45	-20	-5											hamm	mace	scep	ring	circ						0	0	0
of Blazing	100		1	18		8		sor	12	1	44	charged	46	-30	-7											staf	orb									0	0	0
of Blazing	100		1	36		26		sor	12	1	44	charged	46	-20	-4											boot										0	0	0
of Fire Balls	100		1	18		8		sor	12	1	44	charged	47	-30	-7											staf	orb									0	0	0
of Fire Balls	100		1	36		26		sor	12	1	44	charged	47	-20	-4											spea	wand									0	0	0
of Novas	100		1	18		8		sor	12	1	44	charged	48	-30	-7											staf	orb									0	0	0
of Novas	100		1	36		26		sor	12	1	44	charged	48	-20	-4											shld										0	0	0
of Lightning	100		1	18		8		sor	12	1	44	charged	49	-30	-7											staf	orb									0	0	0
of Lightning	100		1	36		26		sor	12	1	44	charged	49	-20	-4											axe	hamm									0	0	0
of Shiver Armor	100		1	18		8		sor	12	1	44	charged	50	-30	-7											staf	orb									0	0	0
of Shiver Armor	100		1	36		26		sor	12	1	44	charged	50	-20	-4											knif	tors									0	0	0
of Fire Walls	100		1	24		14		sor	18	1	44	charged	51	-30	-6											staf	orb									0	0	0
of Fire Walls	100		1	48		38		sor	18	1	44	charged	51	-20	-3											pole										0	0	0
of Enchantment	100		1	24		14		sor	18	1	44	charged	52	-20	-3											staf	orb									0	0	0
of Enchantment	100		1	48		38		sor	18	1	44	charged	52	-10	-1											mele										0	0	0
of Chain Lightning	100		1	24		14		sor	18	1	44	charged	53	-30	-6											staf	orb									0	0	0
of Chain Lightning	100		1	48		38		sor	18	1	44	charged	53	-20	-3											spea										0	0	0
of Teleportation	100			24		14		sor	18	1	44	charged	54	-30	-6											staf	orb									0	0	0
of Teleportation	100			48		38		sor	18	1	44	charged	54	-20	-3											amul	circ									0	0	0
of Glacial Spikes	100		1	24		14		sor	18	1	44	charged	55	-30	-6											staf	orb									0	0	0
of Glacial Spikes	100		1	48		38		sor	18	1	44	charged	55	-20	-3											knif										0	0	0
of Meteors	100		1	30		21		sor	24	1	44	charged	56	-30	-5											staf	orb									0	0	0
of Meteors	100		1	60		51		sor	24	1	44	charged	56	-20	-2											knif	club									0	0	0
of Thunder Storm	100		1	30		21		sor	24	1	44	charged	57	-30	-5											staf	orb									0	0	0
of Thunder Storm	100		1	60		51		sor	24	1	44	charged	57	-20	-2											hamm	club									0	0	0
of Energy Shield	100		1	30		21		sor	24	1	44	charged	58	-30	-5											staf	orb									0	0	0
of Energy Shield	100		1	60		51		sor	24	1	44	charged	58	-20	-2											helm										0	0	0
of Blizzards	100		1	30		21		sor	24	1	44	charged	59	-30	-5											staf	orb									0	0	0
of Blizzards	100		1	60		51		sor	24	1	44	charged	59	-20	-2											knif										0	0	0
of Chilling Armor	100		1	30		21		sor	24	1	44	charged	60	-30	-5											staf	orb									0	0	0
of Chilling Armor	100		1	60		51		sor	24	1	44	charged	60	-20	-2											tors										0	0	0
of Hydras	100		1	36		26		sor	30	1	44	charged	62	-30	-3											staf	orb									0	0	0
of Hydras	100		1	72		62		sor	30	1	44	charged	62	-20	-1											club										0	0	0
of Frozen Orbs	100		1	36		26		sor	30	1	44	charged	64	-30	-3											staf	orb									0	0	0
of Frozen Orbs	100		1	72		62		sor	30	1	44	charged	64	-20	-1											knif										0	0	0
of Damage Amplification	100		1	7		1		nec	1	1	44	charged	66	-40	6											wand										0	0	0
of Amplify Damage	100		1	5		1		nec	1	1	44	hit-skill	66	8	6											weap	circ	glov	amul	ring						0	0	0
of Teeth	100		1	7		1		nec	1	1	44	charged	67	-60	-10											wand	knif	head								0	0	0
of Teeth	100		1	14		4		nec	1	1	44	charged	67	-20	-6											swor										0	0	0
of Bone Armor	100		1	7		1		nec	1	1	44	charged	68	-60	-10											wand	knif	head								0	0	0
of Bone Armor	100		1	14		4		nec	1	1	44	charged	68	-20	-6											tors										0	0	0
of Raise Skeletons	100		1	7		1		nec	1	1	44	charged	70	-60	-12											wand	knif	head								0	0	0
of Raise Skeletons	100		1	14		4		nec	1	1	44	charged	70	-20	-6											amul	circ									0	0	0
of Dim Vision	100		1	12		2		nec	6	1	44	charged	71	-20	-4											wand	knif	head								0	0	0
of Dim Vision	100			24		14		nec	6	1	44	charged	71	-20	-1											ring	circ									0	0	0
of Weaken	100		1	12		2		nec	6	1	44	charged	72	-20	1											wand	knif	head								0	0	0
of Weaken	100			24		14		nec	6	1	44	charged	72	-20	-1											glov										0	0	0
of Poison Dagger	100		1	12		2		nec	6	1	44	charged	73	-60	-8											knif	head									0	0	0
of Poison Dagger	100		1	24		14		nec	6	1	44	charged	73	-20	-5											glov	ring	circ								0	0	0
of Corpse Explosions	100		1	24		14		nec	6	1	44	charged	74	-30	-2											wand	knif	head								0	0	0
of Corpse Explosions	100		1	48		38		nec	6	1	44	charged	74	-20	-1											club										0	0	0
of Clay Golem Summoning	100		1	12		2		nec	6	1	44	charged	75	-60	-8											wand	knif	head								0	0	0
of Clay Golem Summoning	100		1	24		14		nec	6	1	44	charged	75	-20	-5											amul	circ									0	0	0
of Iron Maiden	100		1	18		8		nec	12	1	44	charged	76	-20	-8											wand	knif	head								0	0	0
of Iron Maiden	100			36		26		nec	12	1	44	charged	76	-20	-4											shld										0	0	0
of Terror	100		1	18		8		nec	12	1	44	charged	77	-20	1											wand	knif	head								0	0	0
of Terror	100			36		26		nec	12	1	44	charged	77	-20	-1											shld										0	0	0
of Bone Walls	100		1	18		8		nec	12	1	44	charged	78	-60	-7											wand	knif	head								0	0	0
of Bone Walls	100		1	36		26		nec	12	1	44	charged	78	-20	-4											club	mace	scep								0	0	0
of Raise Skeletal Mages	100		1	18		8		nec	12	1	44	charged	80	-60	-8											wand	knif	head								0	0	0
of Raise Skeletal Mages	100		1	36		26		nec	12	1	44	charged	80	-20	-4											amul	circ									0	0	0
of Confusion	100		1	24		14		nec	18	1	44	charged	81	-20	1											wand	knif	head								0	0	0
of Confusion	100			48		38		nec	18	1	44	charged	81	-20	-1											ring	circ									0	0	0
of Life Tap	100		1	35		25		nec	18	1	44	hit-skill	82	8	6											weap	circ	glov	amul	ring						0	0	0
of Life Tap	100			48		38		nec	18	1	44	charged	82	-20	-1											axe										0	0	0
of Poison Explosion	100		1	24		14		nec	18	1	44	charged	83	-60	-6											wand	knif	head								0	0	0
of Poison Explosion	100		1	48		38		nec	18	1	44	charged	83	-20	-3											blun										0	0	0
of Bone Spears	100		1	24		14		nec	18	1	44	charged	84	-60	-6											wand	knif	head								0	0	0
of Bone Spears	100		1	48		38		nec	18	1	44	charged	84	-20	-3											spea										0	0	0
of Blood Golem Summoning	100		1	24		14		nec	18	1	44	charged	85	-60	-6											wand	knif	head								0	0	0
of Blood Golem Summoning	100		1	48		38		nec	18	1	44	charged	85	-20	-3											axe										0	0	0
of Attraction	100		1	30		21		nec	24	1	44	charged	86	-20	1											wand	knif	head								0	0	0
of Attraction	100			60		51		nec	24	1	44	charged	86	-20	-1											ring	amul	circ								0	0	0
of Decrepification	100		1	30		21		nec	24	1	44	charged	87	-40	-6											wand	knif									0	0	0
of Decrepification	100			60		51		nec	24	1	44	charged	87	-20	-1											swor										0	0	0
of Bone Imprisonment	100		1	30		21		nec	24	1	44	charged	88	-60	-5											wand	knif	head								0	0	0
of Bone Imprisonment	100		1	60		51		nec	24	1	44	charged	88	-20	-2											mace	scep									0	0	0
of Iron Golem Creation	100		1	30		21		nec	24	1	44	charged	90	-60	-5											wand	knif	head								0	0	0
of Iron Golem Creation	100		1	60		51		nec	24	1	44	charged	90	-20	-2											swor										0	0	0
of Lower Resistance	100		1	36		26		nec	30	1	44	charged	91	-40	6											wand	orb									0	0	0
of Lower Resistance	100			36		26		nec	30	1	44	charged	91	-40	6											staf										0	0	0
of Poison Novas	100		1	36		26		nec	30	1	44	charged	92	-60	-3											wand	knif	head								0	0	0
of Poison Novas	100		1	72		62		nec	30	1	44	charged	92	-20	-1											glov										0	0	0
of Bone Spirits	100		1	36		26		nec	30	1	44	charged	93	-60	-3											wand	knif	head								0	0	0
of Bone Spirits	100		1	72		62		nec	30	1	44	charged	93	-20	-1											amul	circ									0	0	0
