Id	Attack1	Weapon1	Att1Del	Wea1Del	Att1Prb	Wea1Vol	Attack2	Weapon2	Att2Del	Wea2Del	Att2Prb	Wea2Vol	HitSound	DeathSound	HitDelay	DeaDelay	Skill1	Skill2	Skill3	Skill4	Footstep	FootstepLayer	FsCnt	FsOff	FsPrb	Neutral	NeuTime	Init	Taunt	Flee	CvtMo1	CvtSk1	CvtTgt1	CvtMo2	CvtSk2	CvtTgt2	CvtMo3	CvtSk3	CvtTgt3	EOL
whitedragon	megademon_attack_1	weapon_2hs_small_1	6	8	80	180	megademon_attack_1	weapon_2hs_small_1	6	8	80	180	megademon_hit_1	megademon_death_1	2	1					heavy_walk_dirt_1		2	0	100	megademon_neutral_1	150		whitedragon_taunt_1											0
acaste													bloodraven_hit_1	bloodraven_death	2	1	bloodraven_cast_raise				medium_walk_dirt_1		2	0	100				acaste_taunt_1											0
baphomet	overseer_attack_1	weapon_2hs_large_1	0	4	100	190	overseer_whip_1	overseer_whipcrack_1	0	9	100	255	overseer_hit_1	overseer_death_1	2	1	overseer_attract_1	overseer_healcast_1			heavy_walk_dirt_1	walk_ginormous_low_1	2	0	100	overseer_neutral_1	150		baphomet_taunt_1											0
achmel		weapon_1hs_large_1		6		190		weapon_1hs_large_1		6		190	skeleton_hit_1	skeleton_death_1	0	0	skeleton_raise_1				light_walk_dirt_1	skeleton_walk_1	2	0	100				achmel_taunt_1											0
asmodeus	baalminion_attack_1	weapon_2ht_1	2	5	100	255	baalminion_attack_1	weapon_giant_1	2	4	100	255	baalminion_hit_1	baalminion_death_1	2	0					heavy_walk_dirt_1		2	0	100				asmodeus_taunt_1											0
glasya	succubus_attack_1		3		100		succubus_attack_1		3		100		succubus_hit_1	succubus_death_1	2	1		succubus_cast				hawk_wing_1	2	0	30				glasya_taunt_1											0
darkness	undeadhorror_attack_1	weapon_1hs_large_1	4	8	90	120	undeadhorror_attack_1	weapon_1hs_large_1	4	8	90	120	undeadhorror_hit_1	undeadhorror_death_1	2	1					heavy_walk_dirt_1		2	0	100	undeadhorror_neutral_1	150		darkness_taunt_1											0
samhain	undeadhorror_attack_1	weapon_1hs_large_1	4	8	90	120	undeadhorror_attack_1	weapon_1hs_large_1	4	8	90	120	undeadhorror_hit_1	undeadhorror_death_1	2	1					heavy_walk_dirt_1		2	0	100	undeadhorror_neutral_1	150		samhain_taunt_1											0
guardian	siegebeast_attack_1	weapon_1ht_1	0	5	100	190	siegebeast_attack_1		0		100		siegebeast_hit_1	siegebeast_death_1	1	1	siegebeast_attack_1	siegebeast_attack_1			heavy_walk_dirt_1	walk_ginormous_high_1	2	0	100	siegebeast_neutral_1	150		guardian_taunt_1											0
treasuregoblin													treasuregoblin_hit_1	treasuregoblin_death_1	2	1	treasuregoblin_runaway_1				medium_walk_dirt_1		2	0	100	treasuregoblin_neutral_1	100		treasuregoblin_neutral_1											0
D1succubus			3		100				3		100		D1succubus_hit_1	D1succubus_death_1	2	1		succubus_cast			medium_walk_dirt_1		2	0	30															0
D1StormDemon	LightningDemon_attack_1		3		100		LightningDemon_attack_1		3		100		LightningDemon_hit_1	LightningDemon_death_1	2	1	LightningDemon_cast	LightningDemon_cast	LightningDemon_cast	LightningDemon_cast	medium_walk_dirt_1		2	0	30															0
D1Viper	Viper_Attack_1		3		100		Viper_Attack_1		3		100		Viper_hit_1	Viper_death_1	2	1							2	0	30															0
D1KingLeoric	Leoric_Attack_1		3		100		Leoric_Attack_1		3		100		Leoric_hit_1	Leoric_death_1	2	1	Leoric_cast_1	Leoric_cast_2			heavy_walk_dirt_1		2	0	30				Laugh											0
D1GoatArcher	Goatlord_Attack_1		3		100		Goatlord_Attack_1		3		100		Goatarcher_hit_1	Goatarcher_Death_1	2	1							2	0	30															0
D1GoatLord	Goatlord_Attack_1	weapon_giant_1	3	3	100		Goatlord_Attack_1	weapon_giant_1	3	3	100		Goatlord_hit_1	Goatlord_Death_1	2	1	Goatlord_Cast_1	Goatlord_Cast_2	Goatlord_Cast_1	Goatlord_Cast_2	heavy_walk_dirt_1		2	0	100	Goatman_neutral_1	250													0
D1HornedDemon	HornedDemon_Attack_1		3		100		HornedDemon_Attack_1				100		HornedDemon_GetHit_1	HornedDemon_Death_1	2	1							2	0	100															0
D1Gargoyle	Gargoyle_Attack_1		3		100		Gargoyle_Attack_1		3		100		Gargoyle_Hit_1	Gargoyle_Death_1	2	1						hawk_wing_1	2	0	100															0
D1DarkMage			3		100				3		100		DarkMage_GetHit_1	DarkMage_Death_1	2	1							2	0	100				karybdus_taunt_1											0
D1AcidBeast	D1AcidBeast_attack_1		0		100				0		100		D1AcidBeast_hit_1	D1AcidBeast_death_1	2	2										spikefiend_neutral_1	150													0
D1Hidden	D1Hidden_attack_1		0		100		D1Hidden_attack_1		0		100		D1Hidden_hit_1	D1Hidden_death_1	2	2																								0
D1Rat	D1Rat_Attack_1		0		100		D1Rat_Attack_1		0		100		D1Rat_GetHit_1	D1Rat_Death_1	2	2																								0
D1Scavenger	D1Scavenger_Attack_1		0		100		D1Scavenger_Attack_1		0		100		D1Scavenger_GetHit_1	D1Scavenger_Death_1	2	2	D1Scavenger_Eat	D1Scavenger_Eat	D1Scavenger_Eat	D1Scavenger_Eat						leaper_neutral_1	150													0
D1MagmaDemon	D1Magma_Attack_1		0		100		D1Magma_Attack_1		0		100		D1Magma_GetHit_1	D1Magma_Death_1	2	2						walk_ginormous_high_1	2	0	100															0
D1Bat	D1Bat_Attack_1		0		100		D1Bat_Attack_1		0		100		D1Bat_GetHit_1	D1Bat_Death_1	2	2						hawk_wing_1	2	0	100															0
D1Advocate	AdvoFire_1		0		100		AdvoFire_2		0		100		D1Advocate_GetHit_1	D1Advocate_Death_1	2	2																								0
D1GoatMace	D1Goatmace_attack_1		0		100		D1Goatmace_attack_1		0		100		D1Goatmace_hit_1	D1Goatmace_death_1	2	2																								0
D1Spider	D1Spider_Attack_1		0		100		D1Spider_Attack_1		0		100		D1Spider_GetHit_1	D1Spider_Death_2	2	2																								0
Aberration1	Aboz_attack_1		0		100		Aboz_attack_2		0		100		Aboz_hit_1	Aboz_death_1	2	2																								0
Air Elemental1	Airattack1		0		100		Airattack2		0		100		Airhit1	Airdeath1	2	2																								0
Hooked Horror1	Hookattack1		0		100		Hookattack2		0		100		Hookhit1	Hookdeath1	2	2																								0
Flesh Kicker1	Ghoulattack1		0		100		Ghoulattack2		0		100		Ghoulhit1	Ghouldeath1	2	2																								0
D1BoneDemon	BoneDemon_Attack_1		3		100		BoneDemon_Attack_1		3		100		BoneDemon_GetHit_1	BoneDemon_Death_1	2	1	BoneDemon_Cast_1	BoneDemon_Cast_1	BoneDemon_Cast_1	BoneDemon_Cast_1	light_walk_dirt_1	skeleton_necro_walk_1	2	0	100															0
Bartuclol	Leoric_Attack_1		2		100		Leoric_Attack_1		2		100		Leoric_hit_1	Leoric_death_1	2	1							2	0	100															0
D1Knight	Knight_Attack_1		3		100		Knight_Attack_1		3		100		Knight_hit_1	Knight_death_1	2	1	Knight_Cast_1				heavy_walk_dirt_1		2	0	30				Knight_taunt_1											0
D1Balrog	D1Balrog_Attack_1	weapon_giant_1	3		100		D1Balrog_Attack_1	weapon_giant_1	3		100		D1Balrog_GetHit_1	D1Balrog_Death_1	2	1	D1Balrog_Breath_1						2	0	100															0
D1Overlord	Overlord_attack_1		3		100		Overlord_attack_1		3		100		Overlord_gethit_1	Overlord_Death_1	2	1							2	0	100															0
Angel_cast_1	Palshrine_Cast_1						Palshrine_Cast_1										palshrine_cast_1	palshrine_cast_1	palshrine_cast_1	palshrine_cast_1									palshrine_cast_1											0
Horkspawn	horkspawn_attack_1	weapon_punch_1	0	5	70	120	horkspawn_attack_2	weapon_punch_1	0	5	70	120	horkspawn_GetHit_1	horkspawn_Death_1	2	1							2	0	100															0
