code	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
ease-dmg%	1			7				17	item_req_percent																					+min-max% Enhanced Damage, +param% Stats Required				none	0
staff-automod	1			17	item_armor_perlevel			1	item_allskills																					+param/8 Defense per Player level, +min-max All Skills				none	0
dmg%-allskills	1			7				17	item_allskills																					+min-max% Enhanced Damage,  +param All Skills				none	0
dmg-norm/lvl	1			15	item_mindamage_perlevel			16	item_maxdamage_perlevel																					+min-max /8 PhysDamage per Player Level		(8ths)	(8ths)	none	0
stun	1			17	stunlength																									param/25 sec Stun Duration					0
oSkill-NoDescription	1			22	item_nonclassskill																									Hidden +min-max to oSkill param					0
Uninterruptible	1			1	skill_concentration																									+min-max% Uninterruptible Attack					0
Deadly-Att/lvl	1			15	item_deadlystrike_perlevel			16	item_tohit_perlevel																					+min/8% Deadly Strike and +max/2 ARating per Player Level		(8ths)	(halves)	none	0
dmg-cold/lvl	1			15	item_coldmindam_perlevel			16	item_cold_damagemax_perlevel			17	coldlength																	+min-max /8 Cold Damage per Player Level, param/25 sec Chill		(8ths)	(8ths)	none	0
dmg-fire/lvl	1			15	item_firemindam_perlevel			16	item_fire_damagemax_perlevel																					+min-max /8 Fire Damage per Player Level		(8ths)	(8ths)	none	0
dmg-ltng/lvl	1			15	item_lightmindam_perlevel			16	item_ltng_damagemax_perlevel																					+min-max /8 Lightning Damage per Player Level		(8ths)	(8ths)	none	0
dmg-pois/lvl	1			15	item_poismindam_perlevel			16	item_pois_damagemax_perlevel			17	poisonlength																	+min-max /80 Pois Damage per Player Level per sec for param/25 sec		(8ths)	(8ths)	none	0
dmg-mag/lvl	1			15	item_magicmindam_perlevel			16	item_magic_damagemax_perlevel																					+min-max /8 Magic Damage per Player Level		(8ths)	(8ths)	none	0
dmg-elem/lvl	1			15	item_firemindam_perlevel			16	item_fire_damagemax_perlevel			15	item_lightmindam_perlevel			16	item_ltng_damagemax_perlevel			15	item_coldmindam_perlevel			16	item_cold_damagemax_perlevel			17	coldlength	+min-max /8 Elem Damage per Level, param/25 sec Chill				none	0
ajav-automod	1		0	21	item_addclassskills			17	item_replenish_quantity																					+min-max to Amazon Skills; 100/param sec per +1 Quantity				none	0
aspe-automod	1		0	21	item_addclassskills			17	normal_damage_reduction			17	magic_damage_reduction																	+min-max to Amazon Skills; Phys, Mag, and Elemental Damage Reduced by param				none	0
tkni-automod	1			1	passive_fire_mastery			3	passive_ltng_mastery			3	passive_cold_mastery			3	passive_pois_mastery			3	passive_phys_mastery			3	passive_mag_mastery			17	item_replenish_quantity	+min-max% Elemental and Non-Elemental Damage; 100/param sec per +1 Quantity				none	0
allskills-pierce	1			17	item_allskills			1	item_pierce																					+param All Skills, min-max% Missiles Pierce Targets				none	0
pierce-ele	1			1	passive_fire_pierce			1	passive_ltng_pierce			1	passive_cold_pierce																	min-max% Pierce Enemy Elemental Resistance				none	0
hp-mana	1			1	maxhp			3	maxmana																					+min-max HP/MP					0
heal-kill/lvl	1			15	item_healafterkill_perlevel																									+min-max HP per kill per player level					0
hp%/lvl	1			15	item_maxhp_percent_perlevel																									+min-max% HP per player level					0
mana%/lvl	1			15	item_maxmana_percent_perlevel																									+min-max% MP per player level					0
coldskill	1		4	21	item_elemskill			3	item_elemskill_cold_desc																					+min-max to Cold Skills				none	0
ltngskill	1		2	21	item_elemskill			3	item_elemskill_ltng_desc																					+min-max to Ltng Skills				none	0
poisskill			5	21	item_elemskill			3	item_elemskill_pois_desc																					+min-max to Pois Skills				none	0
magskill			3	21	item_elemskill			3	item_elemskill_mag_desc																					+min-max to Mag Skills				none	0
abs-pois%	1			1	item_absorbpois_percent																									+min-max% Absorb Pois				none	0
splash	1	skill/chance/level		11	item_splashonhit																									splash	proc_SplashDamage	100	1		0
summlife	1			1	passive_summlife																									min-max% Increased summon life		min	max	none	0
bloodaura	1			22	item_aura			22	item_bloodaura																					Level min-max param on Equip				none	0
melee-skill	1			11	item_skillonmelee																									+min% Cast Level max param on Melee hit	Skill #	% Chance	Level	none	0
splashfire	1	skill/chance/level		11	item_fireonhit																									splash	proc_SplashFire	100	1		0
hpregen/lvl	1			17	item_regen_perlevel																									+param/8 HP Regen per Player Level	(8ths)			none	0
swing-cast	1			8	item_fasterattackrate			3	item_fastercastrate																					+min-max% ias/cast speed				none	0
abs-plr%	1			1	item_absorbfire_percent			3	item_absorblight_percent			3	item_absorbcold_percent			3	item_absorbmagic_percent			17	item_poisonlengthresist									+min-max% Absorb Elemental, param is plr				none	0
extra-bonespear	1			1	extra_bonespear																									extra bonespear				none	0
extra-msarrow	1			1	extra_msarrow																									extra multishot arrow				none	0
red-groundslam	1			1	red_groundslam																									reduced ground slam delay				none	0
extra-golem	1			1	extra_golem																									extra golems				none	0
extra-wolf	1			1	extra_wolf																									extra wolves				none	0
extra-bear	1			1	extra_bear																									extra bears				none	0
el_rune	1			1	elrune																														0
eld_rune	1			1	eldrune																														0
tir_rune	1			1	tirrune																														0
nef_rune	1			1	nefrune																														0
eth_rune	1			1	ethrune																														0
ith_rune	1			1	ithrune																														0
tal_rune	1			1	talrune																														0
ral_rune	1			1	ralrune																														0
ort_rune	1			1	ortrune																														0
thul_rune	1			1	thulrune																														0
amn_rune	1			1	amnrune																														0
sol_rune	1			1	solrune																														0
shael_rune	1			1	shaelrune																														0
dol_rune	1			1	dolrune																														0
hel_rune	1			1	helrune																														0
io_rune	1			1	iorune																														0
lum_rune	1			1	lumrune																														0
ko_rune	1			1	korune																														0
fal_rune	1			1	falrune																														0
lem_rune	1			1	lemrune																														0
pul_rune	1			1	pulrune																														0
um_rune	1			1	umrune																														0
mal_rune	1			1	malrune																														0
ist_rune	1			1	istrune																														0
gul_rune	1			1	gulrune																														0
vex_rune	1			1	vexrune																														0
ohm_rune	1			1	ohmrune																														0
lo_rune	1			1	lorune																														0
sur_rune	1			1	surrune																														0
ber_rune	1			1	berrune																														0
jah_rune	1			1	jahrune																														0
cham_rune	1			1	chamrune																														0
zod_rune	1			1	zodrune																														0
pierce-ep	1			1	passive_fire_pierce			1	passive_ltng_pierce			1	passive_cold_pierce			1	passive_pois_pierce													min-max% Pierce Enemy Elemental Resistance				none	0
