Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Act 5 (H) Bow A	3	82	1						bow69	1	bow72	2	bow75	5	bow78	7	bow81	8	bow84	7	bow87	2	bow87	1	Act 4 (H) Bow B	560			33	2113	0.9844	0
Act 5 (H) Bow B	3	83	1						bow72	1	bow75	2	bow78	5	bow81	7	bow84	8	bow87	7	bow87	2	bow87	1	Act 5 (H) Bow A	580			33	2113	0.9844	0
Act 5 (H) Bow C	3	85	1						bow75	1	bow78	2	bow81	5	bow84	7	bow87	8	bow87	1	bow87	1	bow87	1	Act 5 (H) Bow B	620			26	1681	0.9845	0
Act 1 Magic A	4	0	1					10	isc	1	mp5	0																				0
Act 1 Magic B	4	5	1					10	isc	1	mp5	0	mp5	0																		0
Act 1 Magic C	4	9	1					10	isc	1	mp5	0	mp5	0																		0
Act 2 Magic A	4	12	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 2 Magic B	4	15	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 2 Magic C	4	18	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 3 Magic A	4	20	1					10	isc	1	mp5	0	mp5	0																		0
Act 3 Magic B	4	22	1					10	isc	1	mp5	0	mp5	0																		0
Act 3 Magic C	4	24	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 4 Magic A	4	26	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 4 Magic B	4	29	1					10	isc	1	mp5	0	mp5	0																		0
Act 5 Magic A	4	32	1					10	isc	1	mp5	0	mp5	0																		0
Act 5 Magic B	4	34	1					10	isc	1	mp5	0	mp5	0																		0
Act 5 Magic C	4	36	1					10	isc	1	mp5	0	mp5	0																		0
Act 1 (N) Magic A	4	38	1					10	isc	1	mp5	0	mp5	0																		0
Act 1 (N) Magic B	4	40	1					10	isc	1	mp5	0	mp5	0																		0
Act 2 (N) Magic A	4	42	1					10	isc	1	mp5	0	mp5	0																		0
Act 2 (N) Magic B	4	44	1					10	isc	1	mp5	0	mp5	0																		0
Act 3 (N) Magic A	4	46	1					10	isc	1	mp5	0	mp5	0																		0
Act 3 (N) Magic B	4	48	1					10	isc	1	mp5	0	mp5	0																		0
Act 4 (N) Magic A	4	51	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 4 (N) Magic B	4	54	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 5 (N) Magic A	4	57	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 5 (N) Magic B	4	60	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 5 (N) Magic C	4	63	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 1 (H) Magic A	4	66	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 1 (H) Magic B	4	69	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 2 (H) Magic A	4	71	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 2 (H) Magic B	4	73	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 3 (H) Magic A	4	75	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 3 (H) Magic B	4	77	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 4 (H) Magic A	4	79	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 4 (H) Magic B	4	80	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 5 (H) Magic A	4	82	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 5 (H) Magic B	4	83	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 5 (H) Magic C	4	85	1					10	isc	1	mp5	0	mp5	0	mp5	0																0
Act 1 Good	5	0	1						Jewelry A	10	Chipped Gem	10	Runes 1	5																		0
Act 2 Good	5	5	1						Jewelry B	20	Chipped Gem	20	Runes 2	10																		0
Act 3 Good	5	12	1						Jewelry C	20	Flawed Gem	20	Runes 3	15																		0
Act 4 Good	5	18	1						Jewelry C	80	Flawed Gem	80	Runes 4	15																		0
Act 5 Good	5	21	1						Jewelry C	80	Normal Gem	80	Runes 5	15																		0
Act 1 (N) Good	5	26	1						Jewelry C	100	Normal Gem	60	Flawless Gem	40	Runes 6	15																0
Act 2 (N) Good	5	34	1						Jewelry C	100	Flawless Gem	100	Runes 7	10	Runes 8	5																0
Act 3 (N) Good	5	41	1						Jewelry C	100	Flawless Gem	80	Perfect Gem	20	Runes 9	10	Runes 10	5														0
Act 4 (N) Good	5	47	1						Jewelry C	100	Perfect Gem	100	Runes 11	15																		0
Act 5 (N) Good	5	55	1						Jewelry C	100	Perfect Gem	80	StarGem	20	Runes 12	15																0
Act 1 (H) Good	5	62	1						Jewelry C	100	Perfect Gem	60	StarGem	40	Runes 13	15																0
Act 2 (H) Good	5	70	1						Jewelry C	100	StarGem	100	Runes 14	15																		0
Act 3 (H) Good	5	78	1						Jewelry C	100	StarGem	100	Runes 15	15																		0
Act 4 (H) Good	5	85	1						Jewelry C	100	StarGem	100	Runes 16	15																		0
Act 5 (H) Good	5	90	1						Jewelry C	100	StarGem	100	Runes 17	15																		0
Act 1 Chest A	6	0	5					2	Act 1 Junk	2	Act 1 Equip A	14	Act 1 Good	3	Act 1 Equip B	1																0
Act 1 Chest B	6	5	5					2	Act 1 Junk	2	Act 1 Equip B	14	Act 1 Good	3	Act 1 Equip C	1																0
Act 1 Chest C	6	9	5					2	Act 2 Junk	2	Act 1 Equip C	14	Act 1 Good	3	Act 2 Equip A	1																0
Act 2 Chest A	6	12	5					2	Act 2 Junk	2	Act 2 Equip A	14	Act 2 Good	3	Act 2 Equip B	1																0
Act 2 Chest B	6	15	5					2	Act 2 Junk	2	Act 2 Equip B	14	Act 2 Good	3	Act 2 Equip C	1																0
Act 2 Chest C	6	18	5					2	Act 3 Junk	2	Act 2 Equip C	14	Act 2 Good	3	Act 3 Equip A	1																0
Act 3 Chest A	6	20	5					2	Act 3 Junk	2	Act 3 Equip A	14	Act 3 Good	3	Act 3 Equip B	1																0
Act 3 Chest B	6	22	5					2	Act 3 Junk	2	Act 3 Equip B	14	Act 3 Good	3	Act 3 Equip C	1																0
Act 3 Chest C	6	24	5					2	Act 3 Junk	2	Act 3 Equip C	14	Act 3 Good	3	Act 4 Equip A	1																0
Act 4 Chest A	6	26	5					2	Act 4 Junk	2	Act 4 Equip A	14	Act 4 Good	3	Act 4 Equip B	1																0
Act 4 Chest B	6	28	5					2	Act 4 Junk	2	Act 4 Equip B	14	Act 4 Good	3	Act 5 Equip A	1																0
Act 4 Chest C	6	30	5					2	Act 4 Junk	2	Act 5 Equip A	14	Act 5 Good	3	Act 5 Equip B	1																0
Act 5 Chest A	6	32	5					2	Act 5 Junk	2	Act 5 Equip B	14	Act 5 Good	3	Act 5 Equip C	1																0
Act 5 Chest B	6	34	5					2	Act 5 Junk	2	Act 5 Equip C	14	Act 5 Good	3	Act 1 (N) Equip A	1																0
Act 5 Chest C	6	36	5					2	Act 1 (N) Junk	2	Act 1 (N) Equip A	14	Act 1 (N) Good	3	Act 1 (N) Equip B	1																0
Act 1 (N) Chest A	6	38	5					2	Act 1 (N) Junk	2	Act 1 (N) Equip A	15	Act 1 (N) Good	3																		0
Act 1 (N) Chest B	6	40	5					2	Act 1 (N) Junk	2	Act 1 (N) Equip B	15	Act 1 (N) Good	3																		0
Act 1 (N) Chest C	6	42	5					2	Act 1 (N) Junk	2	Act 1 (N) Equip C	15	Act 1 (N) Good	3																		0
Act 2 (N) Chest A	6	44	5					2	Act 2 (N) Junk	2	Act 2 (N) Equip A	15	Act 2 (N) Good	3																		0
Act 2 (N) Chest B	6	46	5					2	Act 2 (N) Junk	2	Act 2 (N) Equip B	15	Act 2 (N) Good	3																		0
Act 2 (N) Chest C	6	48	5					2	Act 2 (N) Junk	2	Act 2 (N) Equip C	15	Act 2 (N) Good	3																		0
Act 3 (N) Chest A	6	50	5					2	Act 3 (N) Junk	2	Act 3 (N) Equip A	15	Act 3 (N) Good	3																		0
Act 3 (N) Chest B	6	52	5					2	Act 3 (N) Junk	2	Act 3 (N) Equip B	15	Act 3 (N) Good	3																		0
Act 3 (N) Chest C	6	54	5					2	Act 3 (N) Junk	2	Act 3 (N) Equip C	15	Act 3 (N) Good	3																		0
Act 4 (N) Chest A	6	56	5					2	Act 4 (N) Junk	2	Act 4 (N) Equip A	15	Act 4 (N) Good	3																		0
Act 4 (N) Chest B	6	58	5					2	Act 4 (N) Junk	2	Act 4 (N) Equip B	15	Act 4 (N) Good	3																		0
Act 4 (N) Chest C	6	60	5					2	Act 4 (N) Junk	2	Act 4 (N) Equip C	15	Act 4 (N) Good	3																		0
Act 5 (N) Chest A	6	62	5					2	Act 5 (N) Junk	2	Act 5 (N) Equip A	15	Act 5 (N) Good	3																		0
Act 5 (N) Chest B	6	64	5					2	Act 5 (N) Junk	2	Act 5 (N) Equip B	15	Act 5 (N) Good	3																		0
Act 5 (N) Chest C	6	66	5					2	Act 5 (N) Junk	2	Act 5 (N) Equip C	15	Act 5 (N) Good	3																		0
Act 1 (H) Chest A	6	68	5					2	Act 1 (H) Junk	2	Act 1 (H) Equip A	15	Act 1 (H) Good	3																		0
Act 1 (H) Chest B	6	70	5					2	Act 1 (H) Junk	2	Act 1 (H) Equip B	15	Act 1 (H) Good	3																		0
Act 1 (H) Chest C	6	71	5					2	Act 1 (H) Junk	2	Act 1 (H) Equip C	15	Act 1 (H) Good	3																		0
Act 2 (H) Chest A	6	72	5					2	Act 2 (H) Junk	2	Act 2 (H) Equip A	15	Act 2 (H) Good	3																		0
Act 2 (H) Chest B	6	74	5					2	Act 2 (H) Junk	2	Act 2 (H) Equip B	15	Act 2 (H) Good	3																		0
Act 2 (H) Chest C	6	75	5					2	Act 2 (H) Junk	2	Act 2 (H) Equip C	15	Act 2 (H) Good	3																		0
Act 3 (H) Chest A	6	76	5					2	Act 3 (H) Junk	2	Act 3 (H) Equip A	15	Act 3 (H) Good	3																		0
Act 3 (H) Chest B	6	78	5					2	Act 3 (H) Junk	2	Act 3 (H) Equip B	15	Act 3 (H) Good	3																		0
Act 3 (H) Chest C	6	79	5					2	Act 3 (H) Junk	2	Act 3 (H) Equip C	15	Act 3 (H) Good	3																		0
Act 4 (H) Chest A	6	80	5					2	Act 4 (H) Junk	2	Act 4 (H) Equip A	15	Act 4 (H) Good	3																		0
Act 4 (H) Chest B	6	82	5					2	Act 4 (H) Junk	2	Act 4 (H) Equip B	15	Act 4 (H) Good	3																		0
Act 4 (H) Chest C	6	84	5					2	Act 4 (H) Junk	2	Act 4 (H) Equip B	15	Act 4 (H) Good	3																		0
Act 5 (H) Chest A	6	86	5					2	Act 5 (H) Junk	2	Act 5 (H) Equip A	15	Act 5 (H) Good	3																		0
Act 5 (H) Chest B	6	88	5					2	Act 5 (H) Junk	2	Act 5 (H) Equip B	15	Act 5 (H) Good	3																		0
Act 5 (H) Chest C	6	90	5					2	Act 5 (H) Junk	2	Act 5 (H) Equip C	15	Act 5 (H) Good	3																		0
Act 1 H2H A	7	0	1					600	Act 1 Equip A	200	Act 1 Junk	900	Act 1 Good	85																		0
Act 1 H2H B	7	5	1					600	Act 1 Equip B	200	Act 1 Junk	900	Act 1 Good	85																		0
Act 1 H2H C	7	9	1					600	Act 1 Equip C	200	Act 1 Junk	900	Act 1 Good	85																		0
Act 2 H2H A	7	12	1					600	Act 2 Equip A	200	Act 2 Junk	900	Act 2 Good	85																		0
Act 2 H2H B	7	15	1					600	Act 2 Equip B	200	Act 2 Junk	900	Act 2 Good	85																		0
Act 2 H2H C	7	18	1					600	Act 2 Equip C	200	Act 2 Junk	900	Act 3 Good	85																		0
Act 3 H2H A	7	20	1					600	Act 3 Equip A	200	Act 3 Junk	900	Act 3 Good	85																		0
Act 3 H2H B	7	22	1					600	Act 3 Equip B	200	Act 3 Junk	900	Act 3 Good	85																		0
Act 3 H2H C	7	24	1					600	Act 3 Equip C	200	Act 3 Junk	900	Act 3 Good	85																		0
Act 4 H2H A	7	26	1					600	Act 4 Equip A	200	Act 4 Junk	900	Act 4 Good	85																		0
Act 4 H2H B	7	29	1					600	Act 4 Equip B	200	Act 4 Junk	900	Act 4 Good	85																		0
Act 5 H2H A	7	32	1					600	Act 5 Equip A	200	Act 5 Junk	900	Act 5 Good	85																		0
Act 5 H2H B	7	34	1					600	Act 5 Equip B	200	Act 5 Junk	900	Act 5 Good	85																		0
Act 5 H2H C	7	36	1					600	Act 5 Equip C	200	Act 5 Junk	900	Act 5 Good	85																		0
Act 1 (N) H2H A	7	38	1					800	Act 1 (N) Equip A	700	Act 1 (N) Junk	900	Act 1 (N) Good	85																		0
Act 1 (N) H2H B	7	40	1					800	Act 1 (N) Equip B	700	Act 1 (N) Junk	900	Act 1 (N) Good	85																		0
Act 1 (N) H2H C	7	41	1					800	Act 1 (N) Equip C	700	Act 1 (N) Junk	900	Act 1 (N) Good	85																		0
Act 2 (N) H2H A	7	42	1					800	Act 2 (N) Equip A	700	Act 2 (N) Junk	900	Act 2 (N) Good	85																		0
Act 2 (N) H2H B	7	44	1					800	Act 2 (N) Equip B	700	Act 2 (N) Junk	900	Act 2 (N) Good	85																		0
Act 2 (N) H2H C	7	45	1					800	Act 2 (N) Equip C	700	Act 2 (N) Junk	900	Act 2 (N) Good	85																		0
Act 3 (N) H2H A	7	46	1					800	Act 3 (N) Equip A	700	Act 3 (N) Junk	900	Act 3 (N) Good	85																		0
Act 3 (N) H2H B	7	48	1					800	Act 3 (N) Equip B	700	Act 3 (N) Junk	900	Act 3 (N) Good	85																		0
Act 3 (N) H2H C	7	50	1					800	Act 3 (N) Equip C	700	Act 3 (N) Junk	900	Act 3 (N) Good	85																		0
Act 4 (N) H2H A	7	51	1					800	Act 4 (N) Equip A	700	Act 4 (N) Junk	900	Act 4 (N) Good	85																		0
Act 4 (N) H2H B	7	54	1					800	Act 4 (N) Equip B	700	Act 4 (N) Junk	900	Act 4 (N) Good	85																		0
Act 5 (N) H2H A	7	57	1					800	Act 5 (N) Equip A	700	Act 5 (N) Junk	900	Act 5 (N) Good	85																		0
Act 5 (N) H2H B	7	60	1					800	Act 5 (N) Equip B	700	Act 5 (N) Junk	900	Act 5 (N) Good	85																		0
Act 5 (N) H2H C	7	62	1					800	Act 5 (N) Equip C	700	Act 5 (N) Junk	900	Act 5 (N) Good	85																		0
Act 1 (H) H2H A	7	63	1					800	Act 1 (H) Equip A	700	Act 1 (H) Junk	900	Act 1 (H) Good	85																		0
Act 1 (H) H2H B	7	66	1					800	Act 1 (H) Equip B	700	Act 1 (H) Junk	900	Act 1 (H) Good	85																		0
Act 1 (H) H2H C	7	68	1					800	Act 1 (H) Equip C	700	Act 1 (H) Junk	900	Act 1 (H) Good	85																		0
Act 2 (H) H2H A	7	69	1					800	Act 2 (H) Equip A	700	Act 1 (H) Junk	900	Act 2 (H) Good	85																		0
Act 2 (H) H2H B	7	71	1					800	Act 2 (H) Equip B	700	Act 1 (H) Junk	900	Act 2 (H) Good	85																		0
Act 2 (H) H2H C	7	73	1					800	Act 2 (H) Equip C	700	Act 1 (H) Junk	900	Act 2 (H) Good	85																		0
Act 3 (H) H2H A	7	74	1					800	Act 3 (H) Equip A	700	Act 1 (H) Junk	900	Act 3 (H) Good	85																		0
Act 3 (H) H2H B	7	76	1					800	Act 3 (H) Equip B	700	Act 1 (H) Junk	900	Act 3 (H) Good	85																		0
Act 3 (H) H2H C	7	77	1					800	Act 3 (H) Equip C	700	Act 1 (H) Junk	900	Act 3 (H) Good	85																		0
Act 4 (H) H2H A	7	79	1					800	Act 4 (H) Equip A	700	Act 1 (H) Junk	900	Act 4 (H) Good	85																		0
Act 4 (H) H2H B	7	80	1					800	Act 4 (H) Equip B	700	Act 1 (H) Junk	900	Act 4 (H) Good	85																		0
Act 5 (H) H2H A	7	82	1					800	Act 5 (H) Equip A	700	Act 1 (H) Junk	900	Act 5 (H) Good	85																		0
Act 5 (H) H2H B	7	83	1					800	Act 5 (H) Equip B	700	Act 1 (H) Junk	900	Act 5 (H) Good	85																		0
Act 5 (H) H2H C	7	85	1					800	Act 5 (H) Equip C	700	Act 1 (H) Junk	900	Act 5 (H) Good	85																		0
Act 1 Cast A	8	0	1					800	Act 1 Equip A	700	Act 1 Junk	900	Act 1 Good	85	Act 1 Magic A	45																0
Act 1 Cast B	8	5	1					800	Act 1 Equip B	700	Act 1 Junk	900	Act 1 Good	85	Act 1 Magic B	45																0
Act 1 Cast C	8	9	1					800	Act 1 Equip C	700	Act 1 Junk	900	Act 1 Good	85	Act 1 Magic C	45																0
Act 2 Cast A	8	12	1					800	Act 2 Equip A	700	Act 2 Junk	900	Act 2 Good	85	Act 2 Magic A	45																0
Act 2 Cast B	8	15	1					800	Act 2 Equip B	700	Act 2 Junk	900	Act 2 Good	85	Act 2 Magic B	45																0
Act 2 Cast C	8	18	1					800	Act 2 Equip C	700	Act 2 Junk	900	Act 3 Good	85	Act 2 Magic C	45																0
Act 3 Cast A	8	20	1					800	Act 3 Equip A	700	Act 3 Junk	900	Act 3 Good	85	Act 3 Magic A	45																0
Act 3 Cast B	8	22	1					800	Act 3 Equip B	700	Act 3 Junk	900	Act 3 Good	85	Act 3 Magic B	45																0
Act 3 Cast C	8	24	1					800	Act 3 Equip C	700	Act 3 Junk	900	Act 3 Good	85	Act 3 Magic C	45																0
Act 4 Cast A	8	26	1					800	Act 4 Equip A	700	Act 4 Junk	900	Act 4 Good	85	Act 4 Magic A	45																0
Act 4 Cast B	8	29	1					800	Act 4 Equip B	700	Act 4 Junk	900	Act 4 Good	85	Act 4 Magic B	45																0
Act 5 Cast A	8	32	1					800	Act 5 Equip A	700	Act 5 Junk	900	Act 5 Good	85	Act 5 Magic A	45																0
Act 5 Cast B	8	34	1					800	Act 5 Equip B	700	Act 5 Junk	900	Act 5 Good	85	Act 5 Magic B	45																0
Act 5 Cast C	8	36	1					800	Act 5 Equip C	700	Act 5 Junk	900	Act 5 Good	85	Act 5 Magic C	45																0
Act 1 (N) Cast A	8	38	1					800	Act 1 (N) Equip A	700	Act 1 (N) Junk	900	Act 1 (N) Good	85	Act 1 (N) Magic A	45																0
Act 1 (N) Cast B	8	40	1					800	Act 1 (N) Equip B	700	Act 1 (N) Junk	900	Act 1 (N) Good	85	Act 1 (N) Magic B	45																0
Act 1 (N) Cast C	8	41	1					800	Act 1 (N) Equip C	700	Act 1 (N) Junk	900	Act 1 (N) Good	85	Act 1 (N) Magic B	45																0
Act 2 (N) Cast A	8	42	1					800	Act 2 (N) Equip A	700	Act 2 (N) Junk	900	Act 2 (N) Good	85	Act 2 (N) Magic A	45																0
Act 2 (N) Cast B	8	44	1					800	Act 2 (N) Equip B	700	Act 2 (N) Junk	900	Act 2 (N) Good	85	Act 2 (N) Magic B	45																0
Act 2 (N) Cast C	8	45	1					800	Act 2 (N) Equip C	700	Act 2 (N) Junk	900	Act 2 (N) Good	85	Act 2 (N) Magic B	45																0
Act 3 (N) Cast A	8	46	1					800	Act 3 (N) Equip A	700	Act 3 (N) Junk	900	Act 3 (N) Good	85	Act 3 (N) Magic A	45																0
Act 3 (N) Cast B	8	48	1					800	Act 3 (N) Equip B	700	Act 3 (N) Junk	900	Act 3 (N) Good	85	Act 3 (N) Magic B	45																0
Act 3 (N) Cast C	8	50	1					800	Act 3 (N) Equip C	700	Act 3 (N) Junk	900	Act 3 (N) Good	85	Act 3 (N) Magic B	45																0
Act 4 (N) Cast A	8	51	1					800	Act 4 (N) Equip A	700	Act 4 (N) Junk	900	Act 4 (N) Good	85	Act 4 (N) Magic A	45																0
Act 4 (N) Cast B	8	54	1					800	Act 4 (N) Equip B	700	Act 4 (N) Junk	900	Act 4 (N) Good	85	Act 4 (N) Magic B	45																0
Act 5 (N) Cast A	8	57	1					800	Act 5 (N) Equip A	700	Act 5 (N) Junk	900	Act 5 (N) Good	85	Act 5 (N) Magic A	45																0
Act 5 (N) Cast B	8	60	1					800	Act 5 (N) Equip B	700	Act 5 (N) Junk	900	Act 5 (N) Good	85	Act 5 (N) Magic B	45																0
Act 5 (N) Cast C	8	62	1					800	Act 5 (N) Equip C	700	Act 5 (N) Junk	900	Act 5 (N) Good	85	Act 5 (N) Magic C	45																0
Act 1 (H) Cast A	8	63	1					800	Act 1 (H) Equip A	700	Act 1 (H) Junk	900	Act 1 (H) Good	85	Act 1 (H) Magic A	45																0
Act 1 (H) Cast B	8	66	1					800	Act 1 (H) Equip B	700	Act 1 (H) Junk	900	Act 1 (H) Good	85	Act 1 (H) Magic B	45																0
Act 1 (H) Cast C	8	68	1					800	Act 1 (H) Equip C	700	Act 1 (H) Junk	900	Act 1 (H) Good	85	Act 1 (H) Magic B	45																0
Act 2 (H) Cast A	8	69	1					800	Act 2 (H) Equip A	700	Act 1 (H) Junk	900	Act 2 (H) Good	85	Act 2 (H) Magic A	45																0
Act 2 (H) Cast B	8	71	1					800	Act 2 (H) Equip B	700	Act 1 (H) Junk	900	Act 2 (H) Good	85	Act 2 (H) Magic B	45																0
Act 2 (H) Cast C	8	72	1					800	Act 2 (H) Equip C	700	Act 1 (H) Junk	900	Act 2 (H) Good	85	Act 2 (H) Magic B	45																0
Act 3 (H) Cast A	8	74	1					800	Act 3 (H) Equip A	700	Act 1 (H) Junk	900	Act 3 (H) Good	85	Act 3 (H) Magic A	45																0
Act 3 (H) Cast B	8	75	1					800	Act 3 (H) Equip B	700	Act 1 (H) Junk	900	Act 3 (H) Good	85	Act 3 (H) Magic B	45																0
Act 3 (H) Cast C	8	77	1					800	Act 3 (H) Equip C	700	Act 1 (H) Junk	900	Act 3 (H) Good	85	Act 3 (H) Magic B	45																0
Act 4 (H) Cast A	8	78	1					800	Act 4 (H) Equip A	700	Act 1 (H) Junk	900	Act 4 (H) Good	85	Act 4 (H) Magic A	45																0
Act 4 (H) Cast B	8	80	1					800	Act 4 (H) Equip B	700	Act 1 (H) Junk	900	Act 4 (H) Good	85	Act 4 (H) Magic B	45																0
Act 5 (H) Cast A	8	81	1					800	Act 5 (H) Equip A	700	Act 1 (H) Junk	900	Act 5 (H) Good	85	Act 5 (H) Magic A	45																0
Act 5 (H) Cast B	8	83	1					800	Act 5 (H) Equip B	700	Act 1 (H) Junk	900	Act 5 (H) Good	85	Act 5 (H) Magic B	45																0
Act 5 (H) Cast C	8	85	1					800	Act 5 (H) Equip C	700	Act 1 (H) Junk	900	Act 5 (H) Good	85	Act 5 (H) Magic C	45																0
Act 1 Miss A	9	0	1					50	Act 1 Equip A	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow A	6	Ammo	3														0
Act 1 Miss B	9	5	1					50	Act 1 Equip B	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow B	6	Ammo	3														0
Act 1 Miss C	9	9	1					50	Act 1 Equip C	13	Act 1 Junk	18	Act 1 Good	2	Act 1 Bow C	6	Ammo	3														0
Act 2 Miss A	9	12	1					50	Act 2 Equip A	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow A	6	Ammo	3														0
Act 2 Miss B	9	15	1					50	Act 2 Equip B	13	Act 2 Junk	18	Act 2 Good	2	Act 2 Bow B	6	Ammo	3														0
Act 2 Miss C	9	18	1					50	Act 2 Equip C	13	Act 2 Junk	18	Act 3 Good	2	Act 2 Bow C	6	Ammo	3														0
Act 3 Miss A	9	20	1					50	Act 3 Equip A	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow A	6	Ammo	3														0
Act 3 Miss B	9	22	1					50	Act 3 Equip B	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow B	6	Ammo	3														0
Act 3 Miss C	9	24	1					50	Act 3 Equip C	13	Act 3 Junk	18	Act 3 Good	2	Act 3 Bow C	6	Ammo	3														0
Act 4 Miss A	9	26	1					50	Act 4 Equip A	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow A	6	Ammo	3														0
Act 4 Miss B	9	29	1					50	Act 4 Equip B	13	Act 4 Junk	18	Act 4 Good	2	Act 4 Bow B	6	Ammo	3														0
Act 5 Miss A	9	32	1					50	Act 5 Equip A	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow A	6	Ammo	3														0
Act 5 Miss B	9	34	1					50	Act 5 Equip B	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	3														0
Act 5 Miss C	9	36	1					50	Act 5 Equip C	13	Act 5 Junk	18	Act 5 Good	2	Act 5 Bow B	6	Ammo	3														0
Act 1 (N) Miss A	9	38	1					50	Act 1 (N) Equip A	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow A	6	Ammo	3														0
Act 1 (N) Miss B	9	40	1					50	Act 1 (N) Equip B	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3														0
Act 1 (N) Miss C	9	41	1					50	Act 1 (N) Equip C	13	Act 1 (N) Junk	18	Act 1 (N) Good	2	Act 1 (N) Bow B	6	Ammo	3														0
Act 2 (N) Miss A	9	42	1					50	Act 2 (N) Equip A	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow A	6	Ammo	3														0
Act 2 (N) Miss B	9	44	1					50	Act 2 (N) Equip B	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3														0
Act 2 (N) Miss C	9	45	1					50	Act 2 (N) Equip C	13	Act 2 (N) Junk	18	Act 2 (N) Good	2	Act 2 (N) Bow B	6	Ammo	3														0
Act 3 (N) Miss A	9	46	1					50	Act 3 (N) Equip A	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow A	6	Ammo	3														0
Act 3 (N) Miss B	9	48	1					50	Act 3 (N) Equip B	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3														0
Act 3 (N) Miss C	9	50	1					50	Act 3 (N) Equip C	13	Act 3 (N) Junk	18	Act 3 (N) Good	2	Act 3 (N) Bow B	6	Ammo	3														0
Act 4 (N) Miss A	9	51	1					50	Act 4 (N) Equip A	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow A	6	Ammo	3														0
Act 4 (N) Miss B	9	54	1					50	Act 4 (N) Equip B	13	Act 4 (N) Junk	18	Act 4 (N) Good	2	Act 4 (N) Bow B	6	Ammo	3														0
Act 5 (N) Miss A	9	57	1					50	Act 5 (N) Equip A	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow A	6	Ammo	3														0
Act 5 (N) Miss B	9	60	1					50	Act 5 (N) Equip B	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3														0
Act 5 (N) Miss C	9	62	1					50	Act 5 (N) Equip C	13	Act 5 (N) Junk	18	Act 5 (N) Good	2	Act 5 (N) Bow B	6	Ammo	3														0
Act 1 (H) Miss A	9	63	1					50	Act 1 (H) Equip A	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow A	6	Ammo	3														0
Act 1 (H) Miss B	9	66	1					50	Act 1 (H) Equip B	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3														0
Act 1 (H) Miss C	9	68	1					50	Act 1 (H) Equip C	13	Act 1 (H) Junk	18	Act 1 (H) Good	2	Act 1 (H) Bow B	6	Ammo	3														0
Act 2 (H) Miss A	9	69	1					50	Act 2 (H) Equip A	13	Act 1 (H) Junk	18	Act 2 (H) Good	2	Act 2 (H) Bow A	6	Ammo	3														0
