Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword151	Unbending Will	1		weap									ZodIoBerLum	r33	r16	r30	r17			allskills		2	2	skilltab	15	4	4	res-all		20	30	aura	Fanaticism2	5	5	cast2		30	40	move2		30	30	red-dmg%		10	15	0
Runeword152	Valor	1		axe	h2h								ZodJahLo	r33	r31	r28				allskills		5	5	melee-skill	617	8	60	dmg%		450	500	extra-cold		18	18	swing2		100	100	all-stats		20	20	deadly		25	25	0
Runeword153	Vengeance	1		spea	pole								ZodJahLoOhmShaelShael	r33	r31	r28	r27	r13	r13	allskills		5	5	oskill	Vengeance	1	1	dmg%		400	500	move2		30	30	swing2		80	80	crush		10	10	dmg-max		80	80	0
Runeword155	Victory	1		helm									BerZodBer	r30	r33	r30				allskills		3	3	ac%		400	500	red-dmg		60	60	hp%		20	25	res-all		40	50	dmg%		100	100	all-stats		25	30	0
Runeword156	Voice	1		weap									HelSurLo	r15	r29	r28				skill	180	3	4	skill	164	3	4	all-stats		10	15	enr		30	30	extra-phys		12	12	cast2		30	40	allskills		2	2	0
Runeword157	Void	1		knif									ZodChamJah	r33	r32	r31				allskills		5	5	oskill	Decrepify	1	1	extra-all		16	16	cast2		60	60	balance2		60	60	heal-kill		60	80	res-all		40	50	0
Runeword158	War	1		tors									ZodChamBerJah	r33	r32	r30	r31			allskills		1	1	hp%		30	30	hp/lvl	80			ac%		400	500	red-dmg%		15	15	res-all		50	50					0
Runeword159	Water																																															0
Runeword161	Whisper	1		staf									DolTirMalIst	r14	r03	r23	r24			skilltab	7	4	4	skilltab	19	4	4	cast2		30	40	extra-mag		16	16	res-all		40	50	skill	93	3	5	skill	188	3	5	0
Runeword47	Widowmaker	1		mele									ZodJahShaelShaelShael	r33	r31	r13	r13	r13		dmg%		490	510	swing2		107	107	deadly		25	25	crush		5	5	lifesteal		10	10	dex		30	30	dmg-norm		20	70	0
Runeword163	Wind	1		weap									SurEl	r29	r01					melee-skill	611	8	40	move2		100	100	swing2		100	100	dmg%		350	450	balance2		50	50	gethit-skill	611	10	40					0
Runeword164	Wings of Hope	1		ashd									JahChamMalJah	r31	r32	r23	r31			ac%		500	500	res-all		66	66	skilltab	10	5	5	block		35	35	red-dmg%		30	30	extra-all		12	12	red-mag		13	13	0
Runeword99	Winter	1		mele									LemKoElEld	r20	r18	r01	r02			melee-skill	601	8	30	melee-skill	617	8	30	dmg%		300	400	allskills		2	2	dmg-cold	250	250	500	enr		20	20	swing2		35	35	0
Runeword165	Wisdom	1		orb									IstKo	r24	r18					sor		3	3	cast2		40	40	enr		20	20	dex		15	15	extra-elem		10	10	res-all		20	25	mana%		20	30	0
Runeword166	Woe	1		shld									SurLoSol	r29	r28	r12				allskills		2	2	res-all		30	40	hp/lvl	32			block2		60	60	dex		10	10	block		30	30	aura	Holy Freeze 2	20	20	0
Runeword167	Wonder			mele									ThulShaelKoLoShael	r10	r13	r18	r28	r13		melee-skill	617	8	50	swing2		20	20	extra-cold		8	8	dmg-cold	250	250	500	enr		20	20	nofreeze		1	1	dmg%		300	400	0
Runeword168	Wrath	1		miss	jave	thro							PulLumBerFal	r21	r17	r30	r19			gethit-skill	617	10	55	hit-skill	606	6	1	dmg%		400	500	dmg-norm		15	35	crush		4	4	dmg-mag		250	500	swing2		70	70	0
Runeword2	Armageddon	1		h2h	axe								ZodOhmGul	r33	r27	r25				allskills		5	5	extra-fire		20	20	dmg%		490	510	all-stats		20	20	swing2		100	100	deadly		25	25	melee-skill	616	8	60	0
Runeword169	Youth	1		h2h	axe								ZodOhmBer	r33	r27	r30				allskills		5	5	dmg%		490	510	all-stats		20	20	extra-ltng		18	18	melee-skill	614	8	60	deadly		25	25	swing2		100	100	0
Runeword171	Allurement	1		orb	staf								TirEld	r03	r02					sor		1	1	cast2		10	10	enr		15	15	stam		25	25				 									0
Runeword172	Shadows and Dust	1		tors									EthIoShael	r05	r16	r13				allskills		1	1	ac%		75	100	str		10	10	hp/lvl	32			res-all		25	30	melee-skill	611	8	15	dex		25	25	0
Runeword173	Vizjerei's Denouement	1		tors									ShaelAmnEl	r13	r11	r01				magskill		1	1	hp/lvl	20			res-all		20	20	cast2		15	25	enr		20	20	extra-mag		5	5	res-mag		5	10	0
Runeword174	Rage's Purity	1		mele									JahPulChamEld	r31	r21	r32	r02			allskills		2	2	dmg%		400	500	melee-skill	604	6	1	swing2		80	80	crush		4	4	deadly		25	25	rep-dur	25			0
Runeword175	The Sword of a Thousand Truths	1		swor									ZodBerZodJahZodCham	r33	r30	r33	r31	r33	r32	allskills		5	5	dmg%		490	510	dmg-max		100	100	swing2		100	100	all-stats		30	30	hp%		10	10	extra-all		20	20	0
Runeword176	Effervescence	1		wand									ThulTir	r10	r03					skilltab	7	1	1	skill	67	1	2	skill	84	1	2	enr		15	15	extra-mag		4	5	cast2		10	15	gold%		50	50	0
Runeword177	Pig Roaster	1		jave									PulGulEth	r21	r25	r05				ama		2	2	dmg%		350	450	ac%		100	200	swing2		60	60	crush		4	4	dmg%/lvl	16			str		15	15	0
Runeword178	Apocalypse	1		weap	tors								ZodJahLoZod	r33	r31	r28	r33			allskills		5	5	dmg%		400	500	gethit-skill	603	15	60	gethit-skill	611	15	60	swing2		100	100	crush		4	4	res-all		30	30	0
Runeword179	Invictus	1		pole	2Spe								ZodPulShaelChamZod	r33	r21	r13	r32	r33		dmg%		490	510	swing2		100	100	crush		12	12	att/lvl	24			lifesteal		10	10	deadly		25	25	dmg-norm		60	120	0
Runeword180	Scorpion	1		tors	pelt								IthTalSol	r06	r07	r12				ac%		100	150	extra-pois		5	5	skill	14	2	2	skill	173	2	2	skill	200	2	2	red-dmg%		5	5	res-all		20	20	0
Runeword181	Blight	1		ajav	h2h								TalSolAmn	r07	r12	r11				dmg%		200	250	dmg/lvl	4			poisskill		2	2	swing2		40	40	red-dmg%		5	5	res-all		10	10	extra-pois		5	5	0
