skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
bloodgolem	3	5	4	3	0	38	skillname85	skillsd85	skillld85	skillan85	StrSkill3																	1										47	StrSkill7		ast2	ast3						47	StrSkill4		(100+clc3)*ast4/100	(100+clc3)*ast5/100	13			clc1	pst4/256*(100+clc1)/100						18	ModStr3m				66	CastDelayDesc		len							40	Sksyn	skillname85	2		63	skillname94	Ltngdplev	1		63	skillname75	AttSpeedplev	1		63	skillname85	maxhpplev2	2		63	skillname90	Damplev	1												0
attract	1	9	2	1	0	40	skillname86	skillsd86	skillxld86	skillan86	StrSkill3																	1					31	StrSkill20		len		19	StrSkill18		rng		63	PhysRes	space	clc1																						18	1level									40	Sksyn	skillname86	2		18	skillname66																													0
decrepify	1	9	6	1	0	42	skillname87	skillsd87	skillld87	skillan87	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng																	63	PhysRes	space	clc4		2	magresconv	percent	clc1		3	StrSkill77	percent	clc3		18	1level				40	Sksyn	skillname87	2		18	skillname66				18	skillname91																								0
bone prison	2	9	4	2	0	44	skillname88	skillsd88	skillld88	skillan88	StrSkill3																	1					12	StrSkill20		par2																	13			clc1	clc3*(100+clc1)/100	63	DmgReturned	space	100							66	CastDelayDesc		clc4							40	Sksyn	skillname88	2		67	skillname68	Hpplev	par8																											0
summon resist	3	9	2	3	0	46	skillname89	skillsd89	skillld89	skillan89	StrSkill3																	1					41			ast1	ast2																13			clc1	pst1/256*(100+clc1)/100						51	ModStr5z				51	StrIg				66	CastDelayDesc		len																																					0
irongolem	3	7	4	3	0	48	skillname90	skillsd90	skillld90	skillan90	StrSkill3																	1										5	StrSkill39		ast1	ast2						47	StrSkill4		(100+clc3)*ast3/100	(100+clc3)*ast4/100	13			clc1	pst4/256*(100+clc1)/100	63	DmgReturned	space	100							66	CastDelayDesc		len							40	Sksyn	skillname90	2		63	skillname75	AttSpeedplev	1		63	skillname85	maxhpplev2	2		63	skillname90	Damplev	1																	0
lower resist	1	11	4	1	0	50	skillname91	skillsd91	skillld91	skillan91	StrSkill3																	1					12	StrSkill20		len		19	StrSkill18		rng		3	LRdesc	percent	clc4												3	StrSkill38	percent	clc3		18	5levelmax																																																	0
poison nova	2	11	2	2	0	52	skillname92	skillsd92	skillld92	skillan92	StrSkill3	5																1					14																																						clc4							40	Sksyn	skillname92	2		63	skillname73	Poisdplev	par8		63	skillname83	Poisdplev	par8		18	energysyn																			0
bone spirit	2	11	6	2	0	54	skillname93	skillsd93	skillld93	skillan93	StrSkill3	5																1					10																																													40	Sksyn	skillname93	2		63	skillname67	Magdplev	par8		63	skillname84	Magdplev	par8		18	energysyn																			0
firegolem	3	11	4	3	0	56	skillname94	skillsd94	skillld94	skillan94	StrSkill3																	1										47	StrSkill5		ast1	ast2						47	StrSkill4		(100+clc3)*ast3/100	(100+clc3)*ast4/100	13			clc1	pst4/256*(100+clc1)/100						51	StrFrenz				66	CastDelayDesc		len							40	Sksyn	skillname94	2		63	skillname94	Firedplev	1		63	skillname75	AttSpeedplev	1		63	skillname85	maxhpplev2	2		63	skillname90	Damplev	1												0
revive	3	11	6	3	0	58	skillname95	skillsd95	skillld95	skillan95	StrSkill3																	1					47	StrSkill4		(100+ast1)*pst2/100	(100+ast1)*pst3/100	13			clc1	pst1/256 * (100+clc1)/100	5	StrSkill21		clc3		5	StrSkill22		clc4		5	StrSkilld		sklvl('Well of Souls'.lvl.ast2)		51	StrSkillc									3					66	CastDelayDesc		len																																					0
sacrifice	1	1	2	1	0	0	skillname96	skillsd96	skillld96	skillan96	StrSkill3	7	clc1											1				1					2	StrSkill22	percent	toht		68	StrSkill23	StrSkill47	((par3+(lvl-1)*par4) <= par5*5) ? 0 : clc2		2	StrSkill4	percent	clc1												68	StrSkill23	StrSkill47	((par3+(lvl-2)*par4) <= par5*5) ? clc2  : 0		72	WeapDamsk		5	4											40	Sksyn	skillname96	2		63	skillname96	Damplev	30																											0
smite	1	7	6	1	0	2	skillname97	skillsd97	skillld97	skillan97	StrSkill3	10	clc1															1					12	StrSkill48		clc2		2	StrSkill4	percent	clc1																																					40	Sksyn	skillname97	2		63	skillname97	Damplev	30		63	skillname104	Damplev	par8																						0
might	2	1	2	2	0	4	skillname98	skillsd98	skillld98	skillan98	StrSkill3																	19	StrSkill18		rng		2	StrSkill4	percent	clc1		63	ModStr5c	space	ast2																	2	StrSkill22	percent	ast3		2	StrSkill106	percent	ast4		3	StrSkill76	percent	ast5							40	Sksyn	skillname98	2		63	skillname108	AttRateplev2	par7		63	skillname122	AttSpeedplev	1		63	skillname113	ChanceUninterruptable	par8		71	skillname98	CBplev	par6		63	skillname98	Damplev	30							0
prayer	3	1	4	3	0	6	skillname99	skillsd99	skillld99	skillan99	StrSkill3																	19	StrSkill18		rng							3	StrSkill50	perpulse	ast1/256																											2	StrSkill4	percent	ast2		66	PulseDelayDesc		75		40	Sksyn	skillname99	2		63	skillname101	sLifeHealpLvl2	par7		18	defaurasyn																								0
resist fire	3	3	2	-1	0	8	skillname100	skillsd100	skillld100	skillan100	StrSkill3																											3	StrSkill51	percent	clc2		3	ModStr5g	percent	clc3																	18	5levelmax														40	Sksyn	skillname100	2		63	skillname100	ModStre9o	1																											0
holy bolt	1	3	4	1	0	10	skillname101	skillsd101	skillld101	skillan101	StrSkill3	5																1					47	StrSkill50		clc1	clc2	10																																								40	Sksyn	skillname101	2		63	skillname99	Healplev	par7		52	PrayerColonSpace	sLifeHealpLvl	par2	par4	63	skillname99	Magdplev	par8		18	energysyn														0
holy fire	2	3	2	2	0	12	skillname102	skillsd102	skillld102	skillan102	StrSkill3	5																19	StrSkill18		rng							38	StrSkill5		enma	exma	52	StrSkill5	strEskilllighttoattack	pst1	pst2											63	skillsname61	space	pst3																	40	Sksyn	skillname102	2							63	skillname116	Firedplev	par8		18	energysyn																			0
thorns	2	1	6	2	0	14	skillname103	skillsd103	skillld103	skillan103	StrSkill3																	19	StrSkill18		rng		2	StrSkill4	percent	clc3		2	poisrespurify	percent	clc1		2	magrespurify	percent	clc2		6	healHitSkillDesc		clc4		5	StrSkilld		sklvl('Purify'.lvl.ast1)																																																									0
defiance	3	5	6	3	0	16	skillname104	skillsd104	skillld104	skillan104	StrSkill3																	19	StrSkill18		rng		2	StrSkill31	percent	ast1																						63	PhysRes	space	ast2		2	StrSkill4	percent	ast3												40	Sksyn	skillname104	2		64	skillname97	PhysRes	1	par8	64	skillname96	PhysRes	1	par8	64	skillname106	PhysRes	1	par8	63	skillname104	PhysRes	1		18	defaurasyn									0
resist cold	3	3	4	-1	0	18	skillname105	skillsd105	skillld105	skillan105	StrSkill3																											3	StrSkill52	percent	clc2		3	ModStr5m	percent	clc3																	18	5levelmax														40	Sksyn	skillname105	2		63	skillname105	ModStre9p	1																											0
zeal	1	5	2	1	0	20	skillname106	skillsd106	skillld106	skillan106	StrSkill3	7	clc2											2				1					2	StrSkill4	percent	clc2		2	StrSkill30	StrSkill23	toht																																					40	Sksyn	skillname106	2		63	skillname106	Damplev	25																											0
charge	1	5	6	1	0	22	skillname107	skillsd107	skillld107	skillan107	StrSkill3	7	clc1											2				1					2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1																	12	StrSkill48		edln		72	WeapDamsk		4	2	18	1level																																												0
blessed aim	2	5	2	2	0	24	skillname108	skillsd108	skillld108	skillan108	StrSkill3																	19	StrSkill18		rng		2	StrSkill22	percent	ast1		63	ModStr5q	space	ast2																	2	StrSkill4	percent	ast3		2	StrSkill106	percent	ast4		3	StrSkill76	percent	ast5							40	Sksyn	skillname108	2		63	skillname98	Damplev2	par7		63	skillname122	AttSpeedplev	2		63	skillname113	ChanceUninterruptable	par8																	0
cleansing	3	5	4	3	0	38	skillname109	skillsd109	skillld109	skillan109	StrSkill3																	19	StrSkill18		rng		3	StrSkill85	percent	clc4		3	EPoisR	percent	ast1																	3	StrSkill50	perpulse	ast3/256		2	StrSkill4	percent	ast2												40	Sksyn	skillname109	2		18	prayersyn				18	defaurasyn																								0
resist lightning	3	3	6	-1	0	28	skillname110	skillsd110	skillld110	skillan110	StrSkill3																											3	StrSkill53	percent	clc2		3	ModStr5i	percent	clc3																	18	5levelmax														40	Sksyn	skillname110	2		63	skillname110	ModStre9q	1																											0
vengeance	1	7	2	1	0	40	skillname111	skillsd111	skillld111	skillan111	StrSkill3	7	clc4											1				1					2	StrSkill22	percent	toht		2	StrSkill7	percent	clc1		2	StrSkill6	percent	clc2		2	StrSkill5	percent	clc3		31	StrSkill13		edln		72	WeapDamsk		2	3																40	Sksyn	skillname111	2		63	skillname102	ElemDampLev	par8		63	skillname114	ElemDampLev	par8		63	skillname118	ElemDampLev	par8		63	skillname123	ElemDampLev	par8		63	skillname111	Damplev	15							0
blessed hammer	1	1	4	1	0	32	skillname112	skillsd112	skillld112	skillan112	StrSkill3	12																1					48																																													40	Sksyn	skillname112	2		63	skillname121	Magdplev	par8		63	skillname113	Magdplev	par8		18	energysyn																			0
concentration	2	7	4	2	0	34	skillname113	skillsd113	skillld113	skillan113	StrSkill3																	19	StrSkill18		rng		2	StrSkill4	percent	ast1		3	StrSkill76	percent	ast2		3	skillan482	percent	ast5												2	StrSkill22	percent	ast4		2	StrSkill106	percent	ast3												40	Sksyn	skillname113	2		63	skillname98	Damplev2	par7		63	skillname108	AttRateplev2	par7		63	skillname122	AttSpeedplev2	par8		63	skillname113	Damplev	15												0
holy freeze	2	3	4	2	0	36	skillname114	skillsd114	skillld114	skillan114	StrSkill3	5																19	StrSkill18		rng							38	StrSkill6		enma	exma	52	StrSkill6	strEskilllighttoattack	pst1	pst2											63	skillname65	space	pst3		63	piercecold	space	pst4		3	LowerCold	percent	ast1							40	Sksyn	skillname114	2							63	skillname116	Colddplev	par8		18	energysyn																			0
vigor	3	7	2	3	0	26	skillname115	skillsd115	skillld115	skillan115	StrSkill3																	19	StrSkill18		rng		2	StrSkill70	percent	ast1		2	StrSkill106	percent	ast3																	2	StrSkill4	percent	ast2																	40	Sksyn	skillname115	2		18	defaurasyn																													0
conversion	1	9	2	1	0	30	skillname116	skillsd116	skillld116	skillan116	StrSkill3																	51	eskillincasemasteryX		pst3		2	StrSkill22	percent	pst1		2	StrSkill4	percent	pst2		63	EskillLifeSteal	space	pst4		67	ModStr2l	space	clc2							67	hppotdesc	space	clc4*25/256																	40	Sksyn	skillname116	2		63	skillname116	Damplev	15		63	skillname116	critplev	2		67	skillname99	hpregen	25																	0
holy shield	1	9	6	1	0	42	skillname117	skillsd117	skillld117	skillan117	StrSkill3																	1					12	StrSkill20		len		2	StrSkillBR	percent	ast1		2	StrSkill31	percent	clc1		63	PhysRes	space	ast3		49	ItemStats1o																								40	Sksyn	skillname117	2		63	skillname97	Damplev	par8		63	skillname104	Defplev	25		63	skillname104	Physresplev	1		63	skillname117	StrSkillBR	2												0
holy shock	2	3	6	2	0	44	skillname118	skillsd118	skillxld118	skillan118	StrSkill3	5																19	StrSkill18		rng							38	StrSkill7		enma	exma	52	StrSkill7	strEskilllighttoattack	pst1	pst2											63	skillname63	space	pst3		3	LowerLit	percent	pst4		3	LowerLit	percent	ast1							40	Sksyn	skillname118	2							63	skillname116	Ltngdplev	par8		18	energysyn																			0
sanctuary	2	9	4	2	0	46	skillname119	skillsd119	skillld119	skillan119	StrSkill3	5																19	StrSkill18		rng		63	damunddem	space	clc3		63	attunddem	space	clc4												38	StrSkill39	strEskilllighttoattack	pst1	pst2	3	extramagic	percent	pst3		63	piercemagic	space	pst4												40	Sksyn	skillname119	2							63	skillname116	Magdplev	par8		18	energysyn																			0
meditation	3	9	4	3	0	48	skillname120	skillsd120	skillld120	skillan120	StrSkill3																	19	StrSkill18		rng		2	StrSkill4	percent	ast2		63	ModStr4v	space	ast3																	3	StrSkill50	perpulse	ast4/256		2	StrSkill88	percent	ast1												40	Sksyn	skillname120	2		18	prayersyn				18	defaurasyn																								0
fist of the heavens	1	11	4	1	0	50	skillname121	skillsd121	skillld121	skillan121	StrSkill3	5													foh2firedmg			1					18	fohfd				35	DOTdesc		miss('foh2firedmg'.edmn)*75	miss('foh2firedmg'.edmx)*75	10															19	StrSkill18		rng							66	CastDelayDesc		clc3							40	Sksyn	skillname121	2		63	skillname112	Magdplev	par8		63	skillname113	Magdplev	par8		18	energysyn																			0
fanaticism	2	11	2	2	0	52	skillname122	skillxsd122	skillld122	skillan122	StrSkill3																	19	StrSkill18		rng		2	StrSkill106	percent	ast1		2	StrSkill4	percent	clc1		2	StrSkill22	percent	ast4												3	StrSkill76	percent	ast3																	40	Sksyn	skillname122	2		63	skillname98	Damplev	15		63	skillname108	AttRateplev2	par7		63	skillname113	ChanceUninterruptable	par8		63	skillname122	Damplev	20		63	skillname122	AttSpeedplev	2							0
conviction	2	11	6	2	0	56	skillname123	skillxsd123	skillld123	skillan123	StrSkill3																	19	StrSkill18		rng		3	ConvDesc	percent	ast2							2	StrSkill4	percent	pst1												18	5levelmax																			40	Sksyn	skillname123	2		18	defaurasyn																													0
redemption	3	11	2	3	0	54	skillname124	skillsd124	skillxld124	skillan124	StrSkill3																	19	StrSkill18		rng		67	LifeManaRecovered	space	clc2		3	StrSkill109	percent	clc1																	2	StrSkill4	percent	ast1		3	StrSkill85	percent	pst1		66	PulseDelayDesc		clc4																																										0
salvation	3	11	6	3	0	58	skillname125	skillsd125	skillld125	skillan125	StrSkill3																	2	eleres	percent	clc3		2	StrSkill40	percent	clc1		19	StrSkill18		rng		2															2	StrSkill4	percent	ast4		2	StrSkill31	percent	ast5												40	Sksyn	skillname125	2		18	salvsyn1/10				63	skillname104	Defplev	par8		18	defaurasyn																			0
bash	1	1	4	1	0	0	skillname126	skillsd126	skillld126	skillan126	StrSkill3	7	clc1	clc2										1				1					2	StrSkill22	percent	toht		4	StrSkill4		clc2		2	StrSkill4	percent	clc1												72	WeapDamsk		5	4						52	StrSkill39	strEskilllighttoattack	(pets==0) ? 0 : (pets*80/100)	(pets==0) ? 0 : (pets*120/100)						40	Sksyn	skillname126	2		63	skillname126	Damplev	35																											0
sword mastery	2	3	6	3	0	2	skillname127	skillsd127	skillld127	skillan127	StrSkill3																	63	EskillLifeSteal	space	pst1		6	healHitSkillDesc		pst2																																18	10levels									40	Sksyn	skillname127	2		67	skillname127	lifestealplev	1		64	skillname147	lifestealplev	1	2	67	skillname151	lstrikeplev	1																	0
axe mastery	2	1	4	2	0	16	skillname128	skillsd128	skillld128	skillan128	StrSkill3																	51	eskillincasemasteryX		pst3		2	StrSkill22	percent	clc2		2	StrSkill4	percent	pst2																	67	hppotdesc	space	clc4*25/256																	40	Sksyn	skillname128	2		63	skillname128	Damplev	15		63	skillname152	critplev	2		63	skillname128	critplev	1																	0
mace mastery	2	5	4	2	0	18	skillname129	skillsd129	skillld129	skillan129	StrSkill3																	2	Openwounds	percent	clc1		2	bonusdex	space	clc2		2	StrSkill22	percent	pst3							63	ModStr5c	space	pst4		3	StrSkill76	space	pst5												18	10levels									40	Sksyn	skillname129	2		67	skillname129	dexplev	3		67	skillname140	dexplev	2		18	abdex				65	skillname126	bashsyn			64	skillname133	unintplev	2							0
howl	3	1	4	3	0	8	skillname130	skillsd130	skillld130	skillan130	StrSkill3																	1					12	StrSkill59		ln56		19	StrSkill58		ln34		2	StrSkill89	percent	ast1																						18	1level																																												0
find potion	3	1	6	3	0	10	skillname131	skillsd131	skillld131	skillan131	StrSkill3																						7	StrSkill24		clc1																																18	1level				1																																								0
leap	1	3	2	1	0	12	skillname132	skillsd132	skillld132	skillan132	StrSkill3																						19	StrSkill18		rng																																18	1level				1																																								0
ancients fury	1	3	6	1	0	14	skillname133	skillsd133	skillld133	skillan133	StrSkill3	7												1				1																																								3	StrSkill72	StrSkill27	clc1							40	Sksyn	skillname133	2		67	skillname133	ancfurybolt	1		67	skillname140	ancsfurybolt2	1																						0
pole arm mastery	0	-1	0	2	0	4	skillname134	skillsd134	skillld134	skillan134	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	percent	math		2	StrSkill4	percent	madm																																																																								0
throwing mastery	0	-1	0	2	0	6	skillname135	skillsd135	skillld135	skillan135	StrSkill3																	51	eskillincasemasteryX		macr		2	StrSkill22	percent	math		2	StrSkill4	percent	madm																																																																								0
spear mastery	0	-1	0	2	0	20	skillname136	skillsd136	skillld136	skillan136	StrSkill3																	1					66	CastDelayDesc		37																																																																													0
taunt	3	3	4	3	0	22	skillname137	skillsd137	skillld137	skillan137	StrSkill3																						3	StrSkill21	percent	ast2		63	PhysRes	space	ast1																											18	10levels				1					40	Sksyn	skillname137	2		63	skillname137	PhysResplvl	-1																											0
shout	3	5	2	-1	0	24	skillname138	skillsd138	addsToBCommand	skillan138	StrSkill3																	12	StrSkill20		len		3	skillan482	percent	ast2		2	StrSkill21	percent	ast1																																					40	Sksyn	skillname138	2		63	skillname138	Defplev	25		64	skillname138	Magdplev	1	2																					0
stun	1	5	2	1	0	26	skillname139	skillsd139	skillld139	skillan139	StrSkill3	7	clc1											1									2	StrSkill22	percent	toht		12	StrSkill20		edln		2	StrSkill4	percent	ast1												72	WeapDamsk		2	3	18	aoeattack									1					40	Sksyn	skillname139	2		63	skillname139	Damplev	25																											0
double throw	1	5	6	1	0	28	skillname140	skillsd140	skillld140	skillan140	StrSkill3	13	clc1											2									2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1																																					40	Sksyn	skillname140	2		63	skillname140	Damplev	20		63	skillname133	Damplev	15																						0
increased stamina	2	5	2	2	0	30	skillname141	skillsd141	skillld141	skillan141	StrSkill3																	63	ModStr4g	space	pst2												2	hpbonus	percent	pst2		67	ModStr2l	space	pst3							18	10levels																			40	Sksyn	skillname141	2		63	skillname141	maxhp	1		63	skillname154	ModStr4g	par8		67	skillname139	replifeplev	20																	0
find item	0	0	0	0	0	32	skillname142	skillsd142	skillld142	skillan142	StrSkill3																						7	StrSkill24		clc1																																					1					40	Sksyn	skillname142	2		63	skillname131	ModStre10c	par8																											0
leap attack	1	9	2	1	0	34	skillname143	skillsd143	skillld143	skillan143	StrSkill3	7	clc1											2									2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1																						72	WeapDamsk		3	2	52	StrSkill39	strEskilllighttoattack	(pets==0) ? 0 : (pets*80/100)	(pets==0) ? 0 : (pets*120/100)	1																																								0
concentrate	1	7	4	1	0	36	skillname144	skillsd144	skillld144	skillan144	StrSkill3	7	clc1											1				1					2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1		63	PhysRes	space	ast1		2	TDinc	StrSkill23	clc3												72	WeapDamsk		5	4	52	StrSkill39	strEskilllighttoattack	(pets==0) ? 0 : (pets*80/100)	(pets==0) ? 0 : (pets*120/100)						40	Sksyn	skillname144	2		63	skillname144	Damplev	30		63	skillname144	Physresplev																							0
iron skin	2	7	6	2	0	38	skillname145	skillsd145	skillld145	skillan145	StrSkill3																						2	StrSkill21	percent	pst1		63	PhysRes	space	pst2																	18	10levels																			40	Sksyn	skillname145	2		63	skillname145	Physresplev	1		63	skillname145	Defplev	20		63	skillname144	Defplev	20																	0
battle cry	3	7	4	3	0	40	skillname146	skillsd146	skillld146	skillan146	StrSkill3																						3	StrSkill4	percent	ast2		3	StrSkill21	percent	ast1		2	StrSkill22	percent	ast3		12	StrSkill20		len																	18	10levels				1					40	Sksyn	skillname146	2		63	skillname146	Damplev	-1																											0
frenzy	1	9	6	1	0	42	skillname147	skillsd147	skillld147	skillan147	StrSkill3	19	clc1											2									52	StrSkill89	percent	par3	ast1	52	StrSkill106	percent	par5	ast2	2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1							72	WeapDamsk		6	5	12	StrSkill20		len		52	StrSkill39	strEskilllighttoattack	(pets==0) ? 0 : (pets*80/100)	(pets==0) ? 0 : (pets*120/100)	1					40	Sksyn	skillname147	2		63	skillname147	Damplev	30																											0
increased speed	2	9	2	2	0	44	skillname148	skillsd148	skillld148	skillan148	StrSkill3																						2	StrSkill106	percent	pst3		63	ModStr4v	space	pst1		2	StrSkill70	percent	pst2																						18	10levels									40	Sksyn	skillname148	2		63	skillname148	AttSpeedplev	2																											0
battle orders	3	11	2	-1	0	46	skillname149	skillsd149	addsToBCommand	skillan149	StrSkill3																	12	StrSkill20		len		2	StrSkill100	space	clc4		2	StrSkill101	space	clc4																																					40	Sksyn	skillname149	2		67	skillname149	BOsyn2	25																											0
grim ward	3	9	6	3	0	48	skillname150	skillsd150	skillld150	skillan150	StrSkill3																	19	StrSkill18		30		12	StrSkill20		150		3	StrSkill50	perpulse	(clc3/256)		2	StrSkill4	percent	clc1																						66	CastDelayDesc		750		66	PulseDelayDesc		50		40	Sksyn	skillname150	2		63	skillname150	Damplev	90																											0
whirlwind	1	11	2	1	0	50	skillname151	skillsd151	skillld151	skillan151	StrSkill3	1	clc1											1				1					2	StrSkill22	StrSkill23	toht		2	StrSkill4	StrSkill23	clc1																											52	StrSkill39	strEskilllighttoattack	(pets==0) ? 0 : (pets*80/100)	(pets==0) ? 0 : (pets*120/100)						40	Sksyn	skillname151	2		63	skillname151	Damplev	30																											0
berserk	1	11	4	1	0	52	skillname152	skillsd152	skillld152	skillan152	StrSkill3	7	clc1											2				1					12	StrSkill20		len							2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1							2	DefPenDesc	StrSkill23	ast2		66	Convphy2elemalt		clc4							72	WeapDamsk		5	4	40	Sksyn	skillname152	2		63	skillname152	TotalDef	par5		63	skillname152	Damplev	40		66	Convphy2magplev		5		18	zerksyn														0
natural resistance	2	11	6	2	0	54	skillname153	skillsd153	skillld153	skillan153	StrSkill3																	67	ModStr2t	space	clc4		2	StrSkill90	percent	clc3																																18	10levels									40	Sksyn	skillname153	2		63	skillname153	Allresplev	2																											0
war cry	3	7	2	3	0	56	skillname154	skillsd154	skillld154	skillan154	StrSkill3	5																1					12	StrSkill48		min(250,ln12)		9					10																									63	strchreng	strModEnhancedDamage	clc4							40	Sksyn	skillname154	2		63	skillname149	Magdplev	par8		63	skillname138	Magdplev	par8		18	energysyn																			0
battle command	3	3	2	3	0	58	skillname155	skillsd155	skillld155	skillan155	StrSkill3																	12	StrSkill20		len		2	StrSkill21	percent	clc3		2	StrSkill101	space	clc4		2	StrSkill100	space	clc4		2	skillan482	percent	ast1		2	StrSkill100	percent	0		19	StrSkill18		rng												1					40	Sksyn	skillname155	2		18	skillname138				18	skillname149																								0
scroll of identify	0	0	0	4	1	14	skillname217	skillsd217	skillld217	skillan217																		53	isc																																																																																				0
book of identify	0	0	0	4	0	14	skillname218	skillsd218	skillld218	skillan218																		55	ibk																																																																																				0
scroll of townportal	0	0	0	4	2	18	skillname219	skillsd219	skillld219	skillan219																		54	tsc																																																																																				0
book of townportal	0	0	0	4	0	18	skillname220	skillsd220	skillld220	skillan220																		56	tbk																																																																																				0
raven	1	1	4	1	0	0	Skillname222	Skillsd222	Skillld222	Skillan222	Eskillincaseraven																	1					5	ESkillHawk		((lvl-1) >= par2) ? 0 : pets							47	StrSkill5		ast1	ast2	47	StrSkill6		ast3	ast4																5	ESkillHawk		((lvl-2) >= par2) ? pets : 0							40	Sksyn	Skillname222	2		63	Swolfsyn	Damplev	par8		18	ravensyncap				18	energysyn																			0
plague poppy	1	1	6	1	0	2	Skillname223	Skillsd223	Skillld223	Skillan223	StrSkill3																	1										18	drufrogpsn				5	StrSkill8		pst2*pst4/256							13			clc1	clc3*(100+clc1)/100																66	CastDelayDesc		100		40	Sksyn	Skillname223	2		63	Skillname239	Poisdplev	par8		18	energysyn																								0
wearwolf	2	1	2	2	0	20	Skillname224	Skillsd224	Skillld224	Skillan224	StrSkill3																						12	StrSkill20		len							63	skillname9	space	ast5		2	StrSkill22	percent	ast6		2	StrSkill4	percent	ast2		2	StrSkill21	percent	ast1							2	StrSkill100	percent	ast3							40	Sksyn	Skillname224	2		18	Skillname225				63	Skillname224	Damplev	10		63	Skillname238	Damplev	10		63	Skillname237	Damplev	10												0
shape shifting	2	1	4	2	0	52	Skillname225	Skillsd225	Skillld225	Skillan225	StrSkill3																	57	StrSkill20		clc3		2	StrSkill21	percent	clc2		2	StrSkill100	percent	clc1																	63		Hpplev2	1																																																				0
firestorm	3	1	2	3	0	32	Skillname226	Skillsd226	Skillld226	Skillan226	StrSkill3	5																1					10																									66	NextHitDelayDesc		5																	40	Sksyn	Skillname226	2		18	druelesyn				18	drusyncap				18	energysyn																			0
oak sage	1	3	2	1	0	16	Skillname227	Skillsd227	Skillld227	Skillan227	StrSkill3																	1					19	StrSkill18		rng		2	StrSkill21	percent	ln56		2	StrSkill100	space	ln34+blvl*20												67	ModStr2l	space	clc3		6	healHitSkillDesc		sklvl('Oak Sage Aura'.lvl.ast3)												40	Sksyn	Skillname227	2		67	Skillname237	healHitSkillDesc	1		67	Skillname247	replifeplev	30		67	Skillname227	Oaksyn2	30																	0
summon spirit wolf	1	3	4	1	0	6	Skillname228	Skillsd228	Skillld228	Skillan228	StrSkill3																	1															47	StrSkill4		(100+pst4)*pst2/100	(100+pst4)*pst3/100	13			clc1	clc3*(100+clc1)/100						5	ESkillWolves		pets												66	CastDelayDesc		100		40	Sksyn	Skillname228	2		18	Swolfsyn																													0
wearbear	2	3	6	2	0	22	Skillname229	Skillsd229	Skillld229	Skillan229	StrSkill3																						12	StrSkill20		len							63	skillname9	space	ast5		2	StrSkill22	percent	ast6		2	StrSkill4	percent	ast2		2	StrSkill21	percent	ast1							2	StrSkill100	percent	ast3							40	Sksyn	Skillname229	2		18	Skillname225				63	Skillname229	Damplev	20		63	Skillname248	Damplev	15		63	Skillname237	Damplev	15												0
molten boulder	3	3	4	3	0	34	Skillname230	Skillsd230	Skillld230	Skillan230	StrSkill3	5													moltenboulderfirepath			1										35	DOTdesc		miss('moltenboulderfirepath'.edmn)*75*(100+stat('passive_fire_mastery'.accr))/100	miss('moltenboulderfirepath'.edmx)*75*(100+stat('passive_fire_mastery'.accr))/100	10					9										23	StrSkill82				64	Skillname230	strchrlvl	1	(((lvl-1)/par6+1) >= par7) ? 0 : par6	69	Skillname230	max	(((lvl-1)/par6+1) >= par7) ? par7 : 0							40	Sksyn	Skillname230	2		18	druelesyn				18	drusyncap				18	energysyn																			0
