index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Horadric Staff	0	1		1		0	20	hst	Staff			5	5000	blac							mana		25	25	res-pois		25	25	hp		25	25	res-all		15	15	swing2		50	50	allskills		2	2	cast2		10	10	dmg%		100	100																	0
Hell Forge Hammer	0	1		1		0	35	hfh	Hammer			5	5000	cred							dmg-fire		40	80					res-fire		50	50	ac		5	5			0	0			0	0			0	0																					0
KhalimFlail	0	1		1		0	28	qf1	Flail			5	5000	dblu							dmg-ltng		1	30	swing2		50	50	att		30	30			0	0			0	0			0	0																									0
SuperKhalimFlail	0	1		1		0	28	qf2	Flail			5	5000	dblu							dmg-ltng		1	60	swing2		50	50	att		30	30	manasteal		6	6	lifesteal		3	3	dmg%		100	100																									0
EXPANSION																																																																					0
Windshaft	100	1		1	1	2	7	jav	Javelin			5	5000	whit	whit						dmg-norm		5	10	move1		20	20	rep-quant	100			skill	Jab	3	3	manasteal		4	4	sock		1	1																									0
Monastery Sigil	100	1		1	1	11	16	pil	Pilum			5	5000	dyel	dyel						dmg-max		12	16	res-ltng		30	30	rep-quant	100			ama		1	1	swing2		30	30	pierce		25	25	skill	Charged Strike	1	1	skill	Lightning Bolt	2	2	sock		2	2													0
Frosty Headhunter	100	1		1	1	15	20	ssp	Short Spear			5	5000	dblu	dblu						dmg%		170	220	res-all		10	10	rep-quant	100			swing2		40	40	dmg-min		6	6	deadly		20	20	sock		2	2																					0
Plague Talon	100	1		1	1	23	28	glv	Glaive			5	5000	dgrn	dgrn						dmg%		200	220	res-pois		40	40	skill	Poison Javelin	1	2	rep-quant	100			sock		2	2	swing2		30	30	ama		1	1	skill	Disease Spray	2	3	res-mag		4	8													0
Flaming Skewer	100	1		1	1	27	32	tsp	Throwing Spear			5	5000	cred	cred						dmg%		250	300	res-fire		35	35	dmg-fire		60	120	rep-quant	100			sock		2	2	swing2		50	50	pierce		40	40	crush		2	2	dmg-norm		4	8													0
Ritual Fang	100	1		1	1	2	7	tkf	Throwing Knife			5	5000	dred	dred						dmg-norm		3	5	swing2		25	25	openwounds		50	50	rep-quant	100			hit-skill	606	6	1																													0
Ninja's Art	100	1		1	1	23	28	bkf	Balanced Knife			5	5000	bwht	bwht						dmg%		250	300	swing2		50	50	move1		10	10	rep-quant	100			sock		2	2	hit-skill	618	8	15																									0
Trollbite	100	1		1	1	5	10	tax	Throwing Axe			5	5000	dgrn	dgrn						dmg%		250	300	openwounds		33	33	rep-quant	100			att%		50	50	swing2		20	20	pierce		66	66	sock		2	2																					0
Skull Crusher	100	1		1	1	25	30	bal	Balanced Axe			5	5000	blac	blac						dmg%		250	300	swing2		50	50	ignore-ac		1	1	rep-quant	100			sock		2	2	stupidity		1	1	crush		2	2	dmg/lvl	2																			0
Coldkill	100	1		1	1	35	40	9ha	Hatchet			5	5000	cblu	cblu		invhaxu				dmg-cold	100	200	300	res-cold		40	40	swing3		30	30	kill-skill	617	10	30	gethit-skill	601	10	40	dmg%		250	300	freeze		9	9	sock		2	2	dmg-norm		5	10	crush		4	4									0
Butcher's Pupil	100	1		1	1	36	40	9ax	Cleaver			5	5000	cblu	cblu		invaxeu				deadly		25	25	openwounds		25	25	dmg%		150	200	dmg-norm		15	25	sock		2	2	indestruct		1	1	crush		4	4																					0
Islestrike	100	1		1	1	40	45	92a	Twin Axe			5	5000								dru		2	2	sock		2	2	all-stats		10	15	crush		4	4	swing2		60	60	dmg%		250	300	skill	174	1	3	skill	177	1	3																	0
Pompe's Wrath	100	1		1	1	48	53	9mp	Crowbill			5	5000	cred	cred		invmpiu				melee-skill	616	8	40	indestruct		1	1	dmg-fire		300	400	sock		2	2	dmg%		350	400	dmg-norm		5	10	swing2		60	60	allskills		2	2	crush		4	4													0
Guardian Naga	100	1		1	1	55	60	9wa	Naga			5	5000								kill-skill	609	10	40	deadly		25	25	dmg%		350	400	dmg-norm		8	12	swing2		60	60	allskills		1	1	sock		2	2	res-pois-len		50	50	crush		4	4													0
Warlord's Trust	100	1		1	1	35	40	9la	Military Axe			5	5000	whit	whit						ac		225	275	vit/lvl	4			res-all		30	30	ethereal		1	1	dmg%		350	400	swing2		80	80	indestruct		1	1	sock		2	2	crush		8	8													0
Spellsteel	100	1		1	1	40	45	9ba	Bearded Axe			5	5000	whit	whit						mana		100	200	res-all		40	60	cast2		50	50	allskills		5	5	regen-mana		100	100	gethit-skill	608	10	1	sock		2	2	ease		-50	-50	mana-kill		20	20	extra-all		10	10									0
Stormrider	100	1		1	1	47	52	9bt	Tabar			5	5000	lyel	lyel		inv9btu				kill-skill	615	10	35	kill-skill	614	10	35	kill-skill	602	10	35	dmg%		350	400	sock		2	2	extra-ltng		12	12	swing2		60	60	dmg-norm		8	12	crush		8	8													0
Boneslayer Blade	100	1		1	1	52	57	9ga	Gothic Axe			5	5000				invgaxu				att-und/lvl	30			dmg-und/lvl	30			dmg/lvl	4			swing2		30	30	att%		50	50	dmg%		350	400	melee-skill	618	8	30	sock		2	2	str		30	30	crush		8	8									0
The Minataur	100	1		1	1	57	62	9gi	Ancient Axe			5	5000				inv9giu				nofreeze		1	1	str		30	30	lifesteal		6	6	crush		8	8	dmg-norm		16	20	dmg%		350	400	allskills		2	2	reanimate	56	5	5	sock		2	2													0
Suicide Branch	100	1		1	1	30	35	9wn	Burnt Wand			5	5000								allskills		1	1	cast2		30	30	res-all		10	10	mana%		25	25	reanimate	461	6	6	heal-kill		25	50	sock		2	2	extra-all		4	4																	0
Carin Shard	100	1		1	1	45	50	9yw	Petrified Wand			5	5000	cblu	cblu						hp/lvl	12			cast2		20	20	mana/lvl	12			balance2		30	30	nec		2	2	skilltab	8	3	3	hp%		10	10																					0
Arm of King Leoric	100	1		1	1	50	55	9bw	Tomb Wand			5	5000				invbwnu				skilltab	8	3	3	gethit-skill	618	10	30	cast2		20	20	skilltab	7	2	4	skill	80	4	6	skill	69	4	6	sock		2	2	reanimate	277	5	10																	0
Blackhand Key	100	1		1	1	55	60	9gw	Grave Wand			5	5000	blac	blac		inv9gwu				skilltab	6	3	3	dmg-to-mana		25	25	hp		120	120	cast2		20	20	res-all		15	25	nec		4	4	reanimate	7	6	6									skill-rand	2	66	95									0
Dark Clan Crusher	100	1		1	1	34	39	9cl	Cudgel			5	5000	dgld	dgld						dru		2	2	dmg-demon		200	200	att-demon		200	200	dmg%		350	400	sock		2	2	demon-heal		25	25	skill	172	1	3	skill	182	1	3	skill	162	2	4	swing2		60	60	dmg-norm		4	8					0
Zakarum's Hand	100	1		1	1	38	43	9sc	Rune Scepter			5	5000	lpur	lpur						pal		2	2	dmg%		300	320	extra-elem		8	8	sock		2	2	swing2		20	20	reanimate	235	6	6	freeze		9	9	indestruct		1	1	skill	111	3	4													0
The Fetid Sprinkler	100	1		1	1	43	48	9qs	Holy Water Sprinkler			5	5000								pal		3	3	melee-skill	609	8	35	gethit-skill	608	10	1	dmg%		350	400	dmg-norm		8	12	swing2		50	50	crush		3	3	sock		2	2	res-mag		15	15													0
Hand of Blessed Light	100	1		1	1	55	60	9ws	Divine Scepter			5	5000	lyel							allskills		2	2	dmg%		130	160	skill	Blessed Hammer	2	3	sock		2	2	regen-mana		25	25	dmg-norm		35	50	skill	101	2	3	skill	121	2	3	extra-mag		6	6	skill-rand	2	96	125									0
Fleshrender	100	1		1	1	34	39	9sp	Barbed Club			5	5000	blac							openwounds		100	100	noheal		1	1	sock		2	2	swing2		60	60	dmg-norm		8	12	dmg%		300	350	dru		1	1	skilltab	16	2	3	deadly		25	25	crush		4	4									0
Sureshrill Frost	100	1		1	1	37	42	9ma	Flanged Mace			5	5000								dmg-cold	125	200	400	nofreeze		1	1	dmg%		350	400	dmg/lvl	3			freeze		9	9	extra-cold		8	8	swing2		80	80	sock		2	2	coldskill		3	3	crush		4	4									0
Moonfall	100	1		1	1	42	47	9mt	Jagged Star			5	5000				invmstu				melee-skill	602	8	40	dmg-fire		220	440	red-mag		12	16	dmg%		350	400	extra-fire		4	4	crush		4	4	sock		2	2	dmg-norm		15	25	fireskill		3	3	swing2		60	60									0
Baezil's Vortex	100	1		1	1	50	55	9fl	Knout			5	5000	dblu	dblu						melee-skill	611	8	35	dmg-ltng		1	600	mana		100	100	res-ltng		40	40	dmg%		250	300	swing2		50	50	crush		4	4	sock		2	2	ltngskill		3	3													0
Earthshaker	100	1		1	1	55	60	9wh	Battle Hammer			5	5000								kill-skill	611	10	40	sock		2	2	swing3		60	60	dmg%		350	400	skilltab	17	2	2	rep-dur	10			allskills		2	2	melee-skill	604	6	1	dmg/lvl	3			crush		4	4									0
Bloodtree Stump	100	1		1	1	53	58	9m9	War Club			5	5000	dred							crush		8	8	dmg%		350	400	res-all		40	40	str		35	35	skilltab	12	3	4	skill	Weapon Mastery	4	5	rep-dur	10			allskills		2	2	sock		2	2	dmg/lvl	4											0
The Gavel of Pain	100	1		1	1	55	60	9gm	Martel de Fer			5	5000				inv9gmu				melee-skill	604	6	1	crush		8	8	dmg-norm		22	33	dmg%		444	444	allskills		2	2	sock		2	2	res-all		25	25	red-dmg%		30	30																	0
Bloodletter	100	1		1	1	34	39	9ss	Gladius			5	5000	cred	cred						dmg-norm		8	16	att		150	150	lifesteal		8	8	deadly		25	25	swing2		100	100	dmg%		350	400	skill	147	2	4	skill	151	1	3	dur		100	100	crush		4	4									0
Coldsteel Eye	100	1		1	1	36	41	9sm	Cutlass			5	5000	dgry			invscmu				dmg-norm		5	10	freeze		9	9	deadly		25	25	indestruct		1	1	dmg%		200	200	swing2		40	40	manasteal		8	8	slow		5	5	allskills		1	1													0
Hexfire	100	1		1	1	38	43	9sb	Shamshir			5	5000				invsbru				skill	62	5	5	ignore-ac		1	1	res-fire		40	40	dmg-norm		25	35	dmg%		170	220	fireskill		2	3	dmg-fire		200	400	swing2		70	70	extra-fire		12	12													0
Blade of Ali Baba	100	1		1	1	43	48	9fc	Tulwar			5	5000	cred	cred						gold%		40	60	mag%/lvl		9	9	res-all		15	15	dmg%		350	400	dex		25	25	move2		40	40	swing2		40	40																					0
Ginther's Rift	100	1		1	1	45	50	9cr	Dimensional Blade			5	5000	cblu			inv9cru				ethereal		1	1	red-mag		15	25	swing2		40	40	indestruct		1	1	dmg-mag		350	450	dmg%		350	400					sock		2	2	magskill		2	2													0
Headstriker	100	1		1	1	47	52	9bs	Battle Sword			5	5000	bwht	bwht						noheal		1	1	str		30	30	deadly		33	33	dmg/lvl	8			dmg%		200	250	swing2		40	40	dmg-min		20	30	sock		2	2	melee-skill	604	6	1	crush		4	4									0
Plague Bearer	100	1		1	1	50	55	9ls	Rune Sword			5	5000				inv9lsu				melee-skill	608	6	1	att%		50	50	dmg%		350	400	res-pois		50	50	skill	173	5	5	sock		2	2					reanimate	182	6	6																	0
The Atlantian	100	1		1	1	55	60	9wd	Ancient Sword			5	5000	lblu	lblu						dmg%		200	250	ac		200	250	str		20	25	dex		15	20	vit		10	15	pal		3	3	att%		100	200	dmg-norm		35	45	lifesteal		8	8	sock		2	2	crush		4	4					0
Crainte Vomir	100	1		1	1	40	45	92h	Espadon			5	5000	lgld			inv2hsu				dmg%		350	400	swing2		80	80	move2		25	25	red-dmg%		15	15	sock		2	2	skill	147	3	5	dmg-max		24	30	slow		5	5	crush		4	4													0
Bing Sz Wang	100	1		1	1	44	49	9cm	Dacian Falx			5	5000								swing2		40	40	dmg-cold	100	200	400	freeze		9	9	melee-skill	617	8	35	dmg%		250	300	dmg-norm		10	20	sock		2	2	deadly		33	33	crush		4	4													0
The Vile Husk	100	1		1	1	47	52	9gs	Tusk Sword			5	5000	dgry	dgry		invgisu				melee-skill	604	6	1	dmg-und/lvl	60			res-pois		50	50	noheal		1	1	dmg%		200	250	att-und/lvl	60			swing2		30	30	sock		2	2	dmg-norm		10	25	crush		4	4									0
Cloudcrack	100	1		1	1	51	56	9b9	Gothic Sword			5	5000				invbswu				melee-skill	618	8	30	dmg-ltng		1	600	dmg%		350	400	skilltab	13	3	3	skilltab	14	3	3	lifesteal		6	6	reanimate	118	5	5	sock		2	2	dmg-norm		15	20	crush		4	4									0
Todesfaelle Flamme	100	1		1	1	55	60	9fb	Zweihander			5	5000	dred	dred		inv9fbu				dmg-fire		300	500	melee-skill	600	8	30	dmg-norm		5	15	reanimate	361	6	6	dmg%		350	400	swing2		60	60	sock		2	2	crush		4	4																	0
Swordguard	100	1		1	1	57	62	9gd	Executioner Sword			5	5000	bwht	bwht		invgsdu				red-dmg%		10	10	ac/lvl	50			res-all		20	20	dmg%		300	400	balance2		50	50	lifesteal		6	6	sock		2	2	dmg-norm		5	15	crush		4	4													0
Spineripper	100	1		1	1	35	40	9dg	Poignard			5	5000								noheal		1	1	str		15	25	dru		3	3	openwounds		25	25	sock		2	2	nec		3	3	ignore-ac		1	1	summlife		20	20																	0
Heart Carver	100	1		1	1	40	45	9di	Rondel			5	5000								regen-mana		33	33	heal-kill		15	20	cast2		20	20	mana-kill		15	25	skill	139	1	3	skill	154	1	3	skill	155	1	3	bar		2	2																	0
Blackbog's Sharp	100	1		1	1	48	53	9kr	Cinquedeas			5	5000				invkrsu				dmg%		350	400	sock		2	2	swing2		80	80	dmg-norm		22	33	skill	73	4	6	skill	83	4	6	skill	92	4	6	ignore-ac		1	1	extra-pois		4	4	noheal		1	1									0
Stormspike	100	1		1	1	53	58	9bl	Stilleto			5	5000	cblu	cblu		inv9blu				dmg-ltng		1	1000	ltngskill		2	2	sock		2	2	dmg%		350	400	res-ltng		40	50	swing2		80	80									dmg-norm		15	25									indestruct		1	1	0
The Impaler	100	1		1	1	35	40	9sr	War Spear			5	5000	lred	lred						skill	Impale	5	7	att		150	150	swing2		50	50	openwounds		40	40	noheal		1	1	dmg%		350	400	crush		8	8	allskills		2	2	dmg-min		20	30	sock		2	2									0
Kelpie Snare	100	1		1	1	38	43	9tr	Fuscina			5	5000				invtriu				dmg-cold	100	200	300	res-all		25	25	hp/lvl	24			dmg-norm		10	20	str		20	30	dmg%		350	400	slow		5	5	swing2		60	60	sock		2	2	crush		8	8									0
Soulfeast Tine	100	1		1	1	47	52	9br	War Fork			5	5000	lyel	lyel		inv9bru				dmg%		350	400	lifesteal		8	8	manasteal		8	8	rep-dur	10			att		200	300	heal-kill		25	50	crush		8	8	swing2		60	60	sock		2	2	dmg-norm		5	15									0
Hone Sundan	100	1		1	1	53	58	9st	Yari			5	5000								sock		2	2	vit		15	25	ethereal		1	1	indestruct		1	1	dmg%		350	400	melee-skill	604	6	1	melee-skill	611	8	30	crush		8	8																	0
Spire of Honor	100	1		1	1	55	60	9p9	Lance			5	5000	lgry	lgry						dmg/lvl	4			swing2		60	60	dmg-dem/lvl	16			dmg%		350	400	skilltab	12	3	4	ac%		100	200	allskills		2	2	sock		2	2	crush		8	8													0
The Meat Scraper	100	1		1	1	36	41	9b7	Lochaber Axe			5	5000	dred	dred						dmg%		350	400	swing2		30	30	lifesteal		10	10	openwounds		50	50	mag%		50	75	skilltab	12	3	3	sock		2	2	deadly		25	25	crush		8	8													0
Blackleach Blade	100	1		1	1	42	47	9vo	Bill			5	5000	blac	blac						att		300	300	melee-skill	605	6	1	lifesteal		8	8	dmg/lvl	10			dmg%		200	250	sock		2	2	ease		25	25	crush		8	8																	0
Athena's Wrath	100	1		1	1	45	50	9s8	Battle Scythe			5	5000				inv9s8u				swing2		40	40	hp/lvl	8			dmg/lvl	8			dmg%		200	250	dru		3	4	dex		40	40	sock		2	2	crush		8	8																	0
Pierre Tombale Couant	100	1		1	1	49	54	9pa	Partizan			5	5000	lgld	lgld						bar		3	3	crush		8	8	balance2		30	30	dmg-norm		10	30	dmg%		350	400	att		200	300	deadly		25	25	sock		2	2																	0
Husoldal Evo	100	1		1	1	53	58	9h9	Bec-de-Corbin			5	5000								extra-fire		12	12	att		200	300	extra-cold		12	12	dmg%		350	400	swing2		60	60	skill	174	3	5	allskills		2	2	skill	177	3	5	sock		2	2	dmg-norm		15	30	crush		8	8					0
Grim's Burning Dead	100	1		1	1	55	60	9wc	Grim Scythe			5	5000	cred	cred						skill	Clay Golem	3	5	skill	BloodGolem	3	5	nec		3	5	sock		2	2	res-all		50	50	extra-elem		12	12	skill	IronGolem	3	5	skill	FireGolem	3	5																	0
Razorswitch	100	1		1	1	40	45	8ss	Jo Stalf			5	5000	lpur							cast2		50	50	sock		2	2	enr		50	50	mana		200	300	red-mag		20	40	red-dmg		20	40	res-all		20	40	allskills		3	3	extra-all		8	8													0
Ribcracker	100	1		1	1	44	49	8ls	Quarterstaff			5	5000	lblu	lblu						res-all		40	40	ac		300	300	crush		8	8	dex		40	40	sock		2	2	ac%		100	100	balance2		50	50	swing2		60	60	dmg%		200	200	dmg-norm		30	60									0
Chromatic Ire	100	1		1	1	47	52	8cs	Cedar Staff			5	5000				invcstu				sor		4	4	res-all		30	40	cast2		25	25					hp%		20	25	sock		2	2	extra-all		8	8	skill	61	3	5	skill	63	3	5	skill	65	3	5									0
Warpspear	100	1		1	1	51	56	8bs	Gothic Staff			5	5000	cblu	cblu						allskills		4	4	skill	43	4	7	mana%/lvl		8	8	mana/lvl		24	32	sock		2	2	skill	58	4	4	cast2		30	30	extra-all		12	12	res-all		35	40													0
Skullcollector	100	1		1	1	55	60	8ws	Rune Staff			5	5000	blac	blac		inv8wsu				mana%		50	50	mana-kill		50	50	allskills		5	5	mag%/lvl	6			cast2		30	40	extra-elem		16	16	sock		2	2	skill-rand	3	36	95	skill-rand	3	36	95	skill-rand	3	36	95	res-all		30	40					0
Skystrike	100	1		1	1	34	39	8sb	Edge Bow			5	5000								sock		2	2	dmg-ltng		1	500	mana		100	100	swing2		30	30	dmg%		300	400	hit-skill	602	8	15	ama		2	2	extra-fire		4	4	dmg-norm		8	12													0
Riphook	100	1		1	1	37	42	8hb	Razor Bow			5	5000	cred	cred						openwounds		50	50	dmg%		350	400	swing2		30	30	lifesteal		6	6	skill	33	3	6	sock		2	2	dmg-norm		8	12																					0
Kuko Shakaku	100	1		1	1	40	45	8lb	CedarBow			5	5000	lpur	lpur		inv8lbu				skill	27	3	4	explosivearrow		20	20	dmg%		350	400	dmg-fire		90	180	skilltab	0	3	3	sock		2	2	pierce		50	50	dmg-norm		8	12																	0
Endlesshail	100	1		1	1	42	47	8cb	Double Bow			5	5000				invcbwu				res-cold		35	35	ac-miss		150	150	skill	31	3	4	dmg%		350	400	dmg-cold	100	160	240	skilltab	0	3	3	sock		2	2	extra-cold		4	4	dmg-norm		10	15													0
Whichwild String	100	1		1	1	46	51	8s8	Short Siege Bow			5	5000	lblu	lblu		inv8s8u				dmg/lvl	4			res-all		40	40	deadly		33	33	dmg%		350	400	magicarrow		12	12	sock		2	2																									0
Cliffkiller	100	1		1	1	48	53	8l8	Long Siege Bow			5	5000	dgld							ama		3	3	dmg%		350	400	ac-miss		160	160	knock		1	1	hp		100	200	dmg-min		10	15	dmg-max		20	30	sock		2	2	swing2		40	40													0
Magewrath	100	1		1	1	52	57	8sw	Rune Bow			5	5000	oran			invswbu				manasteal		15	15	red-mag		15	25	skill	6	3	6	att		200	300	dex		20	30	stupidity		1	1	dmg-norm		15	35	dmg%		300	300	ama		2	2	swing2		60	60									0
Godstrike Arch	100	1		1	1	55	60	8lw	Gothic Bow			5	5000	lgry	lgry						dmg%		150	150	att%		200	200	dmg-undead		100	200	dmg-demon		100	200	swing2		50	50	deadly		25	25	sock		2	2	dmg-norm		40	80	pierce		25	25													0
Langer Briser	100	1		1	1	40	45	8lx	Arbalest			5	5000				inv8lxu				knock		1	1	dmg%		350	400	mag%		50	75	hp		100	150	dmg-max		30	40	openwounds		33	33	dmg-ltng		1	600	deadly		33	33	sock		2	2													0
Pus Spiter	100	1		1	1	45	50	8mx	Siege Crossbow			5	5000	cgrn	cgrn		inv8mxu				allskills		3	3	sock		2	2	gethit-skill	609	10	30	swing2		100	100	dmg%		350	450	att/lvl	22			pierce		50	50	extra-pois		8	8																	0
Buriza-Do Kyanon	100	1		1	1	55	60	8hx	Balista			5	5000				invhxbu				pierce		100	100	dex		30	50	ac		100	200	dmg/lvl	16			swing2		80	80	dmg%		150	200	freeze		9	9	dmg-cold	200	200	400																	0
Demon Machine	100	1		1	1	57	62	8rx	Chu-Ko-Nu			5	5000	blac	blac		invrxbu				ac		666	666	sock		2	2	pierce		66	66	explosivearrow		20	20	dmg-max		66	66	dmg%		321	321	att		321	321	allskills		4	4	oskill	Multiple Shot	10	20													0
Warstrike	100	1		1	1	40	45	9ja	War Javelin			5	5000	oran	oran						dmg%		350	400	allskills		2	2	deadly		25	25	swing2		40	40	rep-quant	100			gethit-skill	610	10	30	sock		2	2	dmg-norm		10	20	pierce		40	50	crush		4	4									0
Bloody Impaler	100	1		1	1	45	50	9pi	Great Pilum			5	5000	bwht	bwht						dmg%		350	400	allskills		1	1	res-mag		20	20	dmg-mag		100	200	rep-quant	100			sock		2	2	dmg-norm		15	25	pierce		40	50	crush		4	4	swing2		30	30									0
Thunderrage	100	1		1	1	49	54	9s9	Simbilan			5	5000	dyel	dyel						dmg%		350	400	dmg-ltng		1	800					rep-quant	100			skilltab	2	3	4	swing2		40	40	sock		2	2	pierce		40	50	extra-ltng		4	4													0
Plaguedrinker	100	1		1	1	53	58	9gl	Spiculum			5	5000	dgrn	dgrn						dmg%		350	400	res-pois		100	100	rep-quant	100			skilltab	2	3	3	swing2		25	25	extra-pois		4	4	sock		2	2	pierce		40	50																	0
Heartseeker	100	1		1	1	57	62	9ts	Harpoon			5	5000	dred	dred						dmg%		350	400	deadly		33	33	crush		4	4	ama		2	2	lifesteal		8	8	swing2		60	60	dmg-norm		25	40	sock		2	2																	0
Drowstrike	100	1		1	1	40	45	9tk	Battle Dart			5	5000	blac	blac						dmg%		350	400	openwounds		20	20	swing2		50	50	pierce		100	100	hit-skill	606	6	1	dmg-norm		8	16	bar		2	2	rep-quant	100			sock		2	2													0
Deathbit	100	1		1	1	50	55	9bk	War Dart			5	5000	blac	blac						deadly		33	33	dmg%		350	400	ignore-ac		1	1	lifesteal		8	8	manasteal		8	8	rep-quant	100			swing2		40	40	sock		2	2	dmg-norm		10	20	pierce		40	50									0
Bloodygreed	100	1		1	1	45	50	9ta	Francisca			5	5000	dred	dred						dmg%		350	400	deadly		25	25	lifesteal		6	6	mag%		35	35	gold%		100	100	hit-skill	604	6	1	rep-quant	100			sock		2	2	crush		2	2	dmg-norm		7	18	pierce		40	50	crush		4	4	0
The Scalper	100	1		1	1	49	54	9b8	Hurlbat			5	5000	cred	cred						rep-quant	100			dmg%		350	400	att%		33	33	swing2		40	40	pierce		40	50	sock		2	2	skill	Double Throw	4	6	deadly		25	25	dmg-norm		12	24	crush		4	4									0
EXCEPTIONAL ARMOR																																																																					0
Peasent Crown	100	1		1	1	40	45	xap	War Hat			5	5000	lgry							enr		20	30	vit		20	30	allskills		1	1	move2		20	20	regen		100	100	ac%		200	300	regen-mana		50	50	sock		3	3	cast2		20	20	res-all		15	15									0
Rockstopper	100	1		1	1	43	48	xkp	Sallet			5	5000				invxkpu				res-ltng		30	40	red-dmg%		15	15	balance2		30	30	ac%		200	300	res-fire		30	40	res-cold		30	40	vit		20	20	sock		3	3	block2		30	30													0
Stealskull	100	1		1	1	47	52	xlm	Casque			5	5000				invhlmu								lifesteal		5	5	balance2		25	25	swing2		25	25	ac%		200	300	mag%		25	35	gold%		25	50	res-all		30	30	sock		3	3													0
Darksight Helm	100	1		1	1	51	56	xhl	Basinet			5	5000	blac	blac		invfhlu				ac		300	300	nofreeze		1	1	lifesteal		12	12	ac%		300	300	gethit-skill	199	10	15	res-all		30	30	vit		30	30	swing2		25	25	att%		300	300	stupidity		1	1	sock		3	3					0
Valkiry Wing	100	1		1	1	59	64	xhm	Winged Helm			5	5000	lgld							ac%		200	300	hp		60	80	balance2		50	50	ama		2	2	mana-kill		20	20	sock		3	3	skill	Valkyrie	2	3	deadly		10	10	res-all		25	35	dex		30	30	heal-kill		20	20	red-dmg%		5	5	0
Crown of Thieves	100	1		1	1	65	70	xrn	Grand Crown			5	5000	dgld	dgld		invxrnu				dex		25	25	lifesteal		4	4	hp		100	120	red-dmg%		10	10	res-all		20	20	ac%		200	300	gold%		100	100	allskills		1	1	sock		3	3	mag%		40	40									0
Blackhorn's Face	100	1		1	1	55	60	xsk	Death Mask			5	5000	blac	blac						sock		3	3	deadly		10	10	noheal		1	1					ac%		200	300	slow		5	5	allskills		2	2	dmg%		50	50	res-all		25	25	hp		80	100									0
Vampiregaze	100	1		1	1	61	66	xh9	Grim Helm			5	5000	cgrn	cgrn		invbhmu				manasteal		5	5	lifesteal		5	5	red-dmg%		20	30	red-mag		10	20	ac%		200	300	dmg-cold	100	200	400	allskills		1	1	res-all		15	15	sock		3	3													0
Diamondstar	100	1		1	1	45	50	ci0	Circlet			5	5000	bwht	bwht						allskills		2	2	cast2		15	15	regen		75	125	res-mag		10	15	mana%		20	30	res-all		25	25	sock		3	3																					0
Mithiacrown	100	1		1	1	65	70	ci1	Coronet			5	5000	dred	dred						ac%		200	300	allskills		2	2	gethit-skill	611	10	40	res-all		25	35	skill	Hydra	3	4	cast2		25	35	sock		2	2	skill	Shock Field	3	4	hp		60	80	extra-fire		5	5	extra-ltng		5	5					0
Kira's Guardian	100	1		1	1	82	82	ci2	Tiara			5	5000	blac	blac						ac%		200	300	allskills		1	1	res-all		40	40	nofreeze		1	1	balance2		50	50	sock		4	4	hp		140	160	mana		140	160																	0
The Spirit Shroud	100	1		1	1	41	46	xui	Ghost Armor			5	5000								res-all		15	20	allskills		1	1	extra-mag		3	3	extra-pois		3	3	ac%		150	150	ethereal		1	1	indestruct		1	1	fade		1	1	sock		3	3	reanimate	40	6	6									0
Skin of the Vipermagi	100	1		1	1	47	52	xea	SerpentSkin Armor			5	5000	dblu	dblu						ac%		120	120	res-all		30	35	cast2		35	35	red-mag		9	13	allskills		2	2	regen-mana		50	50	mana%		20	20	sock		3	3	skill-rand	3	6	215	skill-rand	3	6	215									0
Skin of the Flayed One	100	1		1	1	45	50	xla	Demonhide Armor			5	5000	lred	lred						allskills		1	1	lifesteal		5	5	ac%		150	190	sock		3	3	res-all		20	25	dmg-norm		10	15	red-dmg		15	25	swing2		25	25	hp%		15	15	reanimate	143	5	5									0
Ironpelt	100	1		1	1	47	52	xtu	Tresllised Armor			5	5000	dgry	dgry		invxtuu				sock		3	3	hp		200	300	red-mag		20	30	red-dmg		20	30	ac		200	300	ac%		200	300	block		20	30	hp%		10	15	skilltab	11	3	3	red-dmg%		10	15	res-all		15	25					0
Spiritforge	100	1		1	1	49	54	xng	Linked Mail			5	5000				invrng2								hp		50	100	ac%		200	300	res-all		25	25	move2		30	30	sock		3	3	skilltab	15	3	3	skilltab	8	3	3	charged	171	4	4													0
Crow Caw	100	1		1	1	51	56	xcl	Tigulated Mail			5	5000								ac%		100	150	enr		15	20	cast2		20	30	sock		3	3	move2		25	25	extra-fire		3	3	res-all		15	25	extra-cold		3	3	dru		1	1	skill	Raven	5	6									0
Shaftstop	100	1		1	1	53	58	xhn	Mesh Armor			5	5000	dgry							ac%		200	300	red-dmg%		30	30	hp%		15	15	ac		200	300	oskill	Iron Skin	5	10	block		20	20	balance2		20	20	sock		3	3																	0
