Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
gelugon	gethit-hurt		494	5	5	extra-all		33	33																						gethit-hurt		494	5	5	extra-all		33	33																						gethit-hurt		494	5	5	extra-all		40	40																						0
ReanimatedHorde																																																																																											0
evilicon	aura		500	5	5	gethit-hurt		530	5	20	gethit-hurt		288	5	20	gethit-hurt		252	10	20	gethit-hurt		265	5	20	gethit-hurt		455	5	20	aura		500	5	5	gethit-hurt		530	5	20	gethit-hurt		288	5	20	gethit-hurt		252	10	20	gethit-hurt		265	5	20	gethit-hurt		455	5	20	aura		500	5	5	gethit-hurt		530	5	20	gethit-hurt		288	5	20	gethit-hurt		252	10	20	gethit-hurt		265	5	20	gethit-hurt		455	5	20	0
bugbear	gethit-hurt		430	5	1	aura		624	1	1	gethit-hurt		365	5	1																gethit-hurt		430	5	1	aura		624	1	1	gethit-hurt		365	5	1																gethit-hurt		430	5	1	aura		624	1	1	gethit-hurt		365	5	1																0
wyrm	gethit-hurt		493	5	5	gethit-hurt		361	5	1																					gethit-hurt		493	5	5	gethit-hurt		361	5	1																					gethit-hurt		493	5	5	gethit-hurt		361	5	1																					0
curst	gethit-hurt		54	2	1	gethit-hurt		489	5	5	aura		407	1	1																gethit-hurt		54	2	1	gethit-hurt		489	5	5	aura		407	1	1																gethit-hurt		54	2	1	gethit-hurt		489	5	5	aura		407	1	1																0
marilith	gethit-hurt		462	5	1	aura		500	1	1	death-skill		466	20	1						gethit-hurt		623	5	5						gethit-hurt		462	5	1	aura		500	1	1	death-skill		466	20	1	gethit-hurt		623	5	5											gethit-hurt		462	5	1	aura		500	1	1	death-skill		446	20	1	gethit-hurt		623	5	5											0
titan	gethit-hurt		8	2	14	gethit-hurt		346	5	1	gethit-hurt		457	5	1	crush			10	10	death-skill		301	50	40						gethit-hurt		8	2	14	gethit-hurt		346	5	1	gethit-hurt		457	5	1	crush			10	10	death-skill		301	50	40		extra-all		25	25	gethit-hurt		8	2	14	gethit-hurt		346	5	1	gethit-hurt		457	5	1	crush			10	10	death-skill		301	50	40						0
baaltentacley	gethit-hurt		530	5	20	gethit-hurt		626	5	20	gethit-hurt		310	5	5	gethit-hurt		437	5	20	gethit-hurt		455	5	20	aura		391	8	8	gethit-hurt		530	5	20	gethit-hurt		626	5	20	gethit-hurt		310	5	5	gethit-hurt		437	5	20	gethit-hurt		455	5	20	aura		391	8	8	gethit-hurt		530	5	20	gethit-hurt		626	5	20	gethit-hurt		310	5	5	gethit-hurt		437	5	20	gethit-hurt		455	5	20	aura		391	8	8	0
baaltentaclex	gethit-hurt		265	5	20	gethit-hurt		493	5	5	gethit-hurt		261	5	20	gethit-hurt		358	5	20	gethit-hurt		419	5	20	aura		392	8	8	gethit-hurt		265	5	20	gethit-hurt		493	5	5	gethit-hurt		261	5	20	gethit-hurt		358	5	20	gethit-hurt		419	5	20	aura		392	8	8	gethit-hurt		265	5	20	gethit-hurt		493	5	5	gethit-hurt		261	5	20	gethit-hurt		358	5	20	gethit-hurt		419	5	20	aura		392	8	8	0
diabloclone																																																																																											0
doomKnMage	gethit-hurt		270	15	15	gethit-hurt		465	15	15																					gethit-hurt		270	15	15	gethit-hurt		465	15	15																					gethit-hurt		270	15	15	gethit-hurt		465	15	15	aura	3	621	10	10																0
firemage	aura		391	1	1																										aura		391	1	1	gethit-hurt	5	454	20	1																					aura		391	1	1	gethit-hurt	5	530	20	1																					0
coldmage	aura		392	1	1																										aura		392	1	1	gethit-hurt	5	485	20	1																					aura		392	1	1	gethit-hurt	5	265	20	1																					0
poismage	aura		390	1	1																										aura		390	1	1	gethit-hurt	5	419	20	1																					aura		390	1	1	gethit-hurt	5	252	20	1																					0
ltngmage	aura		393	1	1																										aura		393	1	1	gethit-hurt	5	486	20	1																					aura		393	1	1	gethit-hurt	5	455	20	1																					0
TravincalFiremage	aura		391	1	1																										aura		391	1	1	gethit-hurt		454	10	1																					aura		391	1	1	gethit-hurt		454	10	1	gethit-hurt		530	10	1																0
TravincalColdmage	aura		392	1	1																										aura		392	1	1	gethit-hurt		485	10	1																					aura		392	1	1	gethit-hurt		485	10	1	gethit-hurt		265	10	1																0
TravincalPoismage	aura		390	1	1																										aura		390	1	1	gethit-hurt		419	10	1																					aura		390	1	1	gethit-hurt		419	10	1	gethit-hurt		252	10	1																0
TravincalLtngmage	aura		393	1	1																										aura		393	1	1	gethit-hurt		486	10	1																					aura		393	1	1	gethit-hurt		486	10	1	gethit-hurt		455	10	1																0
WSKeepFiremage	aura		391	20	20	gethit-hurt		270	10	20	cast2			25	25																aura		391	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		454	10	20											aura		391	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		530	10	20											0
WSKeepColdmage	aura		392	20	20	gethit-hurt		270	10	20	cast2			25	25																aura		392	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		485	10	20											aura		392	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		265	10	20											0
WSKeepPoismage	aura		390	20	20	gethit-hurt		270	10	20	cast2			25	25																aura		390	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		419	10	20											aura		390	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		252	10	20											0
WSKeepLtngmage	aura		393	20	20	gethit-hurt		270	10	20	cast2			25	25																aura		393	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		486	10	20											aura		393	20	20	gethit-hurt		270	10	20	cast2			25	25	gethit-hurt		455	10	20											0
A5Firemage	aura		391	1	1																										aura		391	1	1																										aura		391	1	1																										0
A5Coldmage	aura		392	1	1																										aura		392	1	1																										aura		392	1	1																										0
A5Poismage	aura		390	1	1																										aura		390	1	1																										aura		390	1	1																										0
A5Ltngmage	aura		393	1	1																										aura		393	1	1																										aura		393	1	1																										0
ChaosLich	extra-all			25	25																										gethit-hurt		270	5	20	gethit-hurt		530	3	20	gethit-hurt		265	3	20	gethit-hurt		455	3	20	extra-all			25	25						gethit-hurt		270	5	20	gethit-hurt		530	3	20	gethit-hurt		265	3	20	extra-all			25	25	aura	5	621	10	10						0
ChaosSpider	gethit-hurt		493	5	5	gethit-hurt		490	5	1																					gethit-hurt		493	5	5	gethit-hurt		490	5	1	aura	5	390	1	1																gethit-hurt		493	5	5	gethit-hurt		490	5	1	aura	5	390	1	1																0
ChaosMinotaur	gethit-hurt		389	3	15	aura	5	624	1	1																					gethit-hurt		389	3	15	aura	5	624	1	1																					gethit-hurt		389	3	15	aura	5	624	1	1																					0
ChaosSuccubus	gethit-hurt		465	5	20	aura	5	397	1	1	extra-all			25	25																gethit-hurt		465	5	20	aura	5	397	1	1	aura	5	407	1	1	extra-all			25	25											gethit-hurt		465	5	20	aura	5	397	1	1	aura	5	407	1	1	extra-all			25	25											0
ChaosHorde	gethit-hurt		267	3	10	death-skill		494	15	10																					gethit-hurt		267	3	10	death-skill		494	15	10																					gethit-hurt		267	3	10	death-skill		494	15	10																					0
Glyph1Boss	death-skill		265	100	20	gethit-hurt		463	10	1																					death-skill		265	100	20	aura		392	1	1	gethit-hurt		463	10	1																death-skill		265	100	20	aura		392	1	1	gethit-hurt		463	10	1	gethit-hurt		410	5	1											0
Glyph2Boss	death-skill		455	100	20																										death-skill		455	100	20	aura		393	1	1																					death-skill		455	100	20	aura		393	1	1	gethit-hurt		411	5	1																0
Glyph3Boss	death-skill		363	100	20																										death-skill		363	100	20	aura		390	1	1																					death-skill		363	100	20	aura		390	1	1	gethit-hurt		252	5	1																0
Glyph4Boss	death-skill		530	100	20																										death-skill		530	100	20	aura		391	1	1																					death-skill		530	100	20	aura		391	1	1	gethit-hurt		409	5	1																0
Glyph5Boss	death-skill		432	100	40	gethit-hurt		54	1	1																					death-skill		432	100	40	aura		396	1	1	gethit-hurt		54	1	1																death-skill		432	100	40	aura		396	1	1	gethit-hurt		54	1	1	gethit-hurt		360	5	1											0
SiegeBeast	death-skill		301	50	20																										death-skill		301	50	20																										death-skill		301	50	20																										0
firetower																																																																																											0
littower																																																																																											0
gargoyle																																																																																											0
cantor	aura		397	1	1																										aura		397	1	1																										aura		397	1	1																										0
ArcaneGolemFire	gethit-hurt		430	20	1																										gethit-hurt		430	20	1																										gethit-hurt		430	20	1																										0
ArcaneGolemClay	slow			10	10																										slow			10	10																										slow			10	10																										0
ArcaneGolemIron	MonThorns			10	10																										MonThorns			10	10																										MonThorns			10	10																										0
ArcaneGolemBlood	gethit-hurt		492	10	5																										gethit-hurt		492	10	5																										gethit-hurt		492	10	5																										0
A5GolemFire	gethit-hurt		430	20	1																										gethit-hurt		430	20	1																										gethit-hurt		430	20	1	aura		391	1	1																					0
A5GolemClay	slow			10	10																										slow			10	10																										slow			10	10	aura		392	1	1																					0
A5GolemIron	MonThorns			10	10																										MonThorns			10	10																										MonThorns			10	10	aura		390	1	1																					0
A5GolemBlood	gethit-hurt		492	10	5																										gethit-hurt		492	10	5																										gethit-hurt		492	10	5	aura		393	1	1																					0
imp	gethit-hurt		54	1	5																										gethit-hurt		54	1	5																										gethit-hurt		54	1	5																										0
catapult	death-skill		398	100	1	gethit-hurt		301	5	20																					death-skill		398	100	1	gethit-hurt		301	5	20																					death-skill		398	100	1	gethit-hurt		301	5	20																					0
trapped	crush			50	50	gethit-hurt		464	10	1	gethit-hurt		463	10	1	aura	5	624	1	1	aura	5	621	1	1						crush			50	50	gethit-hurt		464	10	1	gethit-hurt		463	10	1	aura	10	624	1	1	aura	10	621	1	1						crush			50	50	gethit-hurt		464	10	1	gethit-hurt		463	10	1	aura	25	624	1	1	aura	25	621	1	1						0
magecow	gethit-hurt		489	5	5	cast2			25	25																					gethit-hurt		489	5	5	cast2			25	25																					gethit-hurt		489	5	5	cast2			25	25																					0
kingcow	gethit-hurt		265	5	40	gethit-hurt		494	10	15	gethit-hurt		231	6	40	gethit-hurt		54	4	1	aura		515	1	1	gethit-hurt		472	5	40	gethit-hurt		265	5	40	gethit-hurt		494	10	15	gethit-hurt		231	6	40	gethit-hurt		54	5	1	aura		515	1	1	gethit-hurt		472	5	40	gethit-hurt		265	5	40	gethit-hurt		494	10	15	gethit-hurt		231	6	40	gethit-hurt		54	6	1	aura		515	1	1	pierce-all			100	100	0
splode	ignore-ac			1	1																										ignore-ac			1	1																										ignore-ac			1	1																										0
shadowspirit1	gethit-hurt		310	10	20	gethit-hurt		54	3	1	cast2			66	66	death-skill		402	100	1	hit-skill		54	5	1						gethit-hurt		310	10	25	gethit-hurt		54	2	5	cast2			75	75	death-skill		402	100	1	hit-skill		54	3	5						gethit-hurt		494	10	30	gethit-hurt		54	2	5	cast2			99	99	death-skill		402	100	1	hit-skill		54	3	5	gethit-hurt		363	6	40	0
shadowspirit2	gethit-hurt		388	10	20	gethit-hurt		54	3	1	cast2			66	66	death-skill		403	100	1	hit-skill		54	5	1						gethit-hurt		388	10	25	gethit-hurt		54	2	5	cast2			75	75	death-skill		403	100	1	hit-skill		54	3	5						gethit-hurt		489	10	30	gethit-hurt		54	2	5	cast2			99	99	death-skill		403	100	1	hit-skill		54	3	5	gethit-hurt		526	5	40	0
shadowspirit3	gethit-hurt		491	10	20	gethit-hurt		54	3	1	cast2			66	66	death-skill		404	100	1	hit-skill		54	5	1						gethit-hurt		491	10	25	gethit-hurt		54	2	5	cast2			75	75	death-skill		404	100	1	hit-skill		54	3	5						gethit-hurt		494	10	30	gethit-hurt		54	2	5	cast2			99	99	death-skill		404	100	1	hit-skill		54	3	5	gethit-hurt		533	3	40	0
shadowspirit4	gethit-hurt		66	10	20	gethit-hurt		54	3	1	cast2			66	66	death-skill		405	100	1	hit-skill		54	5	1						gethit-hurt		66	10	25	gethit-hurt		54	2	5	cast2			75	75	death-skill		405	100	1	hit-skill		54	3	5						gethit-hurt		494	10	30	gethit-hurt		54	2	5	cast2			99	99	death-skill		405	100	1	hit-skill		54	3	5	gethit-hurt		466	3	40	0
shadowspirit5	gethit-hurt		489	10	20	gethit-hurt		54	3	1	cast2			66	66	death-skill		406	100	1	hit-skill		54	5	1						gethit-hurt		489	10	25	gethit-hurt		54	2	5	cast2			75	75	death-skill		406	100	1	hit-skill		54	3	5						gethit-hurt		494	10	30	gethit-hurt		54	2	5	cast2			99	99	death-skill		406	100	1	hit-skill		54	3	5	gethit-hurt		457	3	40	0
amazon																																																													gethit-hurt		627	12	30	cast2			99	99	swing2			99	99	slow			33	33	gethit-hurt		659	100	1	extra-all			15	15	0
sorceress																																																													gethit-hurt		54	6	6	cast2			99	99	pierce-all			100	100	gethit-hurt		464	25	40	gethit-hurt		659	100	1	extra-all			15	15	0
barbarian																																																													gethit-hurt		146	20	55	gethit-hurt		430	20	10	crush			100	100	gethit-hurt		519	33	20	move2			99	99	gethit-hurt		659	100	1	0
paladin																																																													crush			100	100	gethit-hurt		456	12	40	gethit-hurt		490	5	1	gethit-hurt		659	100	1	extra-all			15	15						0
necromancer																																																													gethit-hurt		259	20	1	cast2			99	99	gethit-hurt		363	10	40	pierce-pois			50	50	gethit-hurt		659	100	1	extra-all			15	15	0
druid																																																													gethit-hurt		460	5	40	pierce-all			50	50	swing-cast			99	99	gethit-hurt		659	100	1	gethit-hurt		466	15	55	extra-all			15	15	0
assassin																																																													gethit-hurt		253	20	20	swing-cast			99	99	gethit-hurt		490	5	12	gethit-hurt		659	100	1	extra-all			15	15						0
summon	res-pois-len			50	50																										res-pois-len			50	50																										res-pois-len			50	50																										0
claynec	abs-cold%			40	40	res-pois-len			50	50	swing2			33	33	freeze			9	9	abs-pois%			20	20	gethit-hurt		40	3	5	abs-cold%			40	40	swing2			33	33	freeze			9	9	res-pois-len			50	50	abs-pois%			20	20	gethit-hurt		40	3	15	abs-cold%			40	40	swing2			33	33	freeze			9	9	res-pois-len			50	50	abs-pois%			20	20	gethit-hurt		40	3	25	0
bloodnec	abs-ltng%			40	40	res-pois-len			50	50	swing2			33	33	openwounds			50	50	abs-pois%			20	20	melee-skill		599	15	1	abs-ltng%			40	40	swing2			33	33	openwounds			50	50	res-pois-len			50	50	abs-pois%			20	20	melee-skill		599	15	1	abs-ltng%			40	40	swing2			33	33	openwounds			50	50	res-pois-len			50	50	abs-pois%			20	20	melee-skill		599	15	1	0
ironnec	abs-mag%			40	40	res-pois-len			200	200	swing2			33	33	thorns			100	100	abs-pois%			40	40	gethit-hurt		212	3	1	abs-mag%			40	40	swing2			33	33	thorns			100	100	res-pois-len			200	200	abs-pois%			40	40	gethit-hurt		212	3	1	abs-mag%			40	40	swing2			33	33	thorns			100	100	res-pois-len			200	200	abs-pois%			40	40	gethit-hurt		212	3	1	0
firenec	abs-fire%			40	40	hit-skill		430	20	1	swing2			33	33	swing2			33	33	abs-pois%			20	20	melee-skill		599	15	1	abs-fire%			40	40	swing2			33	33	hit-skill		430	20	1	res-pois-len			50	50	abs-pois%			20	20	melee-skill		599	15	1	abs-fire%			40	40	swing2			33	33	hit-skill		430	20	1	res-pois-len			50	50	abs-pois%			20	20	melee-skill		599	15	1	0
skelnec																																																																																											0
necblade																																																																																											0
sknight	res-mag			5	5	swing2			100	100	move2			30	30	red-dmg%			5	5	res-pois-len			50	50						res-mag			5	5	swing2			100	100	move2			30	30	red-dmg%			5	5	res-pois-len			50	50						res-mag			5	5	swing2			100	100	move2			30	30	red-dmg%			5	5	res-pois-len			50	50						0
bonewall	thorns			100	100																										thorns			100	100																										thorns			100	100																										0
PoisShaman																															aura		390	1	1																										aura		390	1	1																										0
FireShaman																															aura		391	1	1																										aura		391	1	1																										0
ColdShaman																															aura		392	1	1																										aura		392	1	1																										0
LtngShaman																															aura		393	1	1																										aura		393	1	1																										0
PhysShaman																															aura		624	1	1																										aura		624	1	1																										0
QuillRat	gethit-hurt		484	2	15	death-skill		484	10	20																					gethit-hurt		484	5	15	death-skill		484	25	20	pierce			10	10																gethit-hurt		484	5	15	death-skill		484	33	20	pierce			25	25																0
QuillBear	gethit-hurt		275	33	5	balance2			50	50																					gethit-hurt		275	33	5	balance2			50	50																					gethit-hurt		275	33	5	balance2			50	50																					0
Crush10	crush			10	10																										crush			10	10																										crush			10	10																										0
DeadlyStrike10	deadly			10	10																										deadly			10	10																										deadly			10	10																										0
Frenzy10p	gethit-hurt		430	10	3																										gethit-hurt		430	10	3																										gethit-hurt		430	10	3																										0
Pierce50	pierce			25	25																										pierce			33	33																										pierce			50	50																										0
Slow25	slow			5	5																										slow			5	5																										slow			5	5																										0
MagicLeader	aura		621	10	10																										aura		621	20	20	gethit-hurt		489	5	1																					aura		621	30	30	gethit-hurt		489	5	1																					0
MightLeader	aura		624	1	1																										aura		624	1	1	gethit-hurt		489	5	1																					aura		624	1	1	gethit-hurt		489	5	1																					0
Defender	aura	1	621	1	1																										aura	1	621	10	10																										aura	1	621	15	15																										0
Attacker	crush	5		25	25	move2			50	50																					crush	5		25	25	move2			50	50																					crush	5		25	25	move2			50	50																					0
Archer	pierce			25	25	knock	10		1	1	move1			20	20																pierce			25	25	knock	10		1	1	move1			20	20																pierce			25	25	knock	10		1	1	move1			20	20																0
FireAttacks	aura	2	391	1	1																										aura	2	391	1	1																										aura	2	391	1	1																										0
ColdAttacks	aura	2	392	1	1																										aura	2	392	1	1																										aura	2	392	1	1																										0
PoisAttacks	aura	2	390	1	1																										aura	2	390	1	1																										aura	2	390	1	1																										0
LtngAttacks	aura	2	393	1	1																										aura	2	393	1	1																										aura	2	393	1	1																										0
Curser	slow	3		10	10	gethit-hurt	3	627	1	24	gethit-hurt	3	8	1	24	gethit-hurt	3	388	1	5	gethit-hurt	1	493	1	5						slow	3		10	10	gethit-hurt	3	17	1	24	gethit-hurt	3	8	1	24	gethit-hurt	3	388	1	5	gethit-hurt	1	493	1	5						slow	3		10	10	gethit-hurt	3	17	1	24	gethit-hurt	3	8	1	24	gethit-hurt	3	388	1	5	gethit-hurt	1	493	1	5						0
portal3	death-skill		374	100	1																										death-skill		374	100	1																										death-skill		374	100	1																										0
portal4	death-skill		375	100	1																										death-skill		375	100	1																										death-skill		375	100	1																										0
juggernautportal																																																																																											0
ardualportal																																																																																											0
sszakportal																																																																																											0
chimeraportal																																																																																											0
madaeportal																																																																																											0
whitedragportal																																																																																											0
guardianportal																																																																																											0
shadow1portal																																																																																											0
shadow2portal																																																																																											0
shadow3portal																																																																																											0
shadow4portal																																																																																											0
shadow5portal																																																																																											0
summonerportal																																																																																											0
antidruidportal																																																																																											0
ankhegportal																																																																																											0
lazarusportal																																																																																											0
soulfinal																																																																																											0
shadewolf	ignore-ac			1	1																										ignore-ac			1	1																										ignore-ac			1	1																										0
legionprop	death-skill		503	100	1	aura		513	1	1																					death-skill		503	100	1	aura		513	2	2																					death-skill		503	100	1	aura		513	3	3																					0
mapmobspawner	death-skill		510	100	1																										death-skill		510	100	1																										death-skill		510	100	10																										0
soulmancer	gethit-hurt		526	5	40	extra-all			10	10	aura		511	1	1	gethit-hurt		459	5	40	gethit-hurt		659	100	1						gethit-hurt		526	6	40	extra-all			15	15	aura		511	1	1	gethit-hurt		459	6	40	gethit-hurt		659	100	1						gethit-hurt		526	7	40	extra-all			25	25	aura		511	1	1	pierce-all			100	100	gethit-hurt		459	7	40	gethit-hurt		659	100	1	0
legionguard	aura		621	10	10	extra-all			5	5	gethit-hurt		54	6	1																aura		621	20	20	extra-all			10	10	gethit-hurt		54	6	1																aura		621	30	30	extra-all			15	15	gethit-hurt		54	6	1																0
scarlet	gethit-hurt		659	100	1																										gethit-hurt		265	7	40	gethit-hurt		625	5	40	gethit-hurt		494	10	20	gethit-hurt		659	100	1	gethit-hurt		623	6	40	gethit-hurt		271	10	40																															0
sorrowprop	death-skill		516	20	1																										death-skill		516	20	1																										death-skill		516	10	1	extra-all			15	15																					0
sorrowlord	gethit-hurt		510	10	1						aura		515	1	1																gethit-hurt		510	10	1	extra-all			20	20	aura		515	1	1																gethit-hurt		510	8	1	gethit-hurt		361	8	40	aura		515	1	1	gethit-hurt		420	10	40	gethit-hurt		542	10	40	gethit-hurt		659	100	1	0
scarletwolfprop	extra-all			5	5	aura		515	1	1	fade			1	1																extra-all			5	5	aura		515	2	2	fade			1	1																extra-all			5	5	aura		515	3	3	fade			1	1																0
orbofheroes	death-skill		518	100	1																										death-skill		518	100	1																										death-skill		518	100	10																										0
pious	gethit-hurt		519	10	20	gethit-hurt		210	1	1	gethit-hurt		146	5	10	gethit-hurt		659	100	1											gethit-hurt		519	10	20	gethit-hurt		210	2	1	gethit-hurt		146	5	10	gethit-hurt		659	100	1											gethit-hurt		519	10	20	gethit-hurt		210	3	1	gethit-hurt		146	5	10	gethit-hurt		659	100	1											0
alexius	gethit-hurt		465	5	20	gethit-hurt		210	1	1	gethit-hurt		490	5	1	gethit-hurt		460	5	20	gethit-hurt		470	33	20	gethit-hurt		659	100	1	gethit-hurt		465	5	20	gethit-hurt		210	2	1	gethit-hurt		490	5	1	gethit-hurt		460	5	20	gethit-hurt		470	33	20	gethit-hurt		659	100	1	gethit-hurt		465	5	20	gethit-hurt		210	3	1	gethit-hurt		490	5	1	gethit-hurt		460	5	20	gethit-hurt		470	33	20	gethit-hurt		659	100	1	0
martel	gethit-hurt		456	10	20	gethit-hurt		210	1	1	gethit-hurt		304	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1						gethit-hurt		456	10	20	gethit-hurt		210	2	1	gethit-hurt		304	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1						gethit-hurt		456	10	20	gethit-hurt		210	3	1	gethit-hurt		304	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1						0
kannli	gethit-hurt		519	10	20	gethit-hurt		210	1	1	gethit-hurt		146	5	10	gethit-hurt		659	100	1											gethit-hurt		519	10	20	gethit-hurt		210	2	1	gethit-hurt		146	5	10	gethit-hurt		659	100	1											gethit-hurt		519	10	20	gethit-hurt		210	3	1	gethit-hurt		146	5	10	gethit-hurt		659	100	1											0
asteroth	gethit-hurt		456	10	20	gethit-hurt		210	1	1	gethit-hurt		466	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1						gethit-hurt		456	10	20	gethit-hurt		210	2	1	gethit-hurt		466	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1						gethit-hurt		456	10	20	gethit-hurt		210	3	1	gethit-hurt		466	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1						0
coolplayer	gethit-hurt		472	10	20	gethit-hurt		210	1	1	gethit-hurt		343	10	20	gethit-hurt		659	100	1											gethit-hurt		472	10	20	gethit-hurt		210	2	1	gethit-hurt		343	10	20	gethit-hurt		659	100	1											gethit-hurt		472	10	20	gethit-hurt		210	3	1	gethit-hurt		343	10	20	gethit-hurt		659	100	1											0
furycury	gethit-hurt		490	5	1	gethit-hurt		210	1	1	fade			1	1	gethit-hurt		473	5	20	gethit-hurt		455	10	20	gethit-hurt		659	100	1	gethit-hurt		490	5	1	gethit-hurt		210	2	1	fade			1	1	gethit-hurt		473	5	20	gethit-hurt		455	10	20	gethit-hurt		659	100	1	gethit-hurt		490	5	1	gethit-hurt		210	3	1	fade			1	1	gethit-hurt		473	5	20	gethit-hurt		455	10	20	gethit-hurt		659	100	1	0
drrodriguez	gethit-hurt		463	10	20	gethit-hurt		210	1	1	gethit-hurt		464	10	20	gethit-hurt		459	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1	gethit-hurt		463	10	20	gethit-hurt		210	2	1	gethit-hurt		464	10	20	gethit-hurt		459	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1	gethit-hurt		463	10	20	gethit-hurt		210	3	1	gethit-hurt		464	10	20	gethit-hurt		459	5	20	gethit-hurt		490	5	1	gethit-hurt		659	100	1	0
nazgul	gethit-hurt		271	10	20	gethit-hurt		210	1	1	gethit-hurt		422	3	20	gethit-hurt		659	100	1											gethit-hurt		271	10	20	gethit-hurt		210	2	1	gethit-hurt		422	5	20	gethit-hurt		659	100	1											gethit-hurt		271	10	20	gethit-hurt		210	3	1	gethit-hurt		422	5	20	gethit-hurt		659	100	1											0
trollpost	aura		521	1	1	extra-all			5	5																					aura		521	1	1	extra-all			7	7																					aura		521	1	1	extra-all			10	10																					0
act5tp	death-skill		522	100	1																										death-skill		522	100	1																										death-skill		522	100	1																										0
testProp	gethit-hurt		527	100	30																										gethit-hurt		527	100	30																										gethit-hurt		510	100	30																										0
MagicLeader2																																																													gethit-hurt		260	5	20	gethit-hurt		334	5	20	cast2			100	100	gethit-hurt		304	5	20	gethit-hurt		491	5	20						0
sk9HF	aura	2	392	1	1																										aura	2	392	1	1																										aura	2	392	1	1																										0
slower	slow	10		10	10	gethit-hurt		146	5	30																					slow	10		10	10	gethit-hurt		146	5	30																					slow	10		15	15	gethit-hurt		494	8	1	gethit-hurt		623	5	1	gethit-hurt		334	5	1	aura	2	500	1	1						0
forgeguardian	aura		500	5	5						gethit-hurt		489	6	1	gethit-hurt		420	5	20	gethit-hurt		542	5	20						aura		500	5	5	gethit-hurt		489	6	1						gethit-hurt		420	6	20	gethit-hurt		542	6	20						aura		500	5	5	gethit-hurt		489	6	15	death-skill		642	100	1	gethit-hurt		363	6	20	gethit-hurt		542	6	20						0
Defender2																																																																																											0
vampire9																																																													gethit-hurt		230	4	20	gethit-hurt		231	4	20	gethit-hurt		530	4	20	cast2			100	100	extra-all			-33	-33						0
uberarcher																																																													hit-skill		423	8	20	gethit-hurt		346	5	20	gethit-hurt		467	5	20	gethit-hurt		146	5	20	extra-all			-33	-33						0
doomknight7																																																													gethit-hurt		265	5	20	gethit-hurt		271	10	20	gethit-hurt		494	8	20	cast2			100	100	extra-all			-33	-33	extra-mag			-33	-33	0
unraveler10																																																																																											0
defiler6																																																																																											0
foulcrow9																																																																																											0
marilithgg																																																													gethit-hurt		466	5	20	gethit-hurt		363	5	20	gethit-hurt		435	5	20	death-skill		441	10	1	gethit-hurt		435	1	20	extra-all			-33	-33	0
goatman11																																																													gethit-hurt		365	5	1	gethit-hurt		146	6	5	gethit-hurt		361	5	1	aura	2	624	1	1	extra-all			-33	-33						0
oblivionwyrm																																																													gethit-hurt		470	6	20	gethit-hurt		261	2	20	gethit-hurt		388	5	20	aura	2	392	1	1	extra-all			-33	-33	extra-phys			-33	-33	0
smnnecromancer																																																																																											0
cavecoldmage																															pierce-cold			5	5	gethit-hurt		494	8	10	gethit-hurt		54	4	1																pierce-cold			5	5	gethit-hurt		494	8	10	extra-cold			50	50	gethit-hurt		54	4	1	cast2			100	100	swing2			66	66	0
caveltngmage																															pierce-ltng			5	5	gethit-hurt		494	8	10	gethit-hurt		54	4	1																pierce-ltng			5	5	gethit-hurt		494	8	10	extra-ltng			50	50	gethit-hurt		54	4	1	cast2			100	100	swing2			66	66	0
