Id	hcIdx	BaseId	NextInClass	TransLvl	NameStr	MonStatsEx	MonProp	MonType	AI	DescStr	Code	enabled	rangedtype	placespawn	spawn	spawnx	spawny	spawnmode	minion1	minion2	SetBoss	BossXfer	PartyMin	PartyMax	MinGrp	MaxGrp	sparsePopulate	Velocity	Run	Rarity	Level	Level(N)	Level(H)	MonSound	UMonSound	threat	aidel	aidel(N)	aidel(H)	aidist	aidist(N)	aidist(H)	aip1	aip1(N)	aip1(H)	aip2	aip2(N)	aip2(H)	aip3	aip3(N)	aip3(H)	aip4	aip4(N)	aip4(H)	aip5	aip5(N)	aip5(H)	aip6	aip6(N)	aip6(H)	aip7	aip7(N)	aip7(H)	aip8	aip8(N)	aip8(H)	MissA1	MissA2	MissS1	MissS2	MissS3	MissS4	MissC	MissSQ	Align	isSpawn	isMelee	npc	interact	inventory	inTown	lUndead	hUndead	demon	flying	opendoors	boss	primeevil	killable	switchai	noAura	nomultishot	neverCount	petIgnore	deathDmg	genericSpawn	zoo	SendSkills	Skill1	Sk1mode	Sk1lvl	Skill2	Sk2mode	Sk2lvl	Skill3	Sk3mode	Sk3lvl	Skill4	Sk4mode	Sk4lvl	Skill5	Sk5mode	Sk5lvl	Skill6	Sk6mode	Sk6lvl	Skill7	Sk7mode	Sk7lvl	Skill8	Sk8mode	Sk8lvl	Drain	Drain(N)	Drain(H)	coldeffect	coldeffect(N)	coldeffect(H)	ResDm	ResMa	ResFi	ResLi	ResCo	ResPo	ResDm(N)	ResMa(N)	ResFi(N)	ResLi(N)	ResCo(N)	ResPo(N)	ResDm(H)	ResMa(H)	ResFi(H)	ResLi(H)	ResCo(H)	ResPo(H)	DamageRegen	SkillDamage	noRatio	NoShldBlock	ToBlock	ToBlock(N)	ToBlock(H)	Crit	minHP	maxHP	AC	Exp	A1MinD	A1MaxD	A1TH	A2MinD	A2MaxD	A2TH	S1MinD	S1MaxD	S1TH	minHP(N)	maxHP(N)	AC(N)	Exp(N)	A1MinD(N)	A1MaxD(N)	A1TH(N)	A2MinD(N)	A2MaxD(N)	A2TH(N)	S1MinD(N)	S1MaxD(N)	S1TH(N)	minHP(H)	maxHP(H)	AC(H)	Exp(H)	A1MinD(H)	A1MaxD(H)	A1TH(H)	A2MinD(H)	A2MaxD(H)	A2TH(H)	S1MinD(H)	S1MaxD(H)	S1TH(H)	El1Mode	El1Type	El1Pct	El1MinD	El1MaxD	El1Dur	El1Pct(N)	El1MinD(N)	El1MaxD(N)	El1Dur(N)	El1Pct(H)	El1MinD(H)	El1MaxD(H)	El1Dur(H)	El2Mode	El2Type	El2Pct	El2MinD	El2MaxD	El2Dur	El2Pct(N)	El2MinD(N)	El2MaxD(N)	El2Dur(N)	El2Pct(H)	El2MinD(H)	El2MaxD(H)	El2Dur(H)	El3Mode	El3Type	El3Pct	El3MinD	El3MaxD	El3Dur	El3Pct(N)	El3MinD(N)	El3MaxD(N)	El3Dur(N)	El3Pct(H)	El3MinD(H)	El3MaxD(H)	El3Dur(H)	TreasureClass1	TreasureClass2	TreasureClass3	TreasureClass4	TreasureClass1(N)	TreasureClass2(N)	TreasureClass3(N)	TreasureClass4(N)	TreasureClass1(H)	TreasureClass2(H)	TreasureClass3(H)	TreasureClass4(H)	TCQuestId	TCQuestCP	SplEndDeath	SplGetModeChart	SplEndGeneric	SplClientEnd	*eol
halbu	257	halbu		0	halbu	halbu			Npc		20	1													1	1		2	2	0				halbu	halbu		15	15	15	40	40	40																																	1		1	1	1	1	1									1																																												5						5						5	2																																																																																																											0
tentacle1	258	tentacle1	tentacle2	0	WaterWatcherLimb	tentacle1		DragonBeast	Tentacle	DragonBeast	TN	1													1	1		0	0	0	30	62	82	tentacle	tentacle	8	12	9	6	40	40	40	70	75	80	6	8	10	16	16	16	12	12	12	10	8	6	12	12	12																													1										Submerge	seq_tentaclesubmerge	1	Emerge	S1	1																			75	50	33	-25	-25	-25						33						33						33	2				18	18	18	0	800	800	84	200	166	186	500							720	720	100	300	166	186	600							720	720	100	300	166	186	600							A1	stam	66	60	90		66	90	120		66	120	160																																																0
tentacle2	259	tentacle1	tentacle3	1	RiverStalkerLimb	tentacle2		DragonBeast	Tentacle	DragonBeast	TN	1													1	1		0	0	0	32	63	83	tentacle	tentacle	8	12	9	6	40	40	40	80	85	90	10	10	15	14	14	14	14	14	14	8	6	4	12	12	12																													1										Submerge	seq_tentaclesubmerge	1	Emerge	S1	1																			75	50	33	-25	-25	-25						33						33						33	2				22	22	22	0	800	800	85	200	176	196	500							720	720	100	300	176	196	600							720	720	100	300	176	196	600							A1	stam	66	60	90		66	90	120		66	120	160																																																0
tentacle3	260	tentacle1		2	StygianWatcherLimb	tentacle3		DragonDeity	Tentacle	DragonDeity	TN	1													1	1		0	0	0	35	70	90	tentacle	tentacle	8	12	9	6	40	40	40	90	95	95	10	12	14	6	6	6	18	18	18	6	4	2	16	16	16																				1									1										Submerge	seq_tentaclesubmerge	1	Emerge	S1	1																			40	30	20				33	33	33	33	33	70	33	33	33	33	33	66	33	33	33	33	33	66	2			1	40	40	40	0	3000	3000	165	2000	300	350	1000							5500	5500	175	3000	350	500	1500							3500	3500	205	4000	400	600	2000							A1	cold	66	120	180		66	180	240		66	240	320																														Act 3 Champ B	Act 3 Champ B	Act 3 Champ B		Act 3 (N) Champ B	Act 3 (N) Champ B	Act 3 (N) Champ B		Act 3 (H) Champ B	Act 3 (H) Champ B	Act 3 (H) Champ B								0
tentaclehead1	261	tentaclehead1	tentaclehead2	0	WaterWatcherHead	tentaclehead1		DragonBeast	TentacleHead	DragonBeast	TE	1							tentacle1				4	6	1	1		0	0	0	30	62	82	tentaclehead	tentaclehead	8	12	9	6	40	40	40	70	75	80	6	8	10	16	16	16	12	12	12	10	8	6	14	14	14							tentaclegoo2									1													1										Submerge	seq_tentheadsubmerge	1	Emerge	S1	1																			75	50	33	-25	-25	-25						33						70						70	2				24	24	24	0	800	800	84	600	166	186	500							720	720	100	300	166	186	600							1163	1163	100	300	166	186	600																																																																			0
tentaclehead2	262	tentaclehead1	tentaclehead3	1	RiverStalkerHead	tentaclehead2		DragonBeast	TentacleHead	DragonBeast	TE	1							tentacle2				4	6	1	1		0	0	0	32	63	83	tentaclehead	tentaclehead	8	12	9	6	40	40	40	80	85	90	10	10	15	14	14	14	14	14	14	8	6	4	14	14	14							tentaclegoo2									1													1										Submerge	seq_tentheadsubmerge	1	Emerge	S1	1																			75	50	33	-25	-25	-25						33						70						70	2				27	27	27	0	800	800	85	600	176	196	500							720	720	100	300	176	196	600							1163	1163	100	300	176	196	600																																																																			0
tentaclehead3	263	tentaclehead1		2	StygianWatcherHead	tentaclehead3	leviathan	DragonDeity	TentacleHead	DragonDeity	TE	1							tentacle3				4	6	1	1		0	0	0	35	70	90	tentaclehead	tentaclehead	8	12	9	6	40	40	40	90	90	95	10	12	14	6	6	6	18	18	18	6	4	2	20	20	20							tentaclegoo3									1				1									1										Submerge	seq_tentheadsubmerge	1	Emerge	S1	1																			40	30	20				33	33	33	33	33	75	33	33	33	33	33	66	33	33	33	33	33	66	2			1	20	20	20	0	4000	4000	165	5500	300	350	1000							7500	7500	175	13000	350	500	1500							5500	5500	205	13000	400	600	2000							A1	cold	100	120	240		100	240	480		100	350	550																														Leviathan	Leviathan	Leviathan		Leviathan(N)	Leviathan(N)	Leviathan(N)		Leviathan(H)	Leviathan(H)	Leviathan(H)								0
meshif2	264	meshif2		0	meshif	meshif2			Npc		M3	1													1	1		2	2	0				mednpc	mednpc		15	15	15	40	40	40																																	1		1	1	1	1	1									1																																																									2																																																																																																											0
cain5	265	cain5		0	DeckardCain	cain5			Npc		1D	1													1	1		2	2	0				mednpc	mednpc		15	15	15	40	40	40																																	1		1	1	1		1									1																																																									2																																																																																																											0
navi	266	navi		0	navi	navi			Navi		RG	1													1	1		8	8	0	1	34	67	act1hire	act1hire		15	15	15	40	40	40																									rogue1								1		1	1	1		1								1	1																																																									0								5000	5000	217		0		101							1120	1120	150		0		101							600	600	150		0		101																																																																			0
bloodraven	267	bloodraven	coldcrow	4	Bloodraven	bloodraven	bloodraven	HumanDemon	CorruptArcher	HumanDemon	CR	1	1		mummy1	6	6	S1	mummy1		1	1	8	8	1	1		12	15	0	2	41	71	bloodraven	bloodraven	13	12	9	6	40	40	40	75	75	75	80	80	80	1	1	1	50	50	50	25	25	25	50	50	50	60	60	60	16	16	16	raven1							raven1						1							1	1	1										MonFreezingArrow	A1	20	Mon Multiple Shot	A1	15	MonExplodingArrow	A1	20																50	40	30	-15	-15	-15	60	10	10	10	10	65	75	60	60	60	60	80	75	60	60	60	60	80	0			1	20	20	20	0	1246	1246	100	1500	200	250	300							2314	2314	150	12000	360	420	1000							1068	1068	200	12000	360	420	1500																																																	Blood Raven	Blood Raven	Blood Raven		Blood Raven (N)	Blood Raven (N)	Blood Raven (N)		Blood Raven (H)	Blood Raven (H)	Blood Raven (H)								0
bug	268	bug		0	Dummy	bug			Idle		BG	1													3	3		2	2	1							15	15	15	40	40	40																																	1	1	1				1								1	1																																																									2																																																																																																											0
scorpion	269	scorpion		0	Dummy	scorpion			Idle		DS	1													4	4		5	5	1				bug	bug		15	15	15	40	40	40																																	1	1	1				1								1	1																																																									2																																																																																																											0
rogue2	270	rogue2		0	RogueScout	rogue2			GoodNpcRanged		RG	1													1	1		8	8	0	5	38	71	act1hire	act1hire	10	15	15	15	40	40	40																									rogue1								1			1			1								1	1			1																														100	100	100	-25	-25	-25																			0				15	15	15	0	93	93	84		0		255							192	192	150		0		255							125	125	150		0		255																																																																			0
roguehire	271	roguehire		0	Dummy	roguehire	roguehire	Human	Hireable	Human	RG	1													1	1		7	11	0	1	34	67	act1hire	act1hire	8	3	3	3	40	40	40																																	1						1					1			1	1			1						RogueMissile	A1	1																						100	100	100	-25	-25	-25	25						25						25						6																																																																																																											0
rogue3	272	rogue3		0	Dummy	rogue3			TownRogue		RG	1													1	1		8	8	0	5	38	71	act1hire	act1hire	10	15	15	15	40	40	40																									rogue1								1			1			1								1	1																																	100	100	100	-25	-25	-25																			2				75	75	75	0	189	189	84		0		93							192	192	150		0		93							125	125	150		0		93																																																																			0
gargoyletrap	273	gargoyletrap	supergarg	0	GargoyleTrap	gargoyletrap	gargoyle	Construct	GargoyleTrap	Construct	GT	1													1	1		0	0	0	12	55	78	gargoyletrap	gargoyletrap	9	15	15	15	40	40	40	26	29	32	66	75	90	8	4	0	8	4	0																						1													1										GargoyleTrap	seq_gargoyletrap	3																									-25	-25	-25	33		33	33	33	90	33		33	33	33	66	33		33	33	33	66	3			1	20	20	20	0	500	500	100	106										800	800	100	250										900	900	100	250																																																																						0
skmage_pois1	274	skmage_pois1	skmage_pois2	1	ReturnedMage	skmage_pois1	poismage	UndeadHuman	SkeletonMage	Human	SK	1	1												1	2		4	4	2	11	53	73	sk_mage	sk_mage	10	15	12	9	40	40	40	55	70	85	9	10	11	30	30	30	5	6	7	20	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-25	-25	-25						66						66						66	2				9	9	9	0	94	94	84	75										98	98	90	130										98	98	90	130										A1	pois	100	40	40	125	100	80	80	125	100	160	160	100																													Act 1 Cast B	Act 1 Champ B	Act 1 Unique B		Act 1 (N) Cast B	Act 1 (N) Champ B	Act 1 (N) Unique B		Act 1 (H) Cast B	Act 1 (H) Champ B	Act 1 (H) Unique B								0
skmage_pois2	275	skmage_pois1	skmage_pois3	2	BoneMage	skmage_pois2	poismage	UndeadHuman	SkeletonMage	Human	SK	1	1												2	3		4	4	2	13	54	74	sk_mage	sk_mage	10	15	12	9	40	40	40	55	70	85	9	10	11	30	30	30	5	6	7	20	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-25	-25	-25						66						66						66	2				11	11	11	0	96	96	84	75										98	98	90	130										98	98	90	130										A1	pois	100	45	45	125	100	90	90	125	100	170	170	100																													Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C								0
skmage_pois3	276	skmage_pois1	skmage_pois4	3	BurningDeadMage	skmage_pois3	poismage	UndeadElemental	SkeletonMage	ElementalMonType	SK	1	1												3	3		5	5	2	18	56	76	sk_mage	sk_mage	10	15	12	9	40	40	40	55	70	85	9	10	11	30	30	30	5	6	7	20	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-25	-25	-25						66						66						66	2				15	15	15	0	98	98	84	75										98	98	90	130										98	98	90	130										A1	pois	100	50	50	125	100	100	100	125	100	180	180	100																													Act 2 Cast B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) Cast A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) Cast A	Act 2 (H) Champ A	Act 2 (H) Unique A								0
skmage_pois4	277	skmage_pois1	skmage_pois5	4	HorrorMage	skmage_pois4	poismage	UndeadHuman	SkeletonMage	Human	SK	1	1												4	4		5	5	2	23	58	78	sk_mage	sk_mage	10	15	12	9	40	40	40	55	70	85	9	10	11	30	30	30	5	6	7	20	30	50	18	17	16	20	20	20	5	5	5	skmage1									1						1				1			1	1									SkeletonRaise	seq_skeletonraise	1																									-25	-25	-25						66						66						66	3				17	17	17	0	130	130	84	75										103	103	90	130										98	98	90	130										A1	pois	100	60	60	125	100	120	120	125	100	200	200	100																													Act 2 Cast C	Act 2 Champ C	Act 2 Unique C		Act 2 (N) Cast B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) Cast B	Act 2 (H) Champ B	Act 2 (H) Unique B								0
fetishshaman1	278	fetishshaman1	fetishshaman2	0	RatManShaman	fetishshaman1	MightLeader	Demon	FetishShaman	RaiserDesummoner	FW	1							fetish1	fetishblow1		1	5	6	1	1		8	8	1	25	59	79	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	0	1	2	15	16	18	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	1	MonVigor	NU	1	Resurrect2	seq_fetishres	1																50	40	30	-25	-25	-25			33				33	33	33	33	33	33	33	33	66	33	33	33	2				12	12	12	0	120	120	84	175										105	105	100	260										120	120	100	260																																																				Act 1 Cast C	Act 1 Champ C	Act 1 Unique C		Act 1 (N) Cast C	Act 1 (N) Champ C	Act 1 (N) Unique C		Act 1 (H) Cast C	Act 1 (H) Champ C	Act 1 (H) Unique C				1				0
fetishshaman2	279	fetishshaman1	fetishshaman3	1	FetishShaman	fetishshaman2	MightLeader	Demon	FetishShaman	RaiserDesummoner	FW	1							fetish2	fetishblow2		1	5	6	1	1		8	8	1	26	60	80	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	0	1	2	15	16	19	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	1	MonVigor	NU	1	Resurrect2	seq_fetishres	1																50	40	30	-25	-25	-25			33				33	33	33	33	33	33	33	33	66	33	33	33	2				22	22	22	0	130	130	85	175										110	110	100	260										120	120	100	260																																																				Act 3 Cast A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) Cast A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) Cast A	Act 3 (H) Champ A	Act 3 (H) Unique A				1				0
fetishshaman3	280	fetishshaman1	fetishshaman4	2	FlayerShaman	fetishshaman3	MightLeader	Demon	FetishShaman	RaiserDesummoner	FW	1							fetish3	fetishblow3		1	5	6	1	1		9	9	1	27	60	80	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	1	2	2	15	17	20	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	1	MonVigor	NU	1	Resurrect2	seq_fetishres	1																50	40	30	-25	-25	-25			33				33	33	33	33	33	33	33	33	66	33	33	33	2				23	23	23	0	140	140	85	175										120	120	100	260										128	128	100	260																																																				Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
fetishshaman4	281	fetishshaman1	fetishshaman5	3	SoulKillerShaman	fetishshaman4	MightLeader	Demon	FetishShaman	RaiserDesummoner	FW	1							fetish4	fetishblow4		1	5	6	1	1		9	9	1	28	62	82	fetishshaman	fetishshaman	12	15	12	9	40	40	40	40	45	45	1	2	3	15	17	21	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	1	MonVigor	NU	1	Resurrect2	seq_fetishres	1																50	40	30	-25	-25	-25			33				33	33	33	33	33	33	33	33	66	33	33	33	2				24	24	24	0	160	160	85	175										120	120	100	260										128	128	100	260																																																				Act 3 Cast B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
fetishshaman5	282	fetishshaman1	fetishshaman6	4	StygianDollShaman	fetishshaman5	Glyph4Boss	Demon	FetishShaman	raises Stygian Dolls	FW	1							fetish5	fetishblow5		1	5	6	1	1		10	10	1	30	63	83	fetishshaman	fetishshaman	12	12	9	6	40	40	40	40	45	45	1	2	3	15	18	22	66	66	66	50	50	50																			1	1							1		1			1										FetishInferno	A1	1	MonVigor	NU	1	Resurrect2	seq_fetishres	1																50	40	30	-25	-25	-25			33				33	33	33	33	33	33	33	33	66	33	33	33	2				25	25	25	0	1400	1400	85	1200										720	720	100	1600										420	420	100	1600																																																				Act 4 Cast A	Act 4 Champ A	Act 4 Unique A		Act 3 (N) Cast B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) Cast B	Act 3 (H) Champ B	Act 3 (H) Unique B				1				0
larva	283	larva		0	larva	larva			Idle		LV	1													4	4		1	1	0				larva	larva		15	15	15	40	40	40																																		1	1												1	1																																																									2																																																																																																											0
maggotqueen1	284	maggotqueen1	maggotqueen2	0	SandMaggotQueen	maggotqueen1	maggotqueen	InsectDeity	SandMaggotQueen	InsectDeity	MQ	1			sandmaggot3	8	0	S1	sandmaggot5		1	1			1	1		4	4	1	14	49	77	maggotqueen	maggotqueen	10	15	12	9	40	40	40	80	80	80	8	8	8																				goospit5									1			1							1	1	1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													60	40	25				67	52	52	52	52	76	75	60	60	60	60	80	75	60	60	60	60	80	0				17	17	17	0	2314	2314	84	800	200	250	800							1602	1602	70	2300	250	300	1000							1246	1246	70	2300	300	350	2000																																																	Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
maggotqueen2	285	maggotqueen1	maggotqueen3	1	RockWormQueen	maggotqueen2		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot2	8	0	S1							1	1		4	4	1	22	47	82	maggotqueen	maggotqueen	10	15	15	15	40	40	40	8	8	8	10	10	10																				goospit2									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-25	-25	-25																			2				15	15	15	0	350	350	84	800										150	150	70	600										122	122	70	600																																																				Act 2 H2H A	Act 2 Champ A	Act 2 Unique A		Act 2 (N) H2H A	Act 2 (N) Champ A	Act 2 (N) Unique A		Act 2 (H) H2H A	Act 2 (H) Champ A	Act 2 (H) Unique A							1	0
maggotqueen3	286	maggotqueen1	maggotqueen4	2	DevourerQueen	maggotqueen3		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot3	8	0	S1							1	1		4	4	1	18	48	83	maggotqueen	maggotqueen	10	15	15	15	40	40	40	9	10	11	8	8	8																				goospit3									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-25	-25	-25																			2				17	17	17	0	262	262	84	134										150	150	70	185										122	122	70	185																																																				Act 2 H2H B	Act 2 Champ B	Act 2 Unique B		Act 2 (N) H2H B	Act 2 (N) Champ B	Act 2 (N) Unique B		Act 2 (H) H2H B	Act 2 (H) Champ B	Act 2 (H) Unique B							1	0
maggotqueen4	287	maggotqueen1	maggotqueen5	3	GiantLampreyQueen	maggotqueen4		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot4	8	0	S1							1	1		4	4	1	22	49	84	maggotqueen	maggotqueen	10	15	15	15	40	40	40	10	11	12	6	6	6																				goospit4									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-25	-25	-25																			2				21	21	21	0	263	263	85	134										150	150	70	185										122	122	70	185																																																				Act 3 H2H A	Act 3 Champ A	Act 3 Unique A		Act 3 (N) H2H A	Act 3 (N) Champ A	Act 3 (N) Unique A		Act 3 (H) H2H A	Act 3 (H) Champ A	Act 3 (H) Unique A							1	0
maggotqueen5	288	maggotqueen1		4	WorldKillerQueen	maggotqueen5		InsectBehemoth	SandMaggotQueen	InsectBehemoth	MQ	1			sandmaggot5	8	0	S1							1	1		4	4	1	30	50	85	maggotqueen	maggotqueen	10	15	15	15	40	40	40	11	12	13	4	4	4																				goospit5									1												1										MagottUp	seq_maggotup	1	MagottDown	seq_maggotdown	1	MagottLay	seq_maggotlay	1	QueenDeath	seq_queendeath	1													75	50	25	-25	-25	-25																			2				29	29	29	0	264	264	84	153										150	150	70	185										122	122	70	185																																																				Act 4 H2H A	Act 4 Champ A	Act 4 Unique A		Act 4 (N) H2H A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) H2H A	Act 4 (H) Champ A	Act 4 (H) Unique A							1	0
claygolem	289	claygolem	claygolemx	0	ClayGolem	claygolem	claynec	ElementalConstruct	NecroPet	ElementalConstruct	G1	1													1	1		8	10	0				claygolem	claygolem	5	6	6	6	40	40	40	85	85	85																														1						1					1			1	1			1																																				20						20						20						5		1		50	50	50	0	200	200	25				100			100				200	200	25				100			100				200	200	25				100			100																																																																0
bloodgolem	290	bloodgolem	bloodgolemx	0	BloodGolem	bloodgolem	bloodnec	ElementalConstruct	NecroPet	ElementalConstruct	G2	1													1	1		8	10	0				bloodgolem	bloodgolem	5	6	6	6	40	40	40	90	90	90																														1						1					1			1	1			1						BloodGolem	NU	0																												20						20						20						5		1		50	50	50	0	200	200	50				150			150				200	200	50				150			150				200	200	50				150			150																																																																0
irongolem	291	irongolem	irongolemx	0	IronGolem	irongolem	ironnec	ElementalConstruct	NecroPet	ElementalConstruct	G4	1													1	1		8	10	0				irongolem	irongolem	5	6	6	6	40	40	40	90	90	90																														1					1	1					1			1	1			1																																				20						20						20						5		1		50	50	50	0	200	200	75				200			200				200	200	75				200			200				200	200	75				200			200																																																																0
firegolem	292	firegolem	firegolemx	1	FireGolem	firegolem	firenec	ElementalConstruct	NecroPet	ElementalConstruct	G3	1													1	1		8	10	0				firegolem	firegolem	5	5	5	5	40	40	40	90	90	90																														1						1					1			1	1			1																																				20						20						20						5		1		50	50	50	0	200	200	100				250			250				200	200	100				250			250				200	200	100				250			250																																																																0
familiar	293	familiar		0	Dummy	familiar			Idle		FI														1	1		12	6	0							15	15	15	40	40	40	90	90	90																																				1								1				1																																																						0																																																																																																											0
act3male	294	act3male		0	Dummy	act3male			Towner		N4	1													1	1		3	2	0				mednpc	mednpc		15	15	15	40	40	40																																	1	1	1	1			1									1																																																									2																																																																																																											0
baboon6	295	baboon6		0	NightMarauder	baboon6	baboon6	Beast	Baboon	Beast	BB	1													2	3		10	16	1	26	59	85	baboon	baboon	10	15	14	13	40	40	40	33	33	33	20	30	35	50	50	50	50	50	50	1	2	3																			1	1									1			1	1																																				-25	-25	-25																			2			1	25	25	25	0	107	107	85	97	51	151	92	51	151	92				78	78	140	150	51	151	92	51	151	92				60	60	140	150	51	151	92	51	151	92				A1	cold	100	10	20	50	100	10	20	50	100	10	20	50																													Act 3 H2H B	Act 3 Champ B	Act 3 Unique B		Act 3 (N) H2H B	Act 3 (N) Champ B	Act 3 (N) Unique B		Act 3 (H) H2H B	Act 3 (H) Champ B	Act 3 (H) Unique B								0
act3female	296	act3female		0	Dummy	act3female			Towner		N3	1													1	1		3	2	0				lightnpc	lightnpc		15	15	15	40	40	40																																	1		1	1			1									1																																																									2																																																																																																											0
natalya	297	natalya		0	Natalya	natalya			Npc		TZ	1													1	1		2	2	0				mednpc	mednpc		15	15	15	40	40	40																																	1		1	1	1		1									1			1																																																						2																																																																																																											0
vilemother1	298	vilemother1	vilemother2	0	FleshSpawner	vilemother1	PoisAttacks	Demon	VileMother		VM	1			vilechild1	0	0	NU							3	3		8	8	1	36	64	84	vilemother	vilemother	10	15	12	9	40	40	40	16	17	20	5	5	6	30	35	40	80	85	90	70	60	50	30	30	30	6	4	2													1	1							1		1			1	1									Nest	seq_vileres	1																						50	40	30	-25	-25	-25		33			33			33			33			33			66		2				24	24	24	0	280	280	63	200	128	188	130							195	195	80	200	128	188	130							180	180	80	200	128	188	2000																																																	Act 4 Cast B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vilemother2	299	vilemother1	vilemother3	1	StygianHag	vilemother2	Curser	Demon	VileMother		VM	1			vilechild2	0	0	NU							3	3		8	8	1	38	65	85	vilemother	vilemother	10	15	12	9	40	40	40	17	18	21	5	5	6	30	35	40	80	90	95	70	60	50	30	30	30	6	4	2													1	1							1		1			1	1									Nest	seq_vileres	1																						50	40	30	-25	-25	-25		33			33			33			33			33			66		2				27	27	27	0	290	290	63	225	129	189	130							202	202	80	225	129	189	130							180	180	80	225	129	189	2000																																																	Act 5 Cast A	Act 5 Champ A	Act 5 Unique A		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
vilemother3	300	vilemother1	vilemother4	2	Grotesque	vilemother3	Curser	Demon	VileMother		VM	1			vilechild3	0	0	NU							3	4		9	9	1	40	66	86	vilemother	vilemother	10	15	12	9	40	40	40	18	19	22	5	6	6	30	35	40	80	90	95	70	60	50	30	30	30	6	4	2													1	1							1		1			1	1									Nest	seq_vileres	1																						50	40	30	-25	-25	-25		33			33			33			33			33			66		2				29	29	29	0	320	320	63	250	130	190	130							210	210	80	250	130	190	130							185	185	80	250	130	190	2000																																																	Act 5 Cast B	Act 5 Champ B	Act 5 Unique B		Act 4 (N) Cast B	Act 4 (N) Champ B	Act 4 (N) Unique B		Act 4 (H) Cast B	Act 4 (H) Champ B	Act 4 (H) Unique B								0
vilechild1	301	vilechild1	vilechild2	0	FleshBeast	vilechild1	Attacker	Demon	VileDog		VC	1													3	3		8	10	1	36	64	84	vilechild	vilechild	9	15	12	9	40	40	40	80	85	90	10	7	6	80	85	90																									1	1							1					1	1							1																										50	40	30	-25	-25	-25					33						33						66		2				38	38	38	0	90	90	85	80	66	76	160							81	81	70	80	66	76	160							90	90	70	80	66	76	2000																																																	Act 4 Cast B	Act 4 Champ B	Act 4 Unique B		Act 4 (N) Cast A	Act 4 (N) Champ A	Act 4 (N) Unique A		Act 4 (H) Cast A	Act 4 (H) Champ A	Act 4 (H) Unique A								0
